mark_time_ns,sweep_time_ns
96147,3993982
56238,3979926
71121,3953981
57038,3935888
56334,3941899
56384,3921151
117071,3916851
67764,3914094
103296,3909524
63721,3898136
70920,3896088
54294,3894555
76002,3877346
67682,3873668
72289,3881750
46805,3861182
129666,3879485
60144,3882818
157520,3863328
50579,3856879
68673,3847538
53459,3860863
113877,3859791
68570,3866281
48371,3857723
65719,3845968
127695,3857936
83097,3848716
42713,3847515
97233,3855914
68727,3850343
66976,3851378
114972,3851805
75453,3836156
46085,3853240
143646,3848331
50814,3847214
60602,3841635
103368,3853562
59836,3845210
98978,3850978
64921,3844313
122143,3848334
59497,3836603
49891,3834168
74338,3835910
71943,3844858
51460,3844147
137594,3846399
63876,3846505
93632,3837496
44410,3844035
66954,3856471
92889,3848575
71926,3830814
51654,3838518
131637,3843208
43520,3839194
81340,3841741
58064,3845062
69040,3844009
77141,3842918
60961,3843788
49033,3841191
48446,3834688
43005,3844052
110480,3850703
66229,3840335
57192,3833800
47471,3835540
131084,3844528
90412,3840789
133145,3841551
49096,3830653
48358,3847252
47352,3844513
62500,3829141
155639,3842022
55293,3832218
156205,3844393
69339,3838592
61657,3841691
57472,3825365
54413,3848362
49155,3836768
43877,3829816
39796,3826309
110303,3847879
65737,3833297
53755,3839916
48845,3826183
118305,3837458
88863,3840132
129586,3835751
49540,3841524
46649,3834560
45620,3847801
52680,3841283
149379,3832900
48916,3837216
153445,3833389
123312,3840679
124299,3836159
65951,3834264
48095,3845302
67968,3845203
51416,3834824
42581,3844034
100928,3836910
130378,3837655
97552,3836749
47298,3837401
47298,3854975
65005,3837718
52743,3841479
39408,3834416
71410,3850203
58154,3850718
52386,3850179
50742,3836134
62110,3838225
53262,3840762
49728,3834153
196388,3847866
159853,3852705
51293,3848161
70054,3838119
54602,3845185
43808,3836597
95288,3840138
130268,3844632
93384,3842248
45079,3834346
42488,3836125
58533,3850777
52923,3837884
38974,3829420
64868,3833915
53065,3830952
43540,3841444
45588,3835604
56946,3843516
50251,3850158
42663,3884803
190362,3843304
151519,3845487
40189,3827290
69422,3834343
52843,3831672
41561,3828795
98427,3841663
126650,3845485
91295,3845201
42600,3826949
40642,3833535
58858,3846448
52093,3832856
41687,3839730
68026,3845218
51158,3833183
43664,3843656
45620,3836138
58051,3836969
50758,3843175
42712,3840850
195011,3835381
153543,3842829
42471,3830785
69575,3836045
50543,3838986
43330,3821957
93823,3836738
127074,3847242
91033,3840570
43060,3846995
41510,3846339
60092,3838986
51394,3840396
40412,3836994
65870,3843834
48840,3846417
44960,3840464
46683,3836632
55446,3837215
50470,3834362
44284,3828708
198475,3850915
151611,3842986
43295,3832274
71755,3846660
