mark_time_ns,sweep_time_ns
2748295,6237748
2459994,6152248
3280284,6128926
2070874,6143830
2123075,6063745
2972798,6124448
2847080,6138313
793391,6212391
2517513,6291306
2318499,6173087
2920421,6248501
1656634,6056947
2150024,6138339
5331921,6192739
4363801,6194074
5795789,6170573
5097264,6244287
1885509,6116209
2471849,6266585
2683580,6153667
5537574,6203673
2426580,6175620
2702939,6139881
5543026,6213011
2656214,6305985
4869288,6217000
1964276,6142759
2302091,6248037
2936520,6297318
3340049,6175365
2143723,6315965
4974907,6291569
1983539,6342908
2425144,6256048
3122460,6209186
269338,6197747
2427561,6327607
2890224,6397675
3428481,6373685
2712394,6257874
6355619,6341168
4497398,6301358
1054260,6425297
2208782,6264223
2722489,6219649
3356196,6146202
2061627,6251569
2547728,6277877
5679325,6270218
2279311,6223344
5416819,6254099
4554715,6244264
3481882,6258413
1954000,6218685
2711102,6220012
3293137,6232545
2683763,6202369
812385,6245294
2061429,6245980
2612494,6258115
3220983,6145041
1923884,6196100
4904550,6261182
1896528,6105876
2578572,6273530
3480447,6269382
157112,6093178
2451764,6248505
5312293,6328419
2241563,6272163
2561635,6340299
2529291,6219268
3550455,6237481
2390482,6128506
2131818,6215884
2373579,6157632
3201946,6142529
3043295,6208286
600868,6139813
2285127,6186290
2704553,6160473
3198712,6192172
2015717,6194029
4492190,6180741
3983731,6099679
3402302,6250437
3246014,6291695
1856482,6131599
2500842,6146892
5506151,6180169
