mark_time_ns,sweep_time_ns
190854,51978
87181,34965
81877,31422
73294,29751
75945,28983
71536,28873
72238,29018
75318,29732
63095,29596
71050,29603
72177,29574
72585,30291
63524,28484
72645,29679
76743,30261
70146,29978
66845,28727
74399,29722
71731,29703
70514,29550
68852,29137
73141,29736
72443,29823
70999,29587
70039,29225
67206,30252
72168,30276
70960,29917
69215,30124
66690,28993
70296,29764
69596,30012
69996,30107
68447,29867
69685,30172
70772,30171
71071,30211
68436,30068
72584,30003
75828,31329
71253,30521
69433,30685
63122,30477
71039,30577
72084,30215
72778,31297
63324,29039
73412,30254
70652,30696
70698,30336
66887,29685
74426,30537
70503,30466
71201,30467
67563,29894
75564,29945
75103,31364
71318,30178
68787,30417
62705,30295
73129,31327
71945,30328
69086,30273
65976,29438
69744,30580
74710,31015
69745,30640
66784,29764
74359,30453
71166,30203
71119,29846
73031,30605
70300,30206
70445,30424
70916,29994
67781,30146
72865,30415
78745,30493
72298,29946
68444,28877
60978,27602
70248,29245
71366,29361
70090,29476
66743,28603
71937,29075
71559,29220
70278,29587
68627,29057
72826,29682
72185,29999
71926,29720
69620,29166
58869,27922
75141,30975
71144,30130
71038,29630
67523,28889
79645,30535
70675,29791
70482,29794
68624,29633
70254,30083
71729,30460
71301,30240
72505,30620
72003,30390
72492,30566
71194,30467
68634,30124
73056,31222
80554,32042
95446,57234
85882,56465
88329,55996
81074,54219
76499,54448
77221,54466
81807,55535
83780,55468
77128,54836
77017,53799
82805,54315
77230,54525
82556,54764
77524,53285
78006,54254
76307,53863
77871,51870
77428,52351
78135,51133
78672,51257
76087,51331
80656,53233
77812,53014
75713,56664
75986,52316
75918,52823
79374,54006
75898,53825
77358,54444
124180,56453
76136,53899
80158,54575
76388,54838
77430,54776
78101,53444
75293,54288
80624,55127
75484,55208
78064,55515
76854,54590
74218,57723
80589,55450
76044,53661
76912,51353
76462,51193
76742,51295
80093,52413
74971,52403
74948,53161
75892,52435
75295,51941
79497,53379
75310,52507
76325,52919
77216,52981
76015,52801
81373,53551
74629,52947
77367,53356
76977,52549
76451,52682
79423,53473
76793,52771
77815,54139
76811,53382
76456,53705
80810,54293
75692,54102
75870,55563
76183,54429
75868,54573
79799,55729
76146,54945
76342,54589
76391,54301
76642,54191
81299,54989
74820,54557
75390,54639
74566,53026
77133,53097
79515,54078
74363,54197
77093,53875
75177,53709
74710,54147
79941,53974
74963,54430
76229,54502
76423,53138
74935,53433
79595,58165
77772,54453
77739,54348
77473,53769
75180,53911
80224,54720
77323,54093
77385,54200
76635,53277
77465,54194
79311,54383
74826,54101
76801,54983
76742,54515
75597,54470
80534,54468
75347,54456
78163,54920
77029,53746
74739,54513
81528,55171
77448,54913
76389,55018
76620,54240
75201,53550
80376,54210
75501,54235
76374,51936
76705,50928
76199,51883
81123,53076
75203,52565
77232,53035
77239,52267
75405,56902
79492,54342
75297,53722
76167,54095
76009,54200
74491,54572
79205,54944
75715,54570
77679,54870
76110,54229
75279,54270
79885,55781
76130,54789
76063,55106
75801,51451
74234,50928
79503,52221
74667,51073
76847,52144
77960,51443
76420,51686
79610,53053
76454,52263
78045,52216
76659,52522
75043,52677
79015,53104
76025,52838
77868,53553
76993,52860
75896,52516
79976,53675
75364,53190
78126,53525
77873,52421
75717,53107
80198,54145
76913,53772
77227,55088
75313,54495
80402,53802
79968,54121
75332,55454
76809,54721
77884,54937
76612,54946
79400,55491
76575,54193
76863,55144
77465,54730
75047,54348
79542,55011
75020,54428
76071,52216
77329,51673
75312,51211
79315,52833
75852,52163
76425,52137
76719,51356
76134,51691
79199,52112
75780,51968
77072,53430
76257,51428
75561,51751
79150,53179
75284,54000
77408,54285
76917,53770
75813,53922
80939,54583
75445,53619
77529,54448
80161,54479
76454,54767
81261,54676
74752,54058
77638,54719
76578,54054
76304,54452
78989,54727
75156,54699
77592,55666
78347,54064
77742,54867
80339,54734
77095,52233
77748,52775
76743,51510
76083,52128
81409,55648
76084,52058
76112,52607
76648,51859
75634,52540
80231,52604
75832,51958
77982,52944
76512,52790
76555,52261
81570,53177
76897,54083
75796,54398
76184,54582
74870,54640
79776,54777
75352,54742
79454,55048
75870,55079
75014,54307
79618,55039
76045,54678
75998,55092
77665,54340
74717,54400
79984,54429
75290,54841
76480,53041
76415,52388
75871,51943
75913,51839
