mark_time_ns,sweep_time_ns
76366,18279
87299,27821
54541,14988
87586,16968
56959,16277
98019,17907
100524,19511
57741,15601
55849,15656
51862,15581
91655,18741
50370,15636
91373,18464
57853,15745
55272,16790
56496,17271
94076,19200
53501,15514
52791,15646
91156,18554
50661,15436
89000,18717
89144,18089
50329,15328
53181,17125
52169,17016
52804,16758
90863,19821
90186,18402
50294,15601
51056,15915
89126,18402
86911,17965
50763,15193
52628,16967
51385,16709
51938,15672
52421,15577
90196,18044
88230,18323
87753,18242
49631,15077
85740,17877
51721,15423
52286,16972
52969,22249
52850,15927
51041,15759
90415,18343
89518,18639
50344,15436
49791,15505
49015,15490
85118,18030
70051,16327
51570,16194
51361,16481
51098,15526
52229,15851
53370,15575
50533,15587
50812,15405
51574,15715
89900,18373
50378,15547
50554,15535
89082,18315
81429,17234
50142,15044
52272,15628
51065,15528
52028,20316
51021,15280
51125,15366
52000,15375
52578,15576
52668,15437
91732,18029
88412,18144
85061,17621
50371,15086
52267,15932
51808,15503
51421,15843
126110,18693
51103,15415
51590,15433
50777,15806
88202,18898
86304,18256
29997,13844
44275,14949
37407,14663
74619,16685
51323,15680
52552,16652
52273,17546
52624,16320
98206,19351
90273,18719
88659,18912
87246,18286
60177,15915
52151,16421
52699,17358
92938,19337
51259,15272
51099,15405
50694,15648
87414,18389
48912,15405
86283,18337
84733,18021
50412,15623
51568,17077
51524,16969
51133,15805
88501,18295
50445,15440
51278,15498
49273,15669
87596,18663
86776,18141
71245,16680
51255,15442
52171,16518
53460,17004
51300,15866
88748,18587
50027,15705
89369,18709
48842,15322
49012,15784
86122,18056
51535,24168
53264,17343
110155,27628
73204,17423
83234,18618
132989,19852
85720,17212
80010,16545
69950,16896
65042,15720
106677,18624
96952,18531
87680,17564
54714,15352
54769,16690
54822,16979
53344,15700
94914,18826
52479,15568
50393,15352
51123,15512
87735,18603
86588,18075
70712,16527
50431,16483
54519,16913
52596,16796
51722,15894
116972,26740
52943,15722
52659,15317
51233,15819
88850,18510
90325,18877
34041,14238
77284,16715
51250,16210
50896,17072
91445,19030
53576,16103
52711,15991
92377,18926
91230,18564
87957,18708
70483,16854
53748,17006
52680,17601
92812,18415
51985,16006
92454,19049
51182,15892
51648,16029
88575,18515
87912,18253
55721,15970
52078,16674
53085,17197
54450,17808
57733,17392
91187,19708
88708,18327
49974,15885
87372,18808
85092,18322
15426,12930
34818,14443
41388,14764
79629,16631
52299,16129
53329,16704
92354,18487
52707,15578
51257,15545
50766,15737
50914,15692
50794,15429
90020,18429
86941,18582
29922,14066
77174,16665
51065,16729
51029,17673
92802,19292
51213,15411
50596,15368
88288,18300
86176,18184
89183,18420
61064,15788
51664,16611
52603,17328
51830,16495
51288,15801
50072,15655
87994,18570
86422,18239
49240,15627
48380,15782
47798,15652
86688,17924
68101,16381
50459,16346
50702,16574
93354,19198
56074,15637
89572,18091
87640,18194
85505,18410
65845,16458
50772,16721
52235,16850
52308,16564
59450,16134
93648,18427
50425,15341
90161,18335
49587,15439
48769,15565
84874,18406
66847,16107
57066,16248
53661,16848
52492,15678
50252,16214
50294,15622
49667,15583
90239,18437
49692,15403
87024,18547
84311,18297
34352,14286
38271,14692
38957,14792
40003,14997
41294,14770
38675,14543
78217,16521
54216,16016
53938,16543
93486,18196
50826,15763
52092,15467
89038,18360
50389,15290
87341,18254
84630,17893
49558,15338
52635,16773
50871,16421
90022,19312
51032,15476
50901,15715
89910,18280
47876,15383
87718,18333
81276,17394
50545,15180
51089,16840
50590,16579
51747,15723
50183,15485
50233,15361
49127,15545
49371,15518
49885,15600
51061,15682
92536,18513
89896,18319
44131,14882
38438,14269
76558,16397
50783,15888
52310,16465
52485,16428
51122,15776
91238,18418
49938,15481
88119,18415
47596,15379
47726,15386
95519,18719
88226,17382
99170,23442
75408,18944
68202,16677
110337,19107
64364,16317
132160,21078
65980,16782
61858,16383
62073,16400
110452,19916
81203,16921
57815,16423
57506,16822
57387,15945
56012,16032
91925,18674
53689,15801
92478,18520
52395,15352
50725,15807
88674,18485
68840,16206
52379,16157
51437,16924
51906,15928
51961,15616
57809,15446
50151,15494
51707,15612
50966,15508
50921,15538
51012,15462
89662,18776
85549,18164
76137,17123
50492,14388
52125,15454
50616,15605
49833,15539
51492,15624
89197,18308
50091,15434
50374,15556
89730,18357
86679,18118
67992,16263
50123,16292
52148,17198
52998,15938
51091,15775
51788,15485
51036,15665
51414,15551
51926,15494
89481,18386
50237,15302
49055,15639
85990,18170
82009,17806
51080,15134
52162,16266
50945,15916
50785,15424
51661,15718
51790,15552
88464,18097
50436,15481
87598,18663
84548,18276
68124,16477
49519,16283
50140,16951
51732,16749
51237,15846
52384,15618
89532,18477
49289,15502
51373,15524
48789,15516
88981,18099
85077,18132
60279,16002
58091,16695
52157,16879
102539,18327
94884,21164
51894,15971
51514,15774
50958,15796
50351,15539
88142,18565
86668,18334
49878,15485
52435,17054
51722,16838
51271,15851
94738,18442
51978,15732
51548,15501
