mark_time_ns,sweep_time_ns
104798,20923
77346,18691
47243,17528
58231,17692
138515,20530
98247,36669
53693,35622
53160,35335
54059,35990
90973,36133
104880,36999
116357,36755
93691,35383
78772,35623
63681,35324
126317,37226
87844,35234
67489,34870
49512,33544
73529,35401
76574,34234
60404,34598
71073,34691
93356,35792
51451,33522
85422,35254
71697,34278
44100,33333
54279,34793
54150,34657
79332,34836
62279,34097
65321,34037
125462,36608
96387,34720
131005,36177
60956,33985
45417,33352
57516,33817
109419,35585
41898,33377
67292,34859
54922,34087
59306,33739
55003,35677
61540,37575
146095,37629
63425,34875
53514,33982
45852,33466
46160,33472
52533,33722
51626,34687
49675,33060
65051,33837
56900,34087
56121,34720
57317,34180
77320,34408
64198,33951
128775,35979
56624,34997
100313,35261
41005,33348
62791,34196
72149,34575
87736,34549
109896,35458
95853,35242
71858,34368
96061,35387
54923,34364
83297,35149
58001,35250
50878,33835
51372,33516
43953,32950
39609,32819
67486,34044
62259,33892
51682,33083
58093,33861
127892,36633
82150,34536
75367,34482
64849,35053
64077,34157
47831,33682
93556,43811
116409,35620
64987,34348
48878,33959
94420,34782
43868,33385
40656,33427
83765,35199
66404,34132
94395,35374
50132,32986
55477,33392
81500,34170
45767,33770
51626,33999
54934,33658
89114,35096
50748,33604
78273,34467
98357,35767
71141,34632
45047,33562
46626,33436
92516,35670
66502,34042
50272,33575
74041,34630
114726,36214
55450,33996
50181,33549
154703,36882
63927,34504
66770,34685
101582,35442
45170,32928
49722,33737
123474,36406
39710,32470
68561,33801
54322,33992
49466,33431
82637,35956
59127,34173
97196,35649
153519,38644
54996,35111
59004,34674
65713,35015
125603,36273
91692,34966
63444,33683
101400,34617
72461,34126
59053,33706
48808,33726
74725,33916
115274,35828
88090,34263
53262,34344
51867,34002
90441,34854
42837,33178
73688,34319
59314,34283
46061,33235
48590,33253
48999,33132
60393,34278
123696,37110
62490,34079
55231,33747
66167,34059
53911,33669
55667,33592
55736,33677
54341,33749
47524,32454
46845,32716
63446,34492
93039,34821
57551,34590
49603,33561
49740,33232
42222,32832
38541,32611
65682,34210
62243,34771
51721,33492
125888,36052
57591,34092
82471,34281
72914,34123
62920,34642
64869,34226
40920,33540
94669,35076
45013,32858
70939,33670
85652,34577
48783,33588
111963,36231
59259,34134
62874,33607
62675,34216
52072,33927
69558,33680
143797,37063
60997,36226
156766,41562
61134,38919
64439,36790
88920,37876
59608,37726
77527,36499
113178,36549
59860,34569
58586,34855
56611,36540
82610,35068
46013,33926
56953,34105
60704,34579
86002,34854
72659,35033
62201,34652
56724,42698
63328,34175
94459,35439
126309,36642
60362,33356
64400,34137
58676,33897
73962,34388
91944,34679
51230,33413
52151,33576
86986,34333
49589,33315
76970,34946
49090,33513
76607,34650
66357,34319
72325,34188
62808,34992
60586,33844
65007,35164
57993,34573
65586,34720
83281,34727
40714,32982
45787,33823
60474,34854
83682,34841
74541,34137
57146,34559
49417,33774
49618,33466
53118,33866
132248,37004
67893,34254
62358,33971
66264,34721
71915,34467
71610,34423
76145,34703
58706,33714
57991,34162
57166,33882
82588,37107
77578,45395
64168,35289
139195,36655
85698,34816
47036,33030
60907,33987
75382,34958
88422,34000
61591,34109
123127,35999
45776,33487
94668,34868
59078,34590
55991,33138
52216,34285
55147,33207
63751,33885
85784,34624
56237,33660
46077,32954
65896,34004
86435,34649
44192,33100
113652,35641
56910,33365
56123,33171
70906,34715
57389,34179
55108,34186
88186,34676
63925,33932
70423,33606
120093,35396
67590,33713
44164,33010
44980,32636
65158,34299
121846,35226
55375,34132
46249,33079
93842,34773
50996,33170
54223,33545
57648,34801
82044,34623
75016,35901
45461,33349
57053,33069
86999,35046
117754,35320
63439,33790
54035,33670
93295,34908
67508,34430
50734,33393
72786,34474
72065,33696
62883,34337
71936,34377
92605,34939
52657,32926
62499,33557
93761,34321
102418,34561
76865,33942
92783,35446
74320,34459
141232,36559
70216,34030
61332,34376
94350,34766
115585,34372
65809,34184
46830,33245
89776,34555
124042,36636
55831,33282
63493,33835
65258,33739
54927,33585
91191,34701
50763,33075
57739,34440
45972,33657
72497,34091
48991,34220
60314,33735
80700,34528
56227,34396
56677,34047
42510,33728
63305,34496
60244,35206
48814,33697
52063,33092
64884,34353
66540,33962
69085,33887
81031,34560
58551,34111
57465,34029
57765,33888
75514,34228
107938,35151
41456,33033
70799,33963
53909,33298
65078,33688
94122,34978
35879,33478
47089,33075
127770,36901
85303,34865
46480,33142
81795,34554
61564,34175
47320,33415
48919,33240
54273,34144
82337,34049
138376,36431
56765,34284
65943,34242
67692,34370
95846,35955
43147,33424
113962,35332
110712,39118
96760,37655
71922,35524
62179,35613
41571,33653
93166,36870
42666,33270
65450,34924
93514,36100
52960,34628
127212,36929
56877,34849
64635,34854
62158,35077
97372,36812
53458,34152
55360,34603
84046,34795
46697,34217
53248,35100
58438,34420
89510,35283
52933,33665
76946,34146
43581,32786
51946,33986
56321,33789
56118,35391
58722,33535
63023,34320
55072,34294
66068,34187
61491,34071
64687,34405
75732,34223
78898,33982
57736,33817
64540,34212
66145,33701
121185,35903
58012,33248
42125,32667
52270,33794
42595,32856
72375,34234
47792,33886
59580,33398
79381,34478
54330,34044
55908,33443
43997,33504
62132,33742
59014,34875
50585,33647
50100,33206
63196,34317
71067,34148
141738,36408
93230,35268
68186,33630
67125,34438
54075,33524
53728,33554
53846,33622
54686,33415
56520,38390
54051,38825
72094,38622
111824,39993
65379,39438
59827,37675
54148,35455
44067,34723
56890,35897
52809,34465
59498,35027
52491,34117
55752,34292
62747,34788
67095,34143
59448,33840
70454,34793
82075,34774
162227,38505
76917,34792
50353,34467
56240,34492
78324,35047
47754,34255
77701,35537
56765,33959
85780,35360
69096,34107
51602,34188
70413,34748
66167,34419
87346,34225
86066,35632
122482,37553
59025,34567
118809,36542
51827,33583
50914,33314
43813,33149
89186,35321
65708,34691
58535,34929
118690,43864
50062,33490
59459,34065
60157,33503
84154,34237
71806,34561
63882,34082
56560,34778
55417,33484
62223,34118
54072,34204
63035,34841
61199,33129
65826,34396
78421,34922
77007,34005
56850,33800
66858,33802
76555,43707
61554,35775
99720,36408
59099,35735
62983,35387
48666,34188
74227,35142
52628,34876
97839,35126
58692,33726
46305,33216
53073,33327
98543,34978
88661,41510
49868,34378
57362,33903
52203,33318
51342,32831
57556,33620
43949,32839
104581,35193
80022,34124
50019,33528
75426,34266
83461,35088
48302,33419
77344,33663
56837,34358
89253,34588
41935,33043
65099,33358
74848,34588
90592,34939
63018,33670
55706,33273
73280,34353
55729,32758
46073,33366
46676,32616
46136,32759
141077,36384
73810,33934
86849,34633
55773,33484
79222,34566
67781,35364
126204,35843
60924,34180
127728,35993
48263,32894
68168,33745
60782,33899
63704,34515
92980,35718
49986,32783
59627,34067
113995,34853
87613,35224
147545,36470
46132,32667
47275,32950
89575,34308
57367,33807
56098,33559
63608,33172
67983,34031
96327,34391
50065,33506
117973,36169
158941,37451
46574,32393
48590,32430
68654,34475
64149,32722
86851,33916
48623,33012
52669,32993
57634,33436
91046,34754
52996,33227
143546,35962
67212,34000
76924,34571
59014,34184
69699,33917
54106,33322
47410,32867
44948,32769
71980,34753
111587,35838
110935,35796
68830,34322
57083,34790
59004,34252
65410,33695
55381,34243
133916,36650
124023,36304
115947,35586
63378,34077
56724,34828
123234,35290
83106,34398
52020,33243
81857,34372
76624,34137
62740,34037
72325,34327
90539,33919
53879,32787
51625,32656
89354,34073
53181,33071
43305,32576
66509,34435
85850,34621
68416,33638
68576,34239
153784,38137
66462,79216
111213,80772
53356,76632
64095,77479
78780,81504
62281,77051
46223,81911
83227,77501
87919,75175
79411,74790
146873,78577
57433,76399
56643,71903
70731,73415
83634,73605
93427,73233
48085,71839
79832,73962
66336,73394
103054,73699
91655,72111
68279,72151
90492,72277
185949,76733
49284,69499
65064,70742
50951,70139
61096,71461
76512,70534
81573,73315
99971,71419
67917,71153
74796,71416
106363,72050
65274,75285
73126,96308
96230,102598
51466,97520
157868,95075
96243,88293
79019,86182
108039,86240
55599,81021
45871,77654
68927,78023
72638,77198
89134,77757
75145,76563
87374,76347
69028,73866
107794,76410
69802,73748
98463,77135
55846,74048
75131,72830
104391,73702
53830,71923
106046,73530
101694,73650
80702,72214
79995,72711
100176,73545
68249,73159
64918,76897
91409,76413
78964,75360
81634,74822
57186,71355
100349,73739
60757,72946
64413,72352
66498,72833
52834,70719
64687,72303
61362,71992
149269,76800
159793,76411
67197,71902
48999,69071
68269,71797
85754,72293
76417,72204
48149,70283
79559,71157
56354,72962
110653,72731
87173,72536
72152,70851
94577,73785
73151,70205
50369,68883
68663,70772
62790,71259
61119,69890
81168,71848
84452,71320
52418,70836
42155,79447
108945,72960
45349,69476
62636,72141
73982,71067
62646,72106
49225,69185
160850,75094
105539,72290
78913,70766
81508,69415
48143,69291
103458,73237
56429,70958
57336,70216
63676,70252
66301,71569
54287,69614
64201,71233
96324,71633
86816,71952
67907,71885
91800,70891
183234,75663
50192,69436
71101,76775
53524,70557
59155,70634
160752,74890
49319,68819
81603,72709
62875,70669
74835,72891
101301,73846
65802,70631
64963,72568
80504,72277
75729,72337
47663,69023
81559,71664
72168,70788
180853,76040
61342,69130
65007,70579
75121,71567
155684,73596
48978,69243
59580,70359
79786,70965
65750,70308
105539,72155
66071,70183
106429,75933
58850,70949
69640,69521
119601,79743
69549,94468
51835,95609
68274,93421
77921,87967
83523,86095
105521,83500
68404,81191
103617,81834
47752,75192
73174,78431
114202,78169
146718,80707
105132,75373
57469,73273
64499,74063
69847,74261
50677,72635
84660,74032
57705,71390
65588,78264
61472,73147
65675,72057
70404,73795
60960,71703
63533,70493
104207,72952
58256,72095
102166,72857
80240,80604
60465,73466
63245,73341
89748,73518
103746,73572
75121,72142
46115,69699
67350,71338
85085,72647
64637,71823
62552,74513
79480,77344
52456,72401
65088,73660
98867,73742
107294,73791
62055,71279
73697,71124
65725,71081
49443,70009
63838,70794
65025,72543
105806,74752
87095,74442
65922,71239
103022,74922
69695,71772
61269,70772
51606,72038
66564,73386
65681,71629
64221,72876
51497,70313
61366,71105
89919,71861
105128,72848
69458,70278
101844,72004
50659,70159
54317,71817
56855,70485
60639,97727
97491,118975
55460,107907
64638,98626
94482,119433
105563,94372
146600,89602
74237,114274
66643,101026
48621,91421
187706,93934
49740,83113
59458,86920
57875,83864
52640,81379
98766,83637
59704,81089
65617,79061
53751,80413
70346,78538
70274,77524
61919,76252
54408,75175
62464,76721
87396,76008
110467,76675
75445,76046
112440,78358
50009,72121
54793,73231
58965,73225
57248,73400
82705,73386
47561,71384
62742,71349
96618,73481
107066,75352
62959,72830
65158,70255
70728,72762
50817,70387
84590,74008
69354,70939
61015,72082
65029,72953
91764,71653
49516,70061
53706,71750
76792,129506
93463,126658
67336,116649
82980,114175
72278,115268
113760,93804
81001,89383
115346,86969
114493,85594
159222,84619
76135,80554
46711,76347
70106,78023
64804,76018
80404,77401
83774,82340
100922,76052
68055,73862
120989,75789
82667,74655
52337,72594
136744,76478
54047,70475
53619,72020
130442,75090
134437,76223
54449,69803
100984,72334
60956,70635
97791,76881
66717,74138
109472,75249
105698,75864
86870,74530
75691,73879
64760,74743
63668,75135
62134,73266
61904,72155
80820,73909
101661,73050
54491,70621
100441,75167
54842,70914
72970,71552
78632,71964
77227,73448
93695,72954
127173,75179
56270,76395
56516,71538
74479,72217
136117,76472
98222,73410
108946,74036
49626,70243
149581,75445
76592,72427
55688,71106
72777,71982
59222,70262
64183,72099
74200,71377
71260,71543
96481,73291
102768,73182
156794,74772
54596,70139
65675,70290
103763,72316
68859,71282
125382,73517
67750,70672
103321,71176
77663,71430
57514,72209
81640,76955
96520,73233
99459,71815
68032,69615
83829,72248
85988,72333
108062,71765
67542,70629
59945,70283
76542,71141
78927,71149
103462,72817
49315,74416
93673,74793
62882,71657
62433,70475
74723,71059
57205,69194
65482,70512
64887,70198
73648,71255
109081,72441
141384,75641
62889,71302
60166,70993
70299,70035
62205,71610
63192,71038
63093,70129
81770,71371
103330,70855
54275,70812
103106,72795
51237,70802
73876,76000
82280,71126
79268,71211
97482,72216
66149,69363
58121,70215
79348,71337
53984,71267
73086,105610
119468,100307
115748,100977
65014,90705
70269,85380
71047,85627
99290,83101
157156,84885
58148,77893
61345,78657
58128,77083
99020,78200
78635,74840
78162,74219
64585,81616
98601,76661
52546,72948
85554,74482
65676,74097
106279,73695
84321,72936
65904,73751
94620,75165
182225,81190
52746,70370
69153,72359
137259,74233
73949,71313
84835,73582
92994,75661
109166,73959
69638,71764
55916,72426
57543,74290
57513,73045
50022,71514
169396,75233
89453,72057
60878,71816
63139,71003
74618,71795
106505,74025
62575,71758
103717,71935
63077,70396
108431,72407
102227,72089
169543,75300
96362,71072
66966,71260
56153,70110
92415,72721
57580,70147
60257,70313
55337,69642
61921,73287
89774,71714
102034,74028
71982,71121
108990,72660
51144,69106
54127,70243
55348,70289
123078,73137
45998,69207
71623,72120
82519,71439
54449,75271
156879,75859
166554,75435
55965,69823
53412,69679
97779,92652
70579,70495
190073,75800
82309,71203
106516,75924
42037,68213
48138,69137
70262,70672
153199,74578
53010,69592
59325,71442
103302,72961
70982,74251
208473,76497
54667,69204
61413,70316
89077,78589
99288,72979
62545,73714
50254,69208
83220,72512
67638,71631
81143,72579
87404,73235
121785,73712
66083,70660
59966,69797
67222,71124
54855,69652
53415,69086
93806,71127
60682,70435
49381,68129
61457,68858
75621,70501
102667,72166
68466,69784
97317,71090
94750,72877
89932,72299
95592,70503
86102,71755
67718,70887
66769,70857
63982,70348
63156,69747
72279,97084
92270,101269
111491,100677
116445,92854
85797,87018
105862,85925
193891,92298
53154,78994
48327,76669
81920,77458
63411,74863
88951,76270
82157,76175
53281,74763
63074,74290
84117,72862
109202,75636
49236,70833
182772,78752
60475,71330
83349,72230
138665,75664
64318,70157
68799,70961
171314,81242
56499,70832
63464,71866
110375,75449
58811,70232
83456,75511
75985,72306
91273,72216
65675,70660
106130,72875
67300,71198
105183,74418
58980,72661
70721,70610
104389,72414
59979,70086
47948,70795
64403,72105
79539,71496
86717,71091
105278,72233
66065,70186
58165,70067
68228,73404
96531,91381
61061,71739
67003,71719
99993,71773
64822,70495
68745,71082
69540,70520
85555,71897
56558,70237
58331,71044
53145,70031
103643,71185
104660,71364
92107,70072
70626,70405
63910,70331
103620,72494
56889,69846
109903,71942
112494,73870
82838,70705
77163,71226
108242,72197
63014,71740
157088,73671
61068,71996
60181,70203
54170,70373
56389,69881
80872,69999
77985,69932
52887,69416
64014,72067
86771,72370
161576,74860
74299,70919
69067,71580
72428,70837
57279,71481
71386,70456
68825,76064
69774,74643
84264,74254
75821,74928
92271,74023
76724,74505
