mark_time_ns,sweep_time_ns
3946740,65000
6269899,92555
10925127,223537
3490477,169989
3461109,167743
3472303,164569
3460491,163505
3461380,160623
3464795,160273
3464889,158519
3489596,154951
3523762,153405
3542137,155612
3532245,151104
3542846,150517
3773765,161733
3941125,377859
4523040,390754
9991917,498095
3327174,397868
3330044,395090
3342780,389969
3363322,390165
3412752,390318
3604459,393816
4781194,406311
8271576,587466
3380242,448204
3346356,454074
3355284,437637
3364799,421135
3441081,411200
3445874,406035
3721355,407945
4732159,428153
3581453,419825
3345399,418166
3378635,410909
3374745,405625
3408971,398512
3450375,393072
3648195,403082
4814015,418033
8163817,507052
3288188,367640
3307672,396106
3325998,389591
3346153,390691
3407863,385823
3400411,384792
3686910,395461
4677205,413430
3564173,406052
3332078,402766
3363054,397244
3366273,396262
3424242,393740
3547987,406283
3780985,429012
4964675,435734
8285347,479860
3328944,372576
3356102,402763
3378132,395428
3400072,390960
3452577,386564
3404478,384781
3680270,389018
4683350,405370
3573344,406260
3341135,401763
3354878,392643
3368486,398376
3415465,393647
3466749,387472
3649034,397710
4807075,412754
8135234,464673
3287985,360684
3309506,390983
3318911,389943
3374080,382186
3387176,380449
3406127,382544
3697319,426244
4690280,409780
3550914,403787
3336074,402319
3351160,391974
3354387,389686
3491785,514546
3607571,499067
3656522,460078
4810514,460803
8171393,500358
3295745,399176
3303638,417349
3325497,407471
3342058,401017
3391651,396257
3407781,401236
3700106,400188
4691122,410854
3566161,406880
3334318,409391
3347846,396456
3409788,400738
3408281,404440
3466201,390751
3645490,394746
4800152,417091
8126267,465875
3279229,402283
3306263,392212
3309950,385814
3336730,382622
3417625,383571
3407543,388114
3715488,390099
4690169,407791
3571105,401868
3349183,406191
3433599,415430
3378655,402503
3399314,402053
3488335,391724
3675517,395697
4817530,415166
8190060,467130
3287020,360360
3288926,394032
3354247,385443
3341941,382747
3402151,383267
3404682,388914
3728202,413896
4706857,417881
3576426,401643
3333021,403792
3354243,392556
3362505,394527
3394841,395518
3453885,385878
3641461,393015
4804273,417013
8128017,464046
3295792,359125
3300661,398594
3337781,386302
3349332,385525
3433336,379037
3408904,383141
3701954,389180
4702373,444636
3705396,492281
3458616,558986
3402853,453875
3384364,441603
3410613,426735
3449924,415736
3647808,414485
4804808,435201
8151002,476455
3287835,375674
3303313,402676
3326114,394492
3341261,395891
3387098,389724
3403884,392652
3690525,397306
4699757,407331
3565906,407276
3343841,405967
3365407,399273
3377367,397160
3433908,399159
3456889,384650
3644504,394511
4794524,414055
8127297,464032
3282632,359746
3294604,390114
3328428,388199
3334666,384373
3393703,378242
3409941,388234
3689663,392026
4700843,421370
3579327,408455
