mark_time_ns,sweep_time_ns
78960,25562
55998,17577
62021,17415
57811,17406
56262,17289
57837,17466
56204,16943
54680,17105
56943,16704
55700,17285
56378,17590
53054,17394
55238,17214
57661,17265
55714,17084
54625,16893
55186,17419
58030,17426
56994,17353
54275,17169
55272,17284
56874,17263
57139,17219
55567,17396
55927,17200
58619,17198
57133,17095
54878,17223
55553,17290
56985,17189
56368,17196
55178,17228
55023,17229
57902,17125
56845,16993
54200,17163
54612,17222
56809,17423
57456,17095
55931,17306
56566,17370
56518,17202
56388,17024
55619,17181
55208,16940
57345,17239
57025,16993
54762,17162
55299,17201
57761,17009
56123,17076
54308,17399
55499,17098
56170,17173
58320,16895
56143,17355
55344,17139
56721,17135
56793,17038
55396,17075
54717,17228
57268,17127
62924,17900
60119,18304
56679,17634
58564,17685
57955,17490
56266,17687
56251,17626
59215,17698
59596,17480
56119,17633
56311,17524
58753,17666
67926,17649
56490,17820
56697,17613
58611,17599
58141,17545
55614,17691
56578,17780
58467,17700
57297,17642
55988,17619
56225,17220
57322,17241
57342,17116
56273,17134
55684,17167
57080,17145
57022,17266
56159,17246
55577,17253
57276,17141
57330,17122
55920,17367
55369,17202
56500,17159
55927,16941
55196,17268
56827,17263
57150,17395
58290,17316
55174,17221
55857,17104
58006,17556
56885,17154
55074,17214
54935,17398
56835,17070
57826,17038
55580,17065
54527,17139
56849,17208
58866,17074
55291,17141
55222,17298
57245,17190
56357,17106
58397,17764
55906,17239
57528,17174
57248,17083
55112,17056
55496,17277
57120,17443
57455,17010
55312,17243
54634,17000
58019,16943
57148,17029
55497,17149
54920,17120
57304,17291
56669,17060
54893,16937
55845,17009
57348,17045
57065,17029
55456,17042
55501,17098
56606,17033
56538,17152
54802,17101
55994,17026
57915,16950
56667,17111
55498,17266
55046,17116
56447,17048
57179,17152
55540,17288
55551,17147
56706,16987
56749,16973
54718,17233
54931,17130
57234,17046
56732,16969
59509,17730
56489,17098
57424,17119
57038,17074
54674,17081
54703,17059
56583,17126
56509,16998
55661,17485
55174,17053
57782,17047
56775,17044
54633,17277
54305,16999
57291,17076
56191,17003
56886,17124
55757,17049
58200,17307
57505,16873
55157,17138
54815,17152
57004,17116
56901,16956
55524,17082
55153,17211
55968,17209
55426,16997
54307,17108
55843,17302
56403,17005
57719,17173
54888,17396
55033,17094
57942,17193
56802,17186
55348,17183
54942,17096
57193,17470
56276,17027
55256,17246
56395,17181
57537,17122
57463,17177
55774,17214
56159,17140
57433,17265
58010,17068
55723,17103
55063,17258
57417,17095
57121,16979
55608,17082
55245,17089
56704,17155
56975,16979
54996,17172
55188,17069
61357,17948
59539,17456
56960,17683
56198,17060
57674,17233
56968,17068
54946,17082
55310,17159
57399,17150
57397,16979
55092,17053
55289,17189
57219,17141
56864,17055
55103,17073
55259,17166
56593,17158
56574,17065
74521,18263
56404,17166
57455,17139
56627,17165
55543,17220
55318,17346
56905,17139
56307,17145
54739,17277
54873,17279
57078,17176
56844,21576
55304,17189
54685,17215
56989,17032
56760,17089
56463,17075
55145,17051
56610,17024
56098,16935
55052,17011
55293,17007
56192,17166
56327,16922
54825,17024
54190,17176
57057,17220
56739,17004
54988,17333
54835,17032
56618,17148
57979,17094
55119,17154
55497,17137
56973,17091
55983,17115
55006,17109
58424,17771
66182,22781
68445,22361
78443,22683
76808,23708
69245,22763
69704,24253
69661,24892
58801,17963
59019,17348
59480,17286
56099,17124
55878,17327
57029,17240
57943,17186
55081,17309
55548,17208
56969,16962
56314,17079
55134,17244
55083,17251
56030,17053
56501,17068
55266,17047
56533,17443
58018,17043
57444,17143
54505,17441
55430,17146
57008,17497
57677,17058
55976,17174
54611,17131
57617,17094
57830,17172
54893,17149
55055,17169
56669,16983
57186,17151
55490,17259
56331,17140
58029,17142
56469,17043
54566,17314
54866,17239
58395,16945
57046,17052
55040,17551
54822,17260
56338,16990
56969,17040
55235,17222
59708,17328
56667,17030
57271,17048
55742,17308
55904,17182
57336,17046
56832,16860
55421,17201
56459,17306
