mark_time_ns,sweep_time_ns
1403020,39426
4402706,91859
4208679,96731
3238165,204046
11146248,233430
3640719,193875
2624512,222650
2220540,250877
3880895,267154
6525353,248673
4022771,245136
3028392,307052
2351663,310830
7915834,278755
5597171,440655
2673985,374811
3486453,373115
3976051,391614
2546273,418935
2735378,370643
2331355,376378
1805398,426717
4211320,437185
5799823,449375
4102556,405179
3437804,377045
3046435,489156
3599387,372500
2221107,399510
2119852,402371
4817679,498288
5983020,494423
2383742,447437
5515894,434880
3642033,409056
3606626,410041
3936681,386648
3168055,374718
1985674,409221
1933952,417768
2045192,414982
2707717,392509
4237518,531720
5665639,432016
3927874,402980
3554125,375573
3069717,370491
3197098,377246
2245043,377219
2061598,422118
1988411,423664
2567794,437503
2383321,426535
2245521,371739
1755024,423349
1765844,429437
1833076,420440
1863212,434670
2731392,395686
4227502,383757
3842475,395817
3663602,406161
3428521,409929
3183544,502217
3074014,443477
2630672,491192
1946510,444029
1944541,432852
1939247,432945
2031752,517814
2441305,443091
1906894,433122
5506129,437333
3109868,425764
3971888,374364
3051654,359604
2666212,364030
1857112,415209
1891544,424042
2199099,433068
1824086,426076
2208295,442783
2276622,438189
2265821,440121
1910910,440546
1830716,440864
2273258,380330
1671511,411332
1697664,444887
1895839,441031
2149190,453098
1739476,531732
1745952,429913
2202289,383234
7279697,420837
5486005,432220
3824615,405245
3783087,398735
3468252,398650
2894314,388290
2866893,435479
3291464,385297
2070661,420221
2361508,434679
2327190,378746
4214139,427926
2570735,482992
2515832,483382
2083864,448095
1918225,429648
1996476,476370
5576232,433060
3012610,377770
3541738,374185
3515321,367150
3037852,368486
2163600,461977
2261470,380656
1829882,432798
2110290,443459
4566271,443094
5728802,445776
3995905,408406
3443935,373461
3172531,520421
2705957,390851
3042893,387537
2398739,419233
2453128,428453
2413118,430863
2410884,437615
2155611,430229
2416658,472905
2368411,391463
2115923,437932
2071613,434669
1960917,427080
2190812,441132
1910811,419973
2201613,441787
2228505,437550
2692505,393136
3673539,366889
4078665,437424
7405211,437358
1488890,427031
1890168,445939
1883375,548440
1888651,453621
2287588,452342
1947290,433977
2130920,483800
2253682,450293
2271592,448549
5582325,446050
3524766,396638
3777596,397743
3181012,375366
3240244,376247
2211934,415531
2108962,405193
2186668,400706
2264285,462688
3082097,382626
2366792,501429
1738957,431877
1730853,433657
2218853,379612
4051391,385528
3651709,383360
2885332,409226
2624343,401140
6537637,428088
4550935,421825
3412891,413600
3181037,374843
2827811,384989
2589568,382254
2409234,415582
2790577,376661
2344621,363398
1729629,418183
1745773,538312
1928223,439589
2223395,442638
2232624,442391
2154619,448090
2679657,393673
7143179,416807
5901321,428230
3412035,418658
3790128,362208
2695887,395191
2512991,491395
2731822,371679
2341488,365496
2163704,369667
4128083,389651
7988447,425719
5472134,440889
6133195,422219
1930155,414499
2715171,392090
1868235,420684
1981017,445690
4105529,451730
2868755,496018
6198283,436803
3829342,408164
3403116,372693
3062128,385661
3322825,372114
2673493,484990
2663783,380732
2633490,383779
8418995,419080
5500556,431153
3370048,404165
3842340,580250
3498412,383991
2839746,369535
1928703,418799
1901231,425599
2404165,389037
