mark_time_ns,sweep_time_ns
30288,15958
17812,14042
14600,13765
12835,13778
12692,13607
12403,13683
13189,13472
16815,13436
12038,13462
15509,13493
11985,13446
12179,13569
11617,13474
11577,13510
11266,13279
11533,13660
11076,13404
10828,13555
11330,13513
10171,13403
11024,13396
11400,13453
10948,13420
11329,13352
10697,13268
13749,14490
12241,14414
24869,24343
24244,22814
22454,19524
20674,16783
15467,14139
11968,13756
13146,13470
11948,13474
12449,13632
12008,13500
12210,13682
13698,13528
12159,13482
12242,13350
11600,13726
11496,13431
13250,13592
11891,13407
12902,13485
11831,13607
12942,14087
12457,13748
12462,13932
14300,14744
11743,13984
10683,13437
10772,13553
10725,13446
10794,13472
10326,13448
10485,13585
10744,13330
10884,31018
10741,13403
10537,13577
10561,13618
10993,13270
10815,13478
13450,13491
11021,13320
10805,13357
11191,13394
11345,13377
11492,13551
11354,13349
11065,13583
11329,13337
11088,13361
12388,13863
29373,14380
26764,27115
23536,23074
22149,19789
20273,16472
13774,13860
12518,13838
11867,13550
12568,13649
11615,13654
12228,13381
11653,13526
11747,13499
12409,13612
12449,13637
12112,13517
11451,13684
11566,13391
12937,13665
11810,13532
12170,13879
12189,13529
12713,13787
14208,14217
14671,14089
11873,13478
10192,13566
9895,13446
9885,13483
10023,13495
11201,13734
10360,13601
10772,13610
10823,13381
10625,13570
10354,13408
10854,13549
10216,15637
10688,15704
10201,13435
10241,13303
10513,13262
10451,13378
10533,13333
11534,13497
11081,13951
11011,13316
10763,13598
12678,14120
11524,13608
22001,19703
24427,22381
21633,18719
21320,17080
19204,15041
13538,13811
12315,13546
12544,13639
11626,13314
11995,13631
11630,13479
12168,13700
11798,13575
11920,13731
11835,13415
11791,13601
13046,13809
10986,13649
11310,13512
11470,13531
11876,13725
11987,13748
11715,13647
14535,14043
12870,13670
11835,13828
11662,13759
11206,13872
11076,13378
11159,13518
11087,13510
10650,13596
10609,13522
11082,13668
10839,13609
11111,13638
11152,13396
11150,13898
10905,13551
10821,13643
10794,13312
10859,13585
11049,13581
11048,13577
10783,13221
11196,13613
11168,13537
10807,13499
12325,13912
11431,13431
25612,25861
