mark_time_ns,sweep_time_ns
242655,43888
145721,43177
137352,42723
125100,40661
127300,42270
126873,42336
137184,43274
158682,93531
141229,88813
149372,89195
142727,85824
136978,86183
134484,85401
137102,85604
131011,84325
123270,83540
116571,82291
116043,83398
135176,81080
115930,81092
123285,82002
128746,86717
121026,83770
121163,82284
123520,82944
121185,80998
117757,82071
122135,81583
122425,81814
121700,80850
128321,87855
143460,125036
126062,114793
121938,107272
123904,101320
121223,98393
122100,94358
121585,91209
120172,89564
122672,90727
122042,87348
124764,91308
120422,87967
121512,86981
123600,86799
121722,86238
122979,83816
120142,83099
121917,88679
120128,83019
122121,81921
120532,82670
121494,81946
119172,81668
120209,80914
119921,81091
122364,81170
126151,81284
119992,79579
121592,79780
122707,80214
128115,84053
121010,82351
121430,82643
121297,81449
119817,80189
120786,79378
120291,80202
121608,79776
121515,80483
128129,83912
146810,125701
125337,113191
122857,106494
123155,98999
122470,97017
123647,95249
122548,92773
121053,90808
121149,90651
122346,89371
123274,90703
120662,88390
122650,87369
123024,86000
126239,86297
120598,83758
132208,97036
121845,89682
119164,88185
121397,84771
120452,85413
124291,85370
123002,83555
122139,82949
123268,82627
122064,82218
119481,81175
120522,80454
119465,80677
123565,81733
125250,84831
121720,83254
121053,81862
120704,82083
120565,81861
121784,81605
117873,81236
121811,79240
120586,79684
148027,103039
145600,125718
127007,114401
119721,105932
124394,99788
120827,97770
122326,95120
120997,92248
122258,91303
121717,90941
121937,89545
127974,93891
132075,87880
119512,87089
123082,87657
137744,107898
121988,99294
121608,96032
124289,94161
120734,89970
121013,87900
119590,85704
121450,86212
120315,85281
121366,83586
121021,83943
123254,83161
120060,82508
121150,81726
119671,81261
122979,82508
123324,86536
120779,83091
120118,81818
123264,82646
120630,81559
120360,80186
121208,80710
120169,80403
120723,80059
135969,93016
144452,126010
127072,112571
122189,104445
121932,100489
122437,97388
121053,93271
120155,92800
122077,90020
120554,90429
121103,87372
122437,89083
120888,87271
120651,85981
121008,85634
120839,82612
121526,83617
119715,82607
122681,81979
120775,83140
119655,80701
120522,80999
122012,82080
119575,80983
120404,80529
120057,81347
122041,79454
120926,81728
120309,79666
121567,79536
122602,80382
126527,84534
120524,81848
119333,81352
119509,81383
119961,81894
119850,80304
120838,81175
119988,78997
121065,79598
128379,88688
145399,126184
130869,113714
119975,106369
121561,100470
119058,97177
122165,94576
121055,93978
122102,90331
120165,89238
121611,89457
123782,89917
158464,87356
121625,86396
122671,88455
122535,85124
123539,84856
121441,84726
122455,82679
120597,82129
122960,81837
119329,81757
121943,86085
120777,79985
121416,81530
121288,81496
122972,80638
119566,80833
122684,80248
119655,80202
123660,81246
122974,84562
121277,82048
122094,83004
124180,83203
118912,81333
122038,81162
119657,81094
121199,80115
121090,79974
131597,92763
144390,125878
125863,111219
121704,105556
121576,100518
122927,98159
126321,93979
122901,93504
121731,90769
120524,88207
121080,88647
126716,91202
124679,88005
119281,86537
122591,86365
120616,85428
120786,84306
127312,85409
122044,83670
121106,83145
120542,81020
121697,81683
121467,80839
120108,81509
121359,81102
120755,79871
125778,79459
119772,79662
119545,79055
122082,79512
121378,79562
127757,86280
121139,82560
119027,81651
120984,81353
119570,81494
119342,79390
119390,79946
119126,79820
120349,79926
132493,90134
143392,124496
126927,112389
121723,104332
150604,99581
121707,95724
123097,93663
120493,92356
121720,91038
121039,89196
123433,87354
127149,92782
121275,85911
119988,84776
121924,86002
119188,84121
123481,83455
120722,84021
121518,83760
120524,84541
120938,82330
121542,81306
121853,82071
119818,80501
120081,78841
119830,79143
121356,79921
119575,79909
120794,79587
119982,80509
123194,81259
124297,86487
120120,82224
105611,78741
