mark_time_ns,sweep_time_ns
109644,7648120
83359,7632172
204469,7676642
79408,7647082
93317,7644259
81351,7641515
74662,7638727
86920,7706407
163053,7637585
93980,7637683
99482,7619529
76558,7632394
110431,7642819
80968,7671017
74194,7629652
91486,7641456
88437,7669889
77439,7631903
69190,7645692
82273,7629488
77560,7635492
101275,7665927
133625,7628343
103277,7639871
93531,7604437
89179,7640006
79865,7628856
68917,7623667
87002,7627847
106274,7635007
77798,7692462
89617,7628616
80787,7634880
75080,7632155
89767,7671124
84689,7628603
79864,7650893
67548,7640973
120721,7637589
75467,7640183
83568,7636992
66522,7629347
104160,7650490
83935,7760810
67658,7637292
68681,7626188
78955,7828624
85213,7716262
96047,7631720
75168,7688311
76746,7676987
74554,7667417
78230,7676847
74915,7637003
81828,7708605
110551,7810139
72720,7636780
92551,7658776
168217,7652833
82290,7634688
81504,7637293
73293,7687209
59499,7669814
72778,7639772
74516,7633509
66732,7630731
184425,7640514
67485,7622461
71549,7676491
93312,7695732
71942,7691514
74778,7691889
90322,7646959
85108,7733854
73728,7599587
71467,7696388
80265,7628642
77420,7633793
102647,7679433
64335,7658607
67614,7670761
70261,7632492
159891,7640774
86619,7662783
82891,7619233
59428,7639018
90650,7693361
70766,7641327
79747,7636117
72790,7628008
71005,7666078
75911,7636497
84397,7650198
104699,7642255
61959,7635713
77308,7628374
69372,7638603
73484,7639780
74286,7634844
67203,7629427
58578,7635728
72784,7692695
69903,7629702
68762,7645367
191748,7624633
70621,7635140
82185,7620783
92205,7628879
65644,7627706
70911,7626925
90787,7640167
82328,7618201
64284,7630784
70999,7629929
70359,7646168
62150,7641723
61901,7671636
76533,7633800
91010,7749154
73981,7643585
60927,7634040
164652,7640584
83576,7643985
80948,7633936
88015,7639789
74333,7637820
84823,7631606
73019,7628208
62703,7642361
65209,7638763
84972,7827716
112636,7715152
71680,7633089
77496,7688775
94686,7664604
70706,7639113
73365,7621401
68425,7621086
67862,7670992
75432,7683280
70220,7627712
68263,7633795
186157,7674465
58536,7677401
84549,7624190
94272,7746476
72587,7690212
70348,7678615
88125,7687753
86632,7679968
65106,7668887
70019,7631157
79178,7681445
68361,7599676
97849,7645806
64780,7641340
68063,7629237
60569,7632381
163532,7635083
77642,7632718
86128,7628705
60178,7731728
79764,7636426
72127,7644875
74894,7676776
65224,7675871
63247,7628692
64834,7655514
73507,7681628
96604,7688903
64842,7728345
67282,7646549
60085,7616147
59994,7630720
64520,7631708
58747,7620810
58535,7601133
63806,7642088
61765,7685687
59404,7645849
182722,7631236
57229,7627846
71742,7636954
83735,7605024
63877,7627189
63404,7643055
78759,7662662
74437,7634385
65478,7630890
61278,7641996
