timestamp_ns,collection,mark_time_ns,sweep_time_ns
9131717,0,100582,27111
15312999,1,68922,12924
18557093,2,49765,11382
21983695,3,13976,8346
25603054,4,36800,10019
29095941,5,36129,10350
32577318,6,63541,13095
35713636,7,51148,11652
39136811,8,12975,8076
42749317,9,35498,9869
46247345,10,35778,9879
49736496,11,35507,10100
53224745,12,63561,14558
56302161,13,52760,11783
59622981,14,39665,12664
62988316,15,12373,7795
66529105,16,35288,9798
69982328,17,35357,9999
73405743,18,34917,10229
76837324,19,62950,13175
79904370,20,53272,12203
83218588,21,40307,10189
86582059,22,40758,12413
89978403,23,40808,13115
93359629,24,45486,12965
96752917,25,40246,13707
100163548,26,40577,13516
103552718,27,40377,14528
106950364,28,40337,13676
110345255,29,40979,14026
113744194,30,40237,14377
117129327,31,40186,14899
120519960,32,40016,15770
123921825,33,12363,8647
127471391,34,35307,9839
130918962,35,35208,9948
134367726,36,35668,9989
137793566,37,62499,13596
140851355,38,53472,12203
144154471,39,40617,10871
147516890,40,39716,12394
150905900,41,17684,9368
154394871,42,32242,9538
157880826,43,35217,9959
161312918,44,35227,10069
164734590,45,62970,12845
167817356,46,52090,11532
171138006,47,40176,12725
174512688,48,39957,11992
177897009,49,40157,13285
181272023,50,39655,13416
184669820,51,39926,13987
188051756,52,40197,14007
191447810,53,40226,14668
194849213,54,40097,14517
198247280,55,40257,15049
201645939,56,40266,14618
205042854,57,39926,15509
208446431,58,40588,15209
211844569,59,12334,7895
215403473,60,35648,9919
218842909,61,35398,9929
222274260,62,35257,10270
225714036,63,63181,13395
228772156,64,53421,12103
232117813,65,41078,10981
235524897,66,40447,12704
238953463,67,40186,12885
242366319,68,39996,13486
245771730,69,12514,8125
249331906,70,35397,9929
252809064,71,35387,10400
256261915,72,34937,10260
259699648,73,62369,13235
262763558,74,53743,12143
266065723,75,12113,7995
269631970,76,35218,10249
273074623,77,35077,10240
276523397,78,35378,10640
279963464,79,62680,13345
283002928,80,27573,9237
286506416,81,35157,10159
289947686,82,34906,10210
293383445,83,70724,12995
296471300,84,52000,11602
299813251,85,39996,12624
303246436,86,40527,11662
306659702,87,40377,13365
310179932,88,40828,13866
313608267,89,40697,12815
317033185,90,12494,8215
320628939,91,35247,9819
324098262,92,35427,10400
327554079,93,62710,12974
330684196,94,50316,11652
334067325,95,12414,7995
337677917,96,35297,10000
341186595,97,35047,9909
344631582,98,35397,10130
348072481,99,62699,13145
351200242,100,54935,11903
354503389,101,39485,12564
357867191,102,39565,12273
361247444,103,39856,13316
364629852,104,12273,8526
368184377,105,35147,9689
371630025,106,35167,9989
375061145,107,35277,10280
378499569,108,62760,13686
381559302,109,53311,12314
384851286,110,40698,10831
388242400,111,40357,12424
391646890,112,39936,12484
395042603,113,40678,13706
398442554,114,12404,8366
402018270,115,35507,9969
405477163,116,35117,10199
408930395,117,63050,12795
412050092,118,22402,9088
415569410,119,35307,10140
419038172,120,35388,10309
422487127,121,62319,13085
425583890,122,50746,12194
428928455,123,39926,12754
432338014,124,40657,12304
435771198,125,41088,13456
439196878,126,40287,13816
442618370,127,40617,13456
446064418,128,44044,15800
449549773,129,40817,14508
452991353,130,40747,15219
456446519,131,40547,14598
459909580,132,12413,8386
463507097,133,35458,10159
467002860,134,35688,9889
470481020,135,35458,10349
473944031,136,63411,13135
477024964,137,53742,11963
480477846,138,40467,11682
483880803,139,12283,8336
487459965,140,35287,9789
490964365,141,62699,12504
494118737,142,19157,8857
497672822,143,35197,10109
501103792,144,34987,10950
