timestamp_ns,collection,mark_time_ns,sweep_time_ns
3025305,0,2632617,43012
8753411,1,4009691,49815
16923220,2,6993398,110090
26050174,3,1482445,346791
37406495,4,1433161,294111
43589819,5,1408755,304530
49750620,6,1440294,295954
56097455,7,1454101,301815
62559810,8,1422190,291946
68973092,9,1433201,294050
75243241,10,1455594,308528
81366480,11,1456025,299491
88240861,12,1493005,299380
94793668,13,1464921,296215
101145813,14,1607854,291275
107732425,15,1687386,290514
113822662,16,2207356,282148
121890586,17,1914939,292368
128298348,18,1985754,294311
135376797,19,3873883,274823
160976522,20,1439063,646642
173113252,21,1417962,623187
186850861,22,1416269,665067
198550347,23,1437549,605715
210609988,24,1475683,622436
222489247,25,1700130,617497
235573652,26,2434118,598080
247988761,27,4791972,595455
264437026,28,1467587,629169
276327687,29,1460042,624110
289722994,30,1422100,625422
301200106,31,1434594,621775
312558041,32,1513354,617066
324074577,33,1726972,610052
335936924,34,2449127,588371
348267873,35,4737869,568673
363954647,36,1447178,641863
376773927,37,1459982,621014
390527507,38,1441056,637415
402323086,39,1440806,635060
415716339,40,1548140,638387
429431897,41,1702935,612758
441881331,42,2408971,614361
454749244,43,4675731,568734
471039709,44,1404386,638066
483987323,45,1438542,628197
497615093,46,1426749,632546
508969331,47,1561115,626173
520505476,48,1514566,619070
532103397,49,1716361,617177
543942229,50,2431313,587600
556406031,51,4760392,575366
571981133,52,1483807,632265
584833705,53,1610520,623247
598518445,54,1453540,630912
610730076,55,1456526,615713
622855113,56,1503445,643236
635100389,57,1690532,632785
649377887,58,2675439,597679
663133151,59,4998415,577190
679747042,60,1523974,641763
691948464,61,1534735,631844
705683088,62,1440986,624089
716780837,63,1476644,621775
728250905,64,1503265,628808
739668905,65,1712533,619481
752024591,66,2441072,585706
764478243,67,4776714,568012
779617825,68,1447228,628167
792047031,69,1453911,619671
805702976,70,1427280,619190
817473848,71,1439853,620142
829550111,72,1504597,622266
841142453,73,1704227,612868
853013795,74,2420674,550108
865361607,75,4697843,568303
880372162,76,1446847,625573
892256400,77,1449222,625813
905656006,78,1453349,622306
916907738,79,1446827,628177
928259962,80,1517021,623879
939777491,81,1705570,611586
951606433,82,2415664,592820
963778881,83,4733620,583622
978837287,84,1437239,638998
991575984,85,1440415,623648
1004031790,86,1462457,634209
1015736025,87,1455324,634749
1027891209,88,1529685,627947
1042034181,89,1714959,610693
1053703049,90,2399783,596206
1066130361,91,4659169,569125
1081133764,92,1436657,629280
1092994797,93,1441387,623788
1106254496,94,1451025,620543
1117450181,95,1440195,625862
1128901103,96,1508525,620463
1140354490,97,1764603,613389
1152376320,98,2437124,597589
1164750692,99,4675751,569275
1180361361,100,1445154,621514
1191933985,101,1455023,627005
1205458579,102,1444883,630612
1217142745,103,1445585,622567
1229202227,104,1493196,628137
1241859939,105,1694639,610524
1253786056,106,2424100,590816
1266043305,107,4685298,567632
1281075061,108,1446336,629430
1292429129,109,1453820,621755
1305846908,110,1440896,628789
1317091237,111,1439283,622957
1328244612,112,1507803,631934
1339796406,113,1710830,621725
1351345916,114,2427406,563514
1363696803,115,4604555,571309
1379453801,116,1428022,648816
1392129647,117,1482445,624210
1405616349,118,1431508,621455
1417333799,119,1446636,634029
1429604042,120,1523323,628077
1441302747,121,1695541,613669
1453584682,122,2411005,591357
1465601994,123,4645913,570878
1480832197,124,1463529,633698
1492530822,125,1471334,623187
1505905960,126,1464501,627226
1517070397,127,1466274,621755
1528450073,128,1529174,624600
1539845920,129,1710129,614621
1551495911,130,2570489,590095
1564336972,131,4822160,580105
1579415979,132,1463559,645199
1592244145,133,1478678,639398
1605578216,134,1472165,635331
1617049557,135,1460633,633778
1630618695,136,1499708,638617
1643391376,137,1732983,642184
1657028103,138,2447695,587750
1669557661,139,4803304,571169
1684481923,140,1451155,636713
1696318740,141,1557007,620863
1709877228,142,1440185,629680
1720974075,143,1430106,630241
1732330888,144,1512503,619791
1743766171,145,1698206,612056
1755354103,146,2467322,600805
1767917055,147,4722630,579975
1783036788,148,1429635,637855
1795352368,149,1455183,652053
1808620533,150,1463809,632416
1820374352,151,1467247,622897
1832420419,152,1532651,619130
1843947536,153,1721981,616034
1856083133,154,2421745,561500
1868881192,155,4718341,571439
1883900364,156,1446386,627185
1895889842,157,1452909,634389
1909259681,158,1444803,623909
1920433415,159,1477866,624200
1931815175,160,1527110,621645
1943320971,161,1718295,609792
1954906911,162,2441022,588522
1967137128,163,4723792,571108
1982608041,164,1432039,624430
1995274630,165,1460613,645099
2008564757,166,1457617,621795
2020293358,167,1468709,624981
2032255895,168,1516029,618318
2046364472,169,1675893,613710
2058277163,170,2398281,608299
2071179171,171,4775430,568193
2086965765,172,1448540,653546
2098482082,173,1419775,618860
2111850007,174,1439764,626654
2122865529,175,1439022,638207
2134158881,176,1490441,619911
2145633158,177,1689399,18446744069415194463
18446744071572163894,178,2417146,582600
18446744071584335109,179,4716087,569746
18446744071600204801,180,1442840,625692
18446744071612825393,181,1436868,623799
18446744071626640389,182,1457778,624200
18446744071638127951,183,1458209,624040
18446744071651377592,184,1530035,618599
18446744071662955866,185,1718855,615574
18446744071675419819,186,2442745,594052
18446744071687820941,187,4650803,569966
18446744071703222592,188,1459161,623097
18446744071715838584,189,1434484,620903
18446744071728885869,190,1446476,623118
18446744071740053261,191,1467055,619261
18446744071751348716,192,1516460,616124
18446744071762906462,193,1729145,612688
18446744071774678155,194,2432105,578552
18446744071787144963,195,4705597,570297
18446744071802777855,196,1463809,632907
18446744071814447643,197,1437690,623017
18446744071827798066,198,1454131,626103
18446744071839437556,199,1468890,622246
18446744071850944355,200,1525898,619220
18446744071862419844,201,1713205,620523
18446744071874218128,202,2440922,586477
18446744071886478653,203,4680820,585747
18446744071901871818,204,1494768,641553
18446744071914029547,205,1478086,631123
18446744071926125588,206,1464451,621855
18446744071937483412,207,1447800,635360
18446744071948854523,208,1512612,612598
18446744071960422077,209,1690471,613159
18446744071972215051,210,2439859,599312
18446744071984543515,211,4743781,578011
18446744071999733482,212,1545646,647013
18446744072012505582,213,1519947,637645
18446744072026654526,214,1519275,637916
18446744072038938946,215,1537210,643997
18446744072051305383,216,1565584,664586
18446744072063990016,217,1793658,623358
18446744072077155406,218,2483512,574084
18446744072089682178,219,4711258,571238
18446744072104767596,220,1424214,622967
18446744072116224089,221,1434133,620292
18446744072128649978,222,1431168,624690
18446744072139705667,223,1434184,622987
18446744072151337985,224,1532160,618519
18446744072162684909,225,1694629,616445
18446744072174671362,226,2402228,570056
18446744072186939170,227,4720736,569666
18446744072202715866,228,1459932,624510
18446744072214283891,229,1464792,627225
18446744072226009787,230,1428953,647614
18446744072238347088,231,1474260,626574
18446744072250150973,232,1518894,618539
18446744072261879374,233,1714116,616736
18446744072274494705,234,2430883,591667
18446744072287321048,235,4719634,568864
18446744072302850883,236,1464922,624390
18446744072314807388,237,1452298,625131
18446744072328104509,238,1438171,619811
18446744072339294584,239,1477005,628417
18446744072350515628,240,1528993,624490
18446744072361944688,241,1726160,608900
18446744072373792737,242,2422707,586468
18446744072386058652,243,4842068,578532
18446744072401236857,244,1444664,626023
18446744072413761746,245,1451766,648957
18446744072427555773,246,1443511,621294
18446744072439196136,247,1458119,621734
18446744072451222835,248,1499057,630572
18446744072464201249,249,1687085,608650
18446744072475802146,250,2416064,590435
18446744072488173933,251,4720155,572501
18446744072503429555,252,1458891,626023
18446744072514967423,253,1538422,622557
18446744072528480706,254,1442439,618058
18446744072540265554,255,1442168,620092
18446744072551564717,256,1505449,617617
18446744072563173761,257,1711070,608409
18446744072575037950,258,2418859,591548
18446744072587582937,259,4704315,572130
18446744072603083506,260,1464781,629420
18446744072615191591,261,1467376,622817
18446744072628541672,262,1440565,629930
18446744072640161996,263,1451557,623217
18446744072651659217,264,1496983,624420
18446744072665333997,265,1686754,645160
18446744072677283950,266,2442465,584784
18446744072689209867,267,4641936,570437
18446744072704732528,268,1441087,623368
18446744072716688153,269,1448660,620383
18446744072729955325,270,1447148,652333
18446744072741882816,271,1455223,652764
18446744072753219511,272,1523844,618047
18446744072764549622,273,1691093,609481
18446744072776347626,274,2397789,589133
18446744072788678555,275,4707140,571769
18446744072803899521,276,1445435,620352
18446744072816372982,277,1429645,626654
18446744072829789529,278,1436949,649898
18446744072840946231,279,1450775,620452
18446744072852948935,280,1483667,619570
18446744072865265516,281,1708035,626674
18446744072877762502,282,2453636,588041
18446744072890113208,283,4720025,568544
18446744072905715151,284,1533553,650610
18446744072917846339,285,1442780,632826
18446744072929539253,286,1441747,637305
18446744072940583299,287,1459392,622185
18446744072952281312,288,1501030,622547
18446744072963663964,289,1693758,612387
18446744072976055779,290,2465208,607819
18446744072990148125,291,4809335,603580
18446744073006075839,292,1468518,637225
18446744073018912331,293,1481052,632576
18446744073032562063,294,1459832,631203
18446744073044007455,295,1530006,635040
18446744073057439702,296,3826212,599543
18446744073073825118,297,1737121,617417
18446744073085774530,298,2492580,587379
18446744073098530159,299,4841807,596026
18446744073113877947,300,1444492,650029
18446744073126728366,301,1463319,625772
18446744073139902171,302,1427210,620002
18446744073151164644,303,1463669,621304
18446744073162543429,304,1519315,616044
18446744073174052091,305,1709518,609982
18446744073185791653,306,2432495,583653
18446744073198461177,307,4740695,586878
18446744073214254865,308,1456385,629390
18446744073226736632,309,1453980,623228
18446744073240277717,310,1430556,622857
18446744073252080980,311,1462086,618239
18446744073263527835,312,1497183,624871
18446744073275813748,313,1682547,612938
18446744073287720899,314,2405174,594352
18446744073300127603,315,4653508,576729
18446744073314855359,316,1448962,626554
18446744073326708889,317,1452147,627456
18446744073340042439,318,1438702,626574
18446744073351910115,319,1470512,624951
18446744073363551560,320,1513444,620563
18446744073375148230,321,1717483,618869
18446744073387014713,322,2439960,588822
18446744073398907818,323,4744192,576097
18446744073413378525,324,1445394,623398
18446744073425821207,325,1434704,641282
18446744073438962140,326,1453300,633066
18446744073450497112,327,1458890,621945
18446744073463567931,328,1502113,624420
18446744073476828432,329,1712092,614581
18446744073488809935,330,2423398,604482
18446744073501124312,331,4744622,569075
18446744073516219850,332,1432830,624831
18446744073528193077,333,1461115,620883
18446744073541574739,334,1464381,651451
18446744073552747921,335,1459261,615864
18446744073564042856,336,1503866,623819
18446744073575572288,337,1690742,615924
18446744073587297492,338,2426214,584664
18446744073599610858,339,4660682,571099
18446744073615116948,340,1462958,625873
18446744073627935216,341,1443982,620803
18446744073641571783,342,1445545,656110
18446744073652907215,343,1437169,621043
18446744073664901202,344,1494007,623699
18446744073677629047,345,1703727,627235
18446744073689437210,346,2424701,587399
18446744073701836450,347,4678055,573372
7327630,348,1433933,626033
19435054,349,1430756,622457
32846993,350,1454080,619742
44131928,351,1442640,646772
55706035,352,1504207,623488
67336039,353,1686423,611305
79176443,354,2401005,603881
91401039,355,4670301,566820
106802449,356,1437009,625171
119747680,357,1439753,620443
133214032,358,1452538,619992
144795172,359,1464101,613789
157727788,360,1506702,620833
169950170,361,1695702,615663
181955158,362,2386789,591016
194426635,363,4781001,588973
210216626,364,1450995,631884
222023246,365,1452849,625772
235357727,366,1436418,625842
246690635,367,1436688,620472
258433573,368,1510118,641322
270479168,369,1795542,625602
282698104,370,2539359,596617
295703779,371,4860913,591397
311967743,372,1482535,669146
324869080,373,1496401,642264
338810006,374,1455334,635581
351344333,375,1568690,638416
365012782,376,1606231,633176
377777587,377,1841570,620692
390808300,378,2431333,588452
403188462,379,4690629,572331
418228945,380,1431148,630541
429729061,381,1458089,621074
442698547,382,1456145,618819
453836853,383,1487655,627246
465499249,384,1534214,622486
476932036,385,1718364,616595
488697217,386,2438507,576408
500931973,387,4725565,580125
516564674,388,1451406,626534
529350520,389,1444914,624219
543087969,390,1449332,626574
554996313,391,1446567,626363
567085251,392,1481143,622316
579402624,393,1706863,606616
591333801,394,2436013,605133
603919627,395,4684486,575357
619637069,396,1439453,630973
631151683,397,1451876,622447
644571066,398,1464871,621304
655719191,399,1437048,620693
667215800,400,1511120,624099
678711617,401,1684831,610724
690390564,402,2407949,585145
702866720,403,4650402,568464
718237432,404,1448220,632545
730939809,405,1433061,621144
744537602,406,1460182,621415
756176372,407,1458690,640701
768659441,408,1514116,622907
781130076,409,1706572,608270
793584120,410,2455720,588431
806850462,411,4749111,568954
822447495,412,1425246,623158
834555289,413,1434784,629480
847933193,414,1435125,641943
859413160,415,1439874,624571
870742140,416,1493336,617146
882256774,417,1686834,614261
894058644,418,2416285,592850
906473383,419,4644411,570157
922096947,420,1454492,623588
935028210,421,1439123,623518
947418463,422,1435696,624510
959336905,423,1443661,633468
971604794,424,1520518,623188
983924071,425,1685883,627936
995819220,426,2421965,587019
1008092289,427,4654961,571409
1023105920,428,1437369,624390
1035098715,429,1438190,628809
1048242112,430,1435486,646722
1059400126,431,1448500,618719
1070640887,432,1512453,594813
1082194976,433,1688488,613940
1094080887,434,2401056,594392
1106364055,435,4648709,573904
1121278488,436,1446346,635601
1132359124,437,1452127,639018
1144135977,438,1438812,640290
1155314420,439,1435235,622807
1167253943,440,1490430,622637
1178821858,441,1684070,588711
1190827247,442,2417036,584002
1204147100,443,4686522,575116
1218717297,444,1444864,625301
1230625400,445,1442459,619821
1243921248,446,1442980,650760
1255030129,447,1440094,638116
1266926659,448,1573038,634349
1278936156,449,1729686,623288
1290857024,450,2511015,604903
1303605839,451,4722069,580055
1319208764,452,1459561,634620
1332259985,453,1440926,646332
1346289862,454,1525778,630361
1358583711,455,1517622,630171
1371067300,456,1527812,626784
1383029497,457,1708506,621033
1395168050,458,2409181,595314
1407649826,459,4695768,575066
1422667826,460,1447739,629560
1435305009,461,1449813,623698
1448335070,462,1437379,634629
1459570281,463,1448550,629109
1470942032,464,1515438,623859
1482344822,465,1688378,610754
1493952864,466,2450600,584484
1506249378,467,4664559,569395
1520952667,468,1463750,622947
1533412723,469,1592615,624189
1547137949,470,1443561,630501
1559179146,471,1459291,626854
1571115323,472,1509146,620282
1585311175,473,1713486,611725
1597265427,474,2442013,582661
1609686538,475,4718352,571829
1624695961,476,1463970,635120
1637503228,477,1478147,631914
1649589150,478,1460594,623097
1660668414,479,1464621,621103
1672083307,480,1502854,638056
1683519401,481,1684390,612397
1695359394,482,2375157,595955
1707482067,483,4674027,578312
1723073119,484,1454812,628618
1736089895,485,1439954,655920
1749427062,486,1451125,626334
1760992952,487,1449943,624771
1772793401,488,1515698,630331
1785095375,489,1705710,612708
1797192798,490,2426795,597659
1809560277,491,4739543,566940
1824214835,492,1434574,639148
1836175879,493,1431708,639739
1849517945,494,1473618,620813
1860933450,495,1473578,624179
1872719630,496,1546127,624670
1884474181,497,1733403,612478
1896734416,498,2428898,592820
1909100391,499,4730054,575106
1924628433,500,1469150,636824
1936321347,501,1440926,641392
1949427122,502,1461575,622687
1961540727,503,1474460,630802
