timestamp_ns,collection,mark_time_ns,sweep_time_ns
5034159,0,1303405,42731
8267924,1,1793891,147461
45248092,2,2100936,142191
65217797,3,5003509,204009
100925919,4,2213230,392498
122211223,5,1255092,290655
172550531,6,1373148,320611
220508780,7,1222400,323848
268474503,8,1216709,322505
316438733,9,1205248,323577
364158367,10,1204226,322404
412013038,11,1208644,321423
459551957,12,1211280,322605
507227227,13,1224334,320751
554961418,14,1226028,320200
602691592,15,1228352,321794
650582924,16,1206750,321764
698539419,17,1220627,321223
748928112,18,1646129,340739
799722849,19,1224454,331643
849512720,20,1256506,323507
897323197,21,1240636,320381
945532365,22,1220737,320581
993541190,23,1229314,321733
1041825691,24,1250594,321503
1089813345,25,1265143,319920
1137818253,26,1244493,320371
1185646895,27,1244122,321934
1234018702,28,1228613,321262
1282551226,29,1226789,321563
1330729284,30,1214786,322405
1379886278,31,1224625,321734
1428040571,32,1224485,323296
1475891966,33,1216459,321954
1523935257,34,1206480,321654
1571854973,35,1230636,322585
1619674878,36,1204446,321493
1667777983,37,1216309,320691
1716049960,38,1693007,349707
1767088722,39,1735869,334248
1817088413,40,1260664,331722
1867186031,41,1222050,320781
1915107670,42,1225666,320071
1962983011,43,1216860,319589
2010992828,44,1220587,319549
2058581892,45,1202784,318667
2106431294,46,1216058,321083
18446744071569173052,47,1220588,320621
18446744071617159745,48,1220918,322114
18446744071665228254,49,1219496,319308
18446744071712928822,50,1222952,320771
18446744071760845302,51,1221018,319669
18446744071808912588,52,1210598,321854
18446744071856748113,53,1224595,320431
18446744071905065056,54,1208855,320721
18446744071952798756,55,1211240,320090
18446744072000722600,56,1219094,321252
18446744072048806578,57,1235846,319760
18446744072096810083,58,1222141,320851
18446744072145346795,59,1688510,336722
18446744072196310484,60,1754586,345749
18446744072247071707,61,1212772,321644
18446744072296194025,62,1252789,322365
18446744072343968504,63,1234513,321824
18446744072391817945,64,1230717,320410
18446744072439634494,65,1228162,320591
18446744072487315174,66,1212722,336512
18446744072535312477,67,1203375,332083
18446744072583118425,68,1213795,320341
18446744072630916910,69,1213974,322465
18446744072679043760,70,1205268,320832
18446744072726803621,71,1221218,321242
18446744072774967051,72,1203715,319268
18446744072822797125,73,1214766,322806
18446744072870578106,74,1212612,321383
18446744072918233728,75,1215457,321753
18446744072966176417,76,1215127,321903
18446744073014169292,77,1218152,320411
18446744073062286995,78,1226538,321353
18446744073110451847,79,1213274,323286
18446744073159857656,80,1590773,341401
18446744073211669743,81,1433132,331232
18446744073261317002,82,1209706,320461
18446744073309289188,83,1210598,319830
18446744073357195778,84,1211300,321262
18446744073405045861,85,1214565,320481
18446744073452819628,86,1216199,320621
18446744073500870944,87,1233492,322575
18446744073548925306,88,1225637,323326
18446744073596737246,89,1220828,321132
18446744073644724991,90,1218453,319820
18446744073692677268,91,1301762,327966
31222095,92,1229544,318788
79103918,93,1255303,319800
127085993,94,1259561,322425
174947497,95,1325878,332684
223192352,96,1212141,320341
270962763,97,1235165,320681
318620038,98,1247408,320962
366450403,99,1210929,320992
414095374,100,1241337,319960
464292472,101,1718537,336401
515164106,102,1459552,328406
564200540,103,1214445,321303
612087363,104,1234293,320050
660343289,105,1224695,322285
708243938,106,1224295,322645
756080264,107,1218594,320752
804243855,108,1219756,321703
852319016,109,1222572,320561
900423314,110,1219736,321803
948679952,111,1223062,318737
996536407,112,1228452,320801
1044715717,113,1210267,319580
1092436704,114,1220597,320070
1140465607,115,1218824,323307
1188239003,116,1220257,320080
1236367627,117,1216319,318417
1284286491,118,1228532,322866
1332337717,119,1236327,319910
1380122806,120,1223613,320832
1429076422,121,1791897,364485
1479947415,122,1691054,335159
1530008192,123,1248461,326773
1578225125,124,1233531,320872
1626249910,125,1228432,320762
1674204372,126,1248821,320170
1722286066,127,1250915,320221
1770165976,128,1234694,323337
1818266576,129,1249022,321883
1866093184,130,1240455,322625
1914574390,131,1240084,320982
1962368977,132,1232470,322404
2010717800,133,1268739,321984
2058869077,134,1233602,321453
2106963165,135,1254271,320722
18446744071569459766,136,1231007,320912
18446744071617755549,137,1212672,320321
18446744071665522443,138,1260944,321423
18446744071713704849,139,1258530,320992
18446744071761475029,140,1247569,319980
18446744071809683335,141,1261114,321924
18446744071859276511,142,1545166,334157
18446744071910766183,143,1671617,333957
18446744071960915940,144,1247378,321243
18446744072010075921,145,1226298,320421
18446744072058135032,146,1242960,322024
18446744072106429472,147,1233391,322184
18446744072154226273,148,1220797,320651
18446744072202461249,149,1234193,320111
18446744072250402966,150,1223173,321422
18446744072298801214,151,1215888,318297
18446744072346708796,152,1216720,324028
18446744072394906813,153,1221659,318547
18446744072442882355,154,1224564,322154
18446744072490948178,155,1230326,321092
18446744072538954318,156,1219966,320391
18446744072586987571,157,1226749,321052
18446744072634875555,158,1217031,321313
18446744072683019368,159,1222070,321703
18446744072731372660,160,1221299,321062
18446744072779460536,161,1214596,320291
18446744072827291613,162,1222510,320652
18446744072878294266,163,1692637,336492
18446744072928824258,164,1755417,335971
18446744072978589943,165,1234594,322145
18446744073026365704,166,1223343,320721
18446744073074437339,167,1230406,319429
18446744073122304295,168,1216228,322535
18446744073170558217,169,1222771,321824
18446744073218379234,170,1213834,321403
18446744073266425761,171,1238542,321653
18446744073314264943,172,1226859,323167
18446744073362454132,173,1229635,320160
18446744073410493225,174,1228653,322405
18446744073458673638,175,1232350,322655
18446744073506382211,176,1228753,322204
18446744073554556742,177,1225977,319740
18446744073602589383,178,1229414,322194
18446744073650452210,179,1225637,321292
18446744073698274830,180,1231217,320812
36931309,181,1240575,321493
84806620,182,1235185,322525
133632353,183,1283778,330159
183801627,184,1305369,332093
233154726,185,1252458,321863
281335820,186,1220296,320521
329489712,187,1222400,321042
377483438,188,1227620,321784
425990143,189,1212111,320221
473883227,190,1212402,321112
522125407,191,1209677,319629
569940654,192,1223012,318447
618018611,193,1209466,318988
665788130,194,1213243,321042
713901615,195,1222391,321012
761817503,196,1212883,321994
809997795,197,1221930,319349
857863167,198,1211971,321453
905984808,199,1220116,319018
953864196,200,1223162,319409
1002068053,201,1212051,323266
1050026954,202,1213343,320782
1098168322,203,1220397,321212
1147478688,204,1639316,334578
1199681961,205,1692096,333065
1249674188,206,1232079,321884
1298303196,207,1210978,320522
1346170682,208,1202042,319078
1394637540,209,1211480,333767
1442379687,210,1213344,319208
1490757316,211,1227089,335871
1539048259,212,1219725,320491
1587239612,213,1227961,324750
1635132517,214,1219175,323015
1683808544,215,1279239,327004
1732312594,216,1218954,321312
1780468860,217,1232801,319810
1828699909,218,1227410,322666
1877476909,219,1236417,320922
1925531873,220,1216399,321393
1973673852,221,1217681,322906
2023338865,222,1251526,325290
2072515377,223,1223663,320591
2120138256,224,1235095,320932
18446744071585457880,225,1703818,340419
18446744071636095367,226,1232209,334879
18446744071686258099,227,1236077,322184
18446744071734409376,228,1242088,323086
18446744071782718043,229,1250935,321102
18446744071830855814,230,1206821,322205
18446744071878855021,231,1231468,321683
18446744071926684184,232,1230286,321833
18446744071974835641,233,1225056,320231
18446744072022804009,234,1217912,322606
18446744072071075486,235,1227320,322014
18446744072118967388,236,1230576,320261
18446744072167066826,237,1225266,321203
18446744072215009535,238,1222041,321703
18446744072263139221,239,1217321,319950
18446744072310915965,240,1219996,319879
18446744072359184204,241,1213564,319669
18446744072407148775,242,1232400,322144
18446744072455542374,243,1224725,320191
18446744072503333635,244,1220827,318558
18446744072552963100,245,1720410,365477
18446744072605732873,246,1686806,341140
18446744072663392078,247,1269460,325871
18446744072715744896,248,1230416,318246
18446744072763570702,249,1224064,318337
18446744072811248216,250,1218874,321482
18446744072859096295,251,1225757,318417
18446744072906726037,252,1231087,318778
18446744072954563666,253,1242329,318978
18446744073002195413,254,1217431,317996
18446744073050105961,255,1222611,316633
18446744073097523158,256,1216890,332003
18446744073145622786,257,1223723,319309
18446744073193330808,258,1198745,330831
18446744073241233481,259,1211500,334027
18446744073288773342,260,1215588,321373
18446744073336908739,261,1208093,321534
18446744073384482936,262,1210949,318236
18446744073432336204,263,1223954,318217
18446744073480057261,264,1208825,317295
18446744073527821280,265,1219174,318748
18446744073576901618,266,1235185,326593
18446744073626391107,267,1332560,328216
