timestamp_ns,collection,mark_time_ns,sweep_time_ns
7701688,0,43012,23976
12667342,1,12504,7655
15742023,2,10830,7464
18800021,3,10139,7284
21857187,4,9458,7735
24912440,5,9408,7414
27956391,6,8947,7104
30983120,7,8897,7224
34006973,8,8767,7294
37043019,9,8637,6853
40067343,10,8577,7213
43089593,11,8406,7254
46101364,12,8476,7183
49107884,13,8336,7173
52113502,14,8496,7224
55131003,15,8577,7083
58168472,16,8496,7164
61205320,17,8426,7123
64224254,18,8416,7063
67234271,19,8365,7094
70241021,20,8426,7344
73257641,21,8366,7093
76292134,22,8486,7033
79329923,23,8316,7294
82350290,24,8356,7063
85358143,25,8295,7184
88377167,26,8666,7294
91383476,27,8416,7074
94388974,28,8286,7213
97400083,29,8486,7174
100420229,30,8266,7133
103438261,31,8126,7334
106441064,32,8627,7063
109488703,33,8446,7083
112509249,34,8456,7124
115515158,35,8616,7064
118522860,36,8336,6984
121519692,37,8266,7264
124528246,38,8536,7154
127528454,39,8366,6974
130543160,40,8316,7284
133547005,41,8576,7144
136552112,42,8396,7184
139560165,43,8366,7244
142579139,44,8566,7274
145578185,45,8356,6803
148579565,46,8246,7234
151577989,47,8507,7243
154588938,48,8306,6933
157589908,49,8376,7173
160593452,50,8446,7214
163597708,51,8406,6963
166601944,52,8326,7254
169601049,53,8176,7104
172608121,54,8335,7324
175606485,55,8296,7334
178611322,56,8446,7204
181609336,57,8336,7074
184612209,58,8376,6973
187617186,59,8246,7263
190627553,60,8306,7144
193630707,61,8516,7344
196637819,62,8335,7334
199649819,63,8406,7034
202659726,64,8526,7384
205674561,65,8476,7204
208678366,66,8286,7053
211690367,67,8306,7283
214694302,68,8506,7124
217691124,69,8316,7153
220691883,70,8306,7284
223688704,71,8246,6903
226686467,72,8396,7505
229680734,73,8256,7254
232681894,74,8446,7144
235678636,75,8226,7033
238679555,76,8456,7134
241674813,77,8336,7074
244672627,78,8466,7114
247665110,79,8206,7264
250668515,80,8486,7424
253677610,81,8135,6933
256689891,82,8115,7344
259814406,83,9338,7895
262888915,84,8436,6883
265927486,85,8286,7384
268966639,86,8486,7214
271993618,87,8426,7164
275008724,88,8196,7164
278012159,89,8356,7244
281018598,90,8166,7093
284020199,91,8456,7214
287035867,92,8446,7203
290034502,93,8316,7203
293035421,94,8416,7124
296041901,95,8366,7214
299057428,96,8386,7214
302153349,97,9628,8256
305214613,98,9107,7946
308351041,99,9338,8386
311567601,100,9519,8506
314711293,101,9298,8306
317826019,102,9107,8396
320934403,103,8757,8356
324049049,104,9078,7975
327136614,105,8947,7925
330215492,106,8847,8586
333288810,107,8927,7835
336458551,108,8856,8366
339658749,109,9709,8446
342836346,110,9538,8666
346155612,111,10059,9629
349483384,112,9899,8847
352825805,113,10049,8837
356210976,114,11522,17965
359498702,115,10660,8777
362519419,116,8547,8225
365536710,117,8967,7264
368553470,118,8646,7835
371573666,119,8566,7224
374606736,120,8466,7054
377651730,121,8386,7574
380701853,122,8887,7634
383901722,123,9378,8095
386966773,124,8356,7935
390161823,125,8496,7845
393249046,126,10200,7695
396382859,127,9428,8486
399649044,128,9368,8777
402907965,129,10120,8165
406031569,130,8676,7264
409204386,131,8757,7554
412378655,132,8958,7534
415554618,133,9238,7935
418665427,134,9228,7905
421818958,135,8476,7213
424979702,136,8516,7404
428150525,137,8636,7264
431273828,138,9137,7715
434361913,139,8416,7254
437432305,140,8426,7264
440481396,141,8406,7003
443528684,142,8316,7394
446571223,143,8426,7163
449586810,144,8336,6993
452597859,145,8446,7234
455602194,146,8396,6944
458610578,147,8226,7203
461607099,148,8316,7224
464615383,149,8326,7273
467628155,150,8115,6963
470644192,151,8096,7234
473656043,152,8316,7173
476673764,153,8366,7114
479695564,154,8175,7144
482713015,155,8396,7193
485730646,156,8236,6973
488760540,157,8136,7164
491779324,158,8315,7214
494785623,159,8096,6723
497784239,160,8195,7364
500799295,161,8316,7164
503807799,162,8125,7094
506816734,163,8336,7304
509814246,164,8236,7113
512812280,165,8256,6913
515812829,166,8336,7193
518809861,167,8316,7123
521806342,168,8296,6983
524803945,169,8276,6953
527798502,170,8296,7174
530791917,171,8466,7034
533790282,172,8376,6933
536789017,173,8416,7094
539783424,174,8456,7064
542794002,175,8446,7374
545797256,176,8386,7244
548788898,177,8325,6984
551800657,178,8316,7114
554820934,179,8406,7204
557819609,180,8206,6953
560830818,181,8166,7214
563828552,182,8376,7063
566832567,183,8316,6963
569829017,184,8166,7334
572823605,185,8276,7023
575821479,186,8145,6963
578827939,187,8175,7124
581833667,188,8276,7254
584846319,189,8105,7244
587860092,190,8306,7244
590862845,191,8246,7474
593864416,192,8186,7033
596863352,193,8015,7144
599863350,194,8376,7123
602913463,195,10099,6913
