mark_time_ns,sweep_time_ns
167455,30571
70063,17983
84882,19507
66444,16994
67421,16302
65284,15868
58195,15584
96240,18356
55863,15738
52088,15533
88648,18529
124421,21240
88785,32754
95430,33015
93510,32039
92300,32750
92380,32138
94556,32131
90090,31917
95748,31234
91146,31574
96724,31490
90590,31323
93251,31668
94053,31308
98627,31362
93056,31051
98130,30870
92335,30525
96612,30717
95377,31383
98637,31008
94690,30600
104233,32598
95000,32027
98725,31041
97166,30691
101510,31178
95315,31324
99940,30696
93994,30338
99694,30962
93881,31742
101971,30546
94397,31012
105983,32051
92548,31812
99150,31514
97425,30731
99066,31003
96422,31593
98522,30994
92187,30880
100466,30933
92876,30842
100752,30851
96070,30699
98581,30981
89998,31608
96670,31136
97359,30456
101683,31419
96732,30639
101884,30486
94110,30445
100205,30882
94826,30993
102839,31085
98312,30693
100073,30957
92495,31284
96784,30949
92475,30483
100209,31013
93144,31073
101862,30788
94839,30311
99097,30950
93183,31110
98855,30725
100011,30510
100380,30854
89779,31297
96723,30765
95454,30895
98908,31232
94465,31255
98563,30597
93735,30258
100615,30790
96567,30917
100144,30822
106592,31279
133552,41492
125982,40531
129004,39228
126658,38141
112066,35653
102122,33770
109014,32860
95182,31919
100356,31603
101010,36464
98500,31919
93133,31118
100337,31893
97087,31946
97157,31171
107192,34161
104999,33398
99145,33046
103439,32635
96043,31969
100026,31845
99129,31847
101947,32119
96244,31851
99841,31949
96119,31074
98864,31255
95763,30769
99359,31312
94388,30599
98305,30409
93461,30098
99247,31324
98727,31283
99195,30561
96229,30399
99251,30997
93707,31096
95548,31423
93590,30558
101005,31248
96954,31120
100235,30174
93043,30309
99322,30759
95721,31224
98227,30684
93357,30956
143946,31454
94861,31373
97485,30578
97843,30489
98875,31054
94945,31315
98102,30540
93836,30280
97992,30917
96334,31391
101239,30505
97214,31136
101402,31029
92136,30957
96620,30938
96515,30994
99514,31131
95795,30983
98797,30427
90800,30415
99589,30716
94469,30960
98892,31284
95611,31163
99074,31373
93899,31385
97240,30810
