mark_time_ns,sweep_time_ns
136687,36244
87011,28787
60380,28441
43888,17032
63286,17773
71497,41099
90457,44550
60848,42065
44380,40855
57375,42131
80376,42972
51024,40527
55120,41696
101733,43294
43251,40605
68288,42119
58336,42285
65318,41924
61642,41738
58376,41680
81925,42231
99987,41973
69605,42028
70380,45783
106869,44112
65151,41862
83689,42418
216123,47224
171149,45068
90011,41506
81075,43149
83379,41415
54533,40720
90036,42820
53912,40307
71657,43028
65874,41654
88823,41819
60664,40735
71738,41118
59908,41241
110810,55382
76894,41630
54222,40682
48679,40236
65057,42203
73339,41235
62505,40936
109945,52199
66833,42071
105195,43983
55901,41197
81258,41019
97183,43410
69339,40709
62046,41405
64309,39831
97267,43972
76181,41413
60918,40021
80940,41641
98158,43329
69386,41189
61897,40395
65520,39960
170231,46397
55086,39694
55341,42264
80112,42946
98749,43620
70189,41512
61466,40399
65634,41342
118182,45518
156882,108790
110751,114102
64045,112318
182165,116818
75935,111741
75172,110879
53480,110234
92875,112917
60761,111086
72900,111618
177368,115546
86249,111477
92002,112191
112557,116283
81451,104947
92250,101339
79305,96387
69787,93906
64734,90688
187186,95175
125247,91899
75713,87209
67735,86147
94965,84891
84553,83554
69056,83422
88721,86879
139063,84899
69752,81556
64472,81900
141611,84346
135431,82157
57353,79744
76735,79215
94566,81600
73204,85031
58555,83161
58713,83908
58901,81812
45172,79625
83171,79766
73121,79089
85073,81314
48086,78035
100123,81043
61204,78653
117989,81405
151160,82447
74659,78474
103088,81631
61636,78725
99313,78820
88067,78454
71438,77698
111119,79323
66317,78366
93966,78005
121334,79255
125384,78899
81720,76874
163995,78835
143126,79725
216646,81918
156079,78450
230866,83768
181092,81908
231078,83029
162931,81330
142005,79739
85780,79036
68210,77663
81444,77796
86059,78129
99432,78761
66192,77169
58154,79027
68582,77819
156208,83376
59922,76059
93480,78690
109047,94286
69401,103084
144150,143010
73642,111985
61408,109200
84315,113255
52348,110772
59458,111740
159393,113048
126367,114204
203868,132342
77281,110598
68752,110052
65549,103994
72302,105137
126959,126547
113700,111362
177895,114755
49383,103022
63075,101806
66636,101211
113705,101636
113281,97353
127117,97319
68405,91029
92566,90363
77264,88221
77924,88039
95610,85787
69094,82782
125240,86369
45922,81638
73818,82355
80060,82321
51326,80134
93166,82255
143633,82537
59545,78630
102980,82403
50474,78761
142923,83913
180159,84256
79329,80496
102306,80732
68914,78561
102229,80493
104081,80542
77512,78983
148829,82570
72138,99293
78982,85090
64900,82936
102246,82631
145879,84659
136074,84416
75130,81201
64039,79168
62635,79641
86238,79598
98875,79007
159186,83973
74369,79543
64903,77816
80272,78877
65606,77827
79165,78627
81644,78646
207742,82592
73936,78507
122142,79070
79959,78510
178232,83164
69091,76006
188590,81035
73207,76493
58883,75634
134276,82570
82921,81367
59705,80209
67289,80110
68471,77460
61395,79349
188852,83676
109110,80206
102142,80384
67016,88660
54206,77973
59021,77258
128024,80629
74831,77976
57353,77239
199011,81513
49577,75031
67268,76294
84879,77541
132625,79532
74776,75592
72499,77175
98639,77946
70676,76287
86714,76271
83582,76027
97684,77541
67473,75999
130110,86361
103077,76951
60330,75500
60190,76269
180869,79132
68742,76685
46326,75406
59750,75531
69971,76325
78722,77560
80042,76423
88885,77324
70966,77262
150733,79881
65257,76766
51285,74553
130087,98538
70171,104002
67417,155943
103161,110916
73591,112779
67559,117315
180316,118134
69276,111378
104893,124935
111854,114830
198173,115226
71839,107370
198124,109895
77174,100158
133014,98784
66886,92474
131457,97045
109896,91096
127070,92785
60354,87883
78282,88462
95641,85661
67904,82867
74011,81569
101567,84858
136259,85177
128281,85453
88100,82655
54221,79937
52381,79520
63412,80767
71563,80346
107189,83016
66895,79880
93707,80363
105885,81685
73275,78830
94607,81155
81704,79544
76084,79862
64534,77121
104286,79179
86260,78705
77376,78410
117706,80995
118582,77905
81065,78487
77778,79476
152779,82816
116478,79668
66381,76514
63859,76242
58353,75693
67380,77133
74846,77529
85265,78465
185048,81152
83174,77004
60302,76243
58620,77054
64934,77794
46998,76664
85784,79678
71310,77205
91077,77940
91906,78196
165807,80997
155462,82127
122435,79343
65146,75410
103159,77899
84395,86335
121769,101629
73690,77626
75694,76597
100090,78578
67821,80050
123790,81932
170206,82244
75110,77526
48058,75370
78491,78045
74287,77971
149142,80672
127960,79040
46746,74785
218227,82919
62296,76048
86065,76365
84068,75324
77043,78483
91012,78273
67827,77269
122686,77925
102565,80219
136748,79285
62497,76287
53776,75496
90831,77485
134804,80632
117172,77096
78159,76449
64904,76344
175297,80092
52559,75416
65413,75003
100984,77336
66167,77300
96609,77218
104489,77884
74042,77889
90620,104333
83916,78235
68874,77049
60803,75725
104205,79031
123366,79948
62672,76729
113356,79458
132341,78107
92863,95378
79615,103202
90161,143463
70757,114379
49454,109863
52570,112220
74042,112441
63715,111424
74222,108659
87352,112754
122813,114149
63537,113783
115060,107732
145353,113796
63298,106782
129366,106411
90146,110273
135213,108500
113348,105945
143236,109816
67941,105679
81718,102424
111174,103899
89340,97873
112354,95330
88405,91559
114914,89036
70643,88289
75125,86683
103219,88390
65188,85931
214353,90464
186592,86012
82747,81523
102934,83291
186641,87573
95247,81913
116122,81825
123025,82703
140861,84281
71938,86964
142655,83715
72429,79050
80445,80141
52800,76885
74729,77525
117378,81195
144473,82617
151168,91068
78569,79014
63055,78444
57144,79096
57479,78726
132226,82674
80381,78774
99067,77678
57400,76416
51875,77388
61063,76420
74375,77633
112842,78645
109228,79117
73898,76890
58646,76824
103961,79881
107199,79403
86178,79124
72809,76413
63061,77437
103411,79230
58501,77544
103839,78724
151779,80819
108694,79287
62032,76726
90880,77464
98753,79579
69773,77876
45134,75758
45286,77063
173539,81519
78534,75882
94179,78500
173764,81985
59311,76948
56858,75881
143334,81776
56559,75554
57828,77609
107785,78937
50260,75540
106693,77669
69644,76516
91757,95193
74350,76446
102254,77795
55838,78091
97344,77061
112389,79517
81545,77964
89630,77607
83282,78277
70044,76773
64802,75867
102751,77987
56209,78479
103670,78446
102976,78960
75390,76645
79819,77717
49813,75140
82154,76479
137756,77653
70357,76145
126162,79979
96648,77260
69052,75817
86352,77419
86168,77631
93994,75506
74470,88451
84323,104410
116483,104523
240898,121524
85878,125200
87845,113373
163005,116465
108656,114749
107017,116189
68700,112545
96911,116298
89475,114511
162056,114508
73918,114474
88580,112136
62016,111329
86631,121825
91762,115055
176078,116363
56383,110538
65058,139779
63593,111578
64615,108798
85777,111092
60639,111445
96490,114432
76673,113002
63677,109578
171674,114059
106669,108126
179945,112609
152326,108498
115433,103264
78621,103335
67074,96747
67438,94644
78971,92282
172909,95109
58476,85582
58787,84092
52782,85921
56392,82764
59371,84600
46856,82204
146829,87806
88131,83168
145063,86538
121878,81856
57791,81190
75354,80213
102371,81925
174895,82598
171431,83052
94195,81468
56603,79007
101697,81460
59487,77648
56125,86827
64206,79315
124111,81827
76125,77795
66876,78991
91303,78418
86275,78587
167265,80989
59187,77702
117383,78994
129667,80006
57584,77533
82259,76767
67624,76907
81120,84942
85976,79179
145661,78406
65950,77224
127152,79526
104873,89549
62479,79503
61568,80910
181979,85304
74656,81016
49036,78093
61350,78350
68958,80464
53134,78998
84153,80917
61633,78310
95087,79506
84479,76754
112587,78413
71716,78075
72727,78571
63248,78317
183835,82043
104989,77404
61149,75793
153212,79548
104128,79162
55860,77305
51935,77032
79959,77362
129793,79199
76690,76678
150433,82041
47152,76288
109092,78494
55402,75583
165563,81022
192518,82610
85235,77113
94410,76424
89834,76675
117944,80617
59906,76055
58636,117807
97513,77263
66804,78416
54998,75356
58474,76714
74478,77263
74763,88620
211287,111139
192651,115024
65520,112831
155356,128141
100873,112873
90159,114370
72562,111360
79473,111443
74913,112601
73048,111528
65630,111957
117494,112385
162204,112576
100583,107894
158601,106413
54764,103596
79687,104965
65776,103054
90751,99258
242283,106748
110760,95124
122438,92070
82026,90312
116771,90349
59190,87012
169937,90216
142228,85841
136695,85694
60020,80764
65167,81942
125906,82539
63107,80993
102002,82185
55365,78524
84688,83039
62874,78394
62513,79239
47898,78972
71198,81346
175463,84331
83428,80022
80452,79566
109857,79859
81063,78281
76323,78757
77892,77820
89374,78535
81881,78255
46349,76833
105603,80059
60572,75667
75599,77450
81363,78253
92749,79561
72789,77070
126014,80851
47743,84451
59375,76335
63143,77332
78253,76456
168564,81647
143986,78826
71955,75870
94542,78074
106185,80259
141019,79068
74574,77503
104682,80216
55499,75629
81511,86859
59121,76179
82768,77652
133296,79268
102490,80063
64104,76362
152773,79518
100183,81447
48217,76652
105109,79880
116915,81253
141572,83216
59965,76722
66637,76899
77855,76875
65372,76012
96337,78659
88567,78811
79722,76907
50640,75808
65907,76266
97935,76284
58894,76282
102234,79168
127908,79866
65147,76287
71620,78416
89512,77293
66241,75719
126233,78350
47240,74152
143834,80115
84007,78374
77161,77071
161562,81687
67437,76866
125379,80197
84516,77656
128343,79084
64546,76167
170355,81452
72949,76265
53694,75683
101659,78990
127965,79460
95743,77240
106239,79526
65151,74993
102352,78187
61069,75198
68860,80563
57385,97841
52542,100248
76388,115104
68160,114702
60464,112424
89436,114042
66419,108313
82553,111770
101813,113365
67978,111988
136042,127982
164430,116683
70628,112382
80379,114244
94445,117027
110235,108371
76371,113547
124323,115653
111311,112089
135759,113402
102909,115503
103961,107642
52768,104548
56888,102979
94491,98014
89494,96204
170802,97114
53842,89479
75315,89720
62518,87052
146446,90940
63359,85660
48926,82684
70327,82743
100032,84718
66978,81966
122661,82849
73596,81422
67598,80620
100702,82786
79744,80733
80477,81646
93415,81865
75683,77905
64365,78859
52117,78703
101923,80024
127026,81980
58432,77418
75949,97443
187186,83895
81160,78817
65728,77991
67706,78005
73912,79237
99356,79676
146259,82697
101930,79932
57511,84939
61681,76996
107601,80022
126057,80205
71281,78089
48500,76321
59642,77511
55079,76399
51612,75929
96688,79843
59015,76445
65098,76648
52592,75116
71105,77901
65470,76678
63622,76756
55761,75719
101775,78279
70697,81545
98864,80504
138093,81733
69261,79091
60879,80184
92689,79956
104230,79258
62117,79829
162690,80651
50482,77888
59176,76771
57168,76086
94351,79473
136048,81655
54077,76007
69871,77605
119700,78663
66688,76131
81645,77587
155781,81564
52022,76315
112386,79372
64015,77780
108418,81599
58200,75706
80957,78982
80745,77181
85380,78835
156132,85470
57734,76543
127509,79637
54386,76543
85772,78983
90312,76830
55138,76119
107356,78030
52743,75429
125300,79403
56400,77304
66178,77410
88960,76996
64360,77533
61006,102795
94096,87438
122623,133385
181013,126817
124668,125059
136908,116396
59717,110100
97143,127206
74389,113217
105435,113409
67516,112410
126748,113875
57701,108948
86025,113641
104459,116733
52338,109124
185266,116062
127473,115541
70319,112064
79516,122075
66918,109761
76438,111917
72697,111385
64667,112661
161656,130216
80719,115706
76535,109487
79054,112253
84709,111718
99344,115501
146697,114515
85510,110489
82494,105624
104241,106022
77332,102058
93932,98362
85717,103309
103412,94615
80094,91647
121557,91554
99373,88154
129720,89647
75542,84802
49344,84455
87559,86105
55112,83201
64107,83252
70808,82272
128938,83817
66375,79189
77033,81295
67502,78909
57534,78934
150297,84528
50727,77462
66236,79204
101695,83463
64499,78299
123086,82116
170172,84150
122277,78794
91334,78362
77886,77803
74675,85566
72288,77661
108243,80495
101990,79547
152045,82993
61869,79103
75128,78911
82914,79510
80189,79779
87679,78737
66579,80339
123540,81127
47106,76723
138162,80664
85589,78592
77651,82103
