mark_time_ns,sweep_time_ns
2515686,41140
5212754,86806
10781612,237722
3171886,205388
3158505,206445
3150183,207726
3147017,221205
3162186,208481
3197522,238536
3203098,232685
3212284,221250
3201097,215378
3237158,206701
3227233,203382
3228540,193989
3470071,201602
3576980,383282
4213888,420153
9282312,511080
3295004,404808
3305491,414167
3260733,392329
3278397,388712
3354945,388160
3511889,393591
4640495,413899
7748365,466876
3242274,364890
3240227,389676
3246052,382158
3265860,383367
3341389,378595
3337270,382914
3611806,385929
4568139,405266
3297450,393345
3308388,450968
3245903,420767
3263599,412894
3265167,402808
3322272,399821
3511414,400451
4617406,416054
7666763,469566
3229663,361469
3233979,390589
3250148,387805
3270089,379888
3327731,375281
3429290,404406
3701807,410845
4647444,426066
3351264,403438
3311104,465991
3297592,495502
3314475,460919
3277042,436386
3343402,425917
3546181,419512
4598551,432755
7710340,471967
3260485,372759
3246232,397936
3266170,389151
3280675,386005
3341436,384700
3344965,386347
3604316,387599
4585522,408828
3309827,398495
3293908,434982
3268916,417436
3255144,408070
3254111,397541
3332476,397751
3491617,398571
4594169,418842
7692631,464232
3226739,359547
3243626,389151
3297751,386561
3270953,394847
3335983,385600
3342384,384405
3625926,391390
4589631,405725
3303793,392267
3273796,438364
3267223,417311
3280473,410278
3251866,399775
3334217,400501
3478558,401146
4610791,418300
7657576,459708
3241237,358642
3258785,391571
3259940,384244
3274589,380158
3357451,379298
3335862,383864
3600750,389104
4618936,404708
3307721,393533
3247987,422562
3265929,408560
3249929,404595
3250337,392438
3336752,389939
3492058,394399
4599122,409716
7693021,460472
3231161,361373
3280230,399572
3294027,394173
3277172,385501
3335639,381344
3330515,384672
3681229,468040
4726919,511530
3335599,533196
3317695,441824
3292107,482118
3289025,477200
3269217,491997
3352716,435103
3523073,422834
4593729,434364
7738458,477553
3235228,375952
3237105,403524
3258205,395376
3317119,389430
3326310,383365
3380627,397126
3617914,397525
4577708,413800
3310378,404588
3279191,439064
3253597,427056
3265747,416860
3273820,403263
3344934,405419
3534708,400029
4602314,418891
7783891,477345
3265112,370902
3249166,396085
3260391,386330
3280462,381400
3320300,383375
3347495,380619
3613798,385199
4573066,408025
3310153,399581
3261768,443801
3266141,420352
3265784,412779
3263518,401696
3338454,399561
3497845,395636
4712038,418787
7697339,460088
3236730,361647
3241778,392172
3287613,383111
3267334,381811
3349103,376422
3323428,381029
3605066,383394
4571089,407824
3310318,391499
3270972,449027
3271034,427892
3267953,418399
3259973,407843
3325935,400517
3492075,398056
4679086,435100
7730302,470647
3249990,365081
3266100,397142
3288274,425167
3292852,493287
3463810,469215
3375459,436896
3634061,426509
4627180,434011
3313677,425078
3305224,462590
3297434,440246
3264535,426419
3266468,414648
3334859,411852
3507088,409577
4617553,424711
7716125,467465
3231769,368283
3238591,393036
3246295,386718
3288508,382669
3340271,378666
3325898,380303
3614004,390973
4578955,408336
3284719,396324
3287465,429539
3277696,411104
3261113,403057
