mark_time_ns,sweep_time_ns
27250,14709
19159,14462
17279,14412
16454,14569
16159,14222
16106,14007
15335,13586
14987,13976
19695,13861
15499,13851
14234,13868
13787,13578
13435,13620
23176,16124
22915,15631
22189,14918
20934,14883
20911,14742
21259,14162
21296,15392
19922,14697
18617,14307
18044,14133
16864,13845
16326,13875
16478,13662
15549,13830
20691,13844
15387,14279
14450,13851
13825,13805
14149,13783
13470,13722
14281,13919
13859,13398
12982,13521
13030,13578
13059,13691
13230,13738
12043,13649
12110,13586
12593,13641
11639,13986
11718,13786
11925,13831
11925,13701
11987,13476
12241,13647
11610,13578
12007,13597
11711,13761
11664,13772
11313,13414
10604,13521
10722,13593
11004,13608
11315,13707
11066,13486
10826,13453
11151,13602
11500,13971
11113,13698
11802,13551
11678,13435
11499,13458
12717,13576
11596,13444
11040,13627
11386,13694
11634,13385
11150,13629
11296,13659
12076,13787
11649,13843
11656,13729
11416,13364
11904,13538
11551,13528
11564,13611
11802,13565
11536,13672
11605,13429
11349,13515
11100,13540
11196,13459
11403,13742
11548,13443
11531,13405
11190,13694
11263,13686
11156,13524
10991,13636
11488,13397
11044,13222
11186,13522
11133,13477
11943,13563
11695,13706
11246,13395
11046,13494
13269,13537
11083,13681
11716,13803
11957,13570
12240,13528
11491,13542
11427,13524
11234,13395
11536,13593
12343,13473
12053,13458
11101,13516
12063,13796
12298,13771
11658,13711
13071,13748
13280,13690
11567,13848
15132,14866
13374,13706
13037,13826
11998,13591
12243,13639
12173,13597
12150,13658
12509,13809
11594,13826
12547,13568
11958,13485
12436,13515
12088,13782
12511,13758
12467,13687
12461,13580
11836,13436
11651,13459
12126,13470
11231,13557
13032,13446
11848,13442
11982,13609
11790,13646
12248,13677
13998,13804
12264,13443
12720,13526
12845,13756
11882,13534
11952,13505
12151,13621
11536,13385
11794,13385
12081,13424
11811,13531
11827,13500
11559,13678
11024,13403
11255,13441
11779,13529
11895,13682
11879,13693
11671,13593
11601,13382
11774,13434
11428,13489
11168,13406
11440,13562
12661,13502
11721,13410
11363,13524
11135,13673
10985,13654
10902,13606
11564,13403
12011,13607
16148,13779
11565,13537
11682,13495
11414,13669
10754,13396
11460,13476
12017,13458
11851,13459
11525,13610
10835,13345
10515,13339
10809,13475
11031,13474
11084,13695
11118,13751
12133,13671
11666,13566
11627,13521
11327,13441
10897,13571
12815,13661
12483,13506
15139,13533
