mark_time_ns,sweep_time_ns
39533,22075
26910,21523
29458,20550
30346,20141
17838,15522
19320,15353
18697,15393
18050,15628
16381,15286
17750,15724
16974,15250
16213,15290
16891,15384
15628,14325
14923,14172
14571,14021
16512,14242
14879,13835
14773,13939
13848,13747
14925,13791
16129,13938
14903,13838
14176,14242
13945,13802
13738,13844
15501,13984
14628,14152
15247,13837
14598,14032
15120,13968
13851,14055
14341,14035
13110,13944
14942,13995
15168,13823
13842,13826
12992,13901
12815,13923
13484,14147
12976,13869
14313,13932
14788,13987
14292,14256
14013,13902
13056,13589
14959,13683
13816,13931
14704,13884
13051,13854
14288,13956
15261,13934
13523,13754
13618,13829
13554,13840
13309,13964
12824,13775
13775,13892
14514,13792
13792,13744
13082,13671
13507,13875
15464,14257
14143,13836
15426,13845
13195,13786
14146,14018
13573,13685
13968,14107
13883,14079
13300,13697
15079,14078
14349,13887
14698,13904
14485,13704
13035,13702
13025,13895
13809,14008
15518,13820
13866,13838
14646,13790
14044,14064
95290,13516
14623,13649
13635,13788
14329,14103
14462,13738
14255,14042
13888,13904
23689,26586
15562,13697
13747,13665
14890,13912
13757,13579
15715,13734
13793,13698
15372,14080
13849,13641
13222,13949
15141,13902
14643,14396
14371,13816
13603,13865
14600,14017
14112,13641
14088,13854
13649,13721
13476,13811
15474,13888
13286,13738
14257,13781
13799,13869
13905,13866
14316,99724
15391,13833
14983,13892
13374,14050
13754,13838
14880,14384
15730,14028
14639,13829
13563,13588
15267,22043
15150,14265
15516,14251
14072,14196
14894,14269
14356,14607
13252,13893
15070,13921
15029,13972
14286,13656
13434,13579
13293,14054
12993,13623
16836,14222
14231,13856
13479,13809
15001,13727
14572,13568
15799,13837
14330,13796
15360,14248
13587,13691
15274,13883
15636,13981
14529,13999
14753,14037
13709,13693
13968,13875
13793,13526
15519,14062
14655,14009
13564,13780
14598,13937
14211,13641
15267,13822
14148,13655
15197,13980
14007,13792
13943,13670
13724,13651
15153,14120
13505,13873
14492,13715
15154,14004
14509,13847
14393,14012
14044,14058
14226,14011
13342,13784
13423,13624
14387,13630
13586,13778
15101,14213
13510,13766
15250,13890
13860,13717
14452,13983
14854,14042
14324,13674
14335,13784
14957,13945
14925,14091
14414,13552
15506,13946
14171,13970
13972,13958
14622,19005
13721,13866
13107,14013
13722,14223
13553,13874
13620,13911
14635,13951
14679,13654
12852,13821
14721,13922
13135,13997
14670,13963
14079,13742
14700,13936
12793,13775
13157,13855
14043,14032
13488,13841
14365,13947
14408,14202
14435,13715
13983,14000
14204,13994
13010,13956
14405,13697
15531,13895
13665,13829
15067,13810
13987,13805
13578,13804
14761,13634
13262,13728
14371,13978
13825,13993
15219,13952
14541,13773
15143,13925
15353,14078
15933,13863
15199,13785
14339,13648
16609,14111
14744,14005
14770,14020
14375,14002
15092,13702
15244,13645
14758,13846
14602,14158
13503,13734
15156,14181
14026,13814
14299,13767
15174,13912
13856,14141
12929,13688
13041,13887
14716,14230
13426,13740
15018,14214
13334,13938
14865,13838
13923,13697
13777,13957
13884,14041
13773,13755
15244,14099
14480,14018
14216,14047
15641,13805
14317,13790
13450,13990
13407,13905
15639,13755
13400,13859
14534,13802
14494,13844
13629,13865
14842,13698
13554,13917
14611,14007
14506,13895
15296,13998
13823,14079
16319,13916
14914,13774
13625,13641
14837,13990
14694,13640
15586,13818
13843,13936
15505,13910
13905,13708
13734,13818
15542,14114
13998,14077
13800,13821
13521,13614
14721,14334
13619,13683
14439,13865
13806,13797
13569,13706
15812,13883
13871,13760
15362,13943
13643,13879
14131,13693
14289,13946
14239,13669
13496,13750
12768,14093
15254,13954
14904,14180
15415,14031
14776,13785
13062,13612
15270,13857
14322,13952
15081,13892
14280,13788
14445,13835
13286,14082
13603,13874
14637,13743
14205,13945
14006,13677
13676,13592
12902,14108
12760,13721
16040,14121
13807,13683
13303,13979
14883,13713
14674,13706
15603,13843
14131,13741
15178,14188
14426,13673
14328,13706
14805,13729
14760,13963
14036,13812
13338,13539
13090,14033
13082,13485
15062,13898
14740,13919
12951,13751
14411,13873
13027,13825
14581,13734
14037,13610
15026,13929
14191,13846
14090,13623
13570,13636
13901,13954
13666,13788
13624,13781
15499,13908
14307,13894
14792,13902
13752,14041
13552,14008
12952,13744
13616,13797
14828,13605
13524,13781
14748,14044
12631,13681
14314,13836
13855,13695
14134,13978
15099,14088
15435,13793
15301,13884
15042,14112
15770,14118
13617,13489
16363,14314
15363,14131
15946,13901
15277,13893
14161,13887
14065,13910
15490,14616
14843,14705
15205,14403
15726,14153
16154,13794
14619,13809
15750,14087
13961,14106
15171,14110
14653,13825
15223,13940
14434,13882
15302,13807
14754,14227
13500,13802
14251,13973
14199,13827
15035,13652
14256,13818
14293,13725
13951,13772
14046,13752
15170,13927
13143,13788
14196,13934
14551,13921
14697,13868
14550,13744
12761,13741
14118,14122
13882,14078
14077,13826
13877,13611
13579,13956
14637,14092
14629,13807
14053,13802
13127,13722
15416,14061
13565,13964
14036,13881
14430,14057
13567,13663
14562,13651
13611,14025
14360,14176
12833,13909
14045,14177
13327,13893
13483,13809
13659,13805
14480,14209
12401,13750
13077,13752
15122,14013
12685,13836
14075,14113
13106,13878
14620,13901
13835,13687
13191,14004
13949,14034
13559,13692
14802,14028
14394,13914
14223,14041
14822,13861
13636,14057
13254,14208
13490,13901
15258,13707
12776,13843
14478,13814
14125,13925
14233,13853
15198,13618
13773,13753
14504,13999
13761,13857
14513,13872
13251,22381
14587,14090
15201,13834
13906,13624
15066,13917
12951,13519
15252,14113
13597,13769
14841,13951
14583,13770
14215,13891
14210,13866
13293,14119
13514,13817
13716,13676
15619,14120
13233,13650
13969,13738
13926,13774
13737,13776
15832,13794
13406,13853
14440,13914
13822,13946
14450,13635
13833,13867
13308,13652
13387,13853
12755,14312
13589,13862
14684,14066
16955,13965
14461,13775
13496,13686
14853,13831
14990,14196
15295,13905
14199,13834
14416,13851
14201,14254
13936,13888
14082,13594
15030,14398
14533,13666
13294,13586
13464,14161
14340,13782
15698,14202
13950,13798
13637,13897
15244,13729
14864,13732
15524,13860
14106,13902
15415,14104
13573,13659
14174,13744
14685,13751
14978,13732
14731,13861
13927,13917
13478,13888
12930,13450
15850,13842
15929,13638
14151,13863
14620,13818
13482,13641
15057,13792
13561,13595
14474,14042
15087,13947
14831,13643
13662,13634
14829,14071
14007,13716
13872,13657
15224,14071
14170,13681
14797,13953
14908,14241
14110,14079
13844,13678
13272,13776
15282,13612
13963,13869
16163,14024
13171,13750
15286,13927
13868,13691
14096,13930
14677,14000
14146,13691
15082,13805
15133,14002
15169,14101
14279,13712
15004,13870
14107,13954
13999,13976
14883,13877
13758,13890
13965,13928
14797,13770
13688,13824
13734,13874
15161,13876
16303,13626
13681,13842
15111,13914
14155,13911
15332,14007
14598,13788
15485,14004
14100,13792
14467,13632
14994,14093
14335,13782
14199,13900
14279,13923
15430,13696
15051,13977
14882,13746
13270,13644
15985,13772
16409,13794
13892,13752
15716,13883
14814,13942
14237,13908
15333,13983
13941,13843
14664,14009
14389,13874
14923,13996
14810,13720
14227,13910
15377,14093
15117,13773
15277,13779
14960,13661
16054,14085
101615,13498
14821,13993
15136,13909
14703,13620
15726,13599
14137,13948
