mark_time_ns,sweep_time_ns
113198,15214302
60144,15296090
84766,15204746
84238,15178804
85569,15193506
68095,15167704
111497,15208179
80767,15167021
70520,15333016
93288,15180663
190221,15186109
75588,15179301
110597,15193974
64992,15157669
90990,15180070
85344,15167144
69617,15170214
72777,15167505
190899,15211799
196625,15158727
171548,15229317
77419,15198473
80705,15162962
84758,15179778
76551,15147330
218357,15231679
74471,15178656
86009,15156940
101229,15158386
98439,15162929
72038,15174729
163176,15178541
69352,15192136
66624,15341111
216035,15698903
95314,16184465
96326,15194332
71453,15161592
79442,15163336
79979,15185922
104902,15191907
85034,15172441
109664,15177492
102169,15181527
72596,15178828
64950,15179601
105248,15154563
72600,15625137
79571,15200749
137636,15160693
61053,15269158
66867,15171793
72203,15276305
94938,15283682
89599,15255965
89489,15188808
64388,15188530
89316,15287481
95225,15387865
84866,15393607
89256,15297767
82362,15287149
101666,15391242
96343,15404288
98740,15303955
95632,15504201
71287,15300585
74516,15262586
205071,15287074
92169,15281716
76482,15298237
176404,15401466
84375,15276291
77113,15365147
102353,15323132
104256,15283108
83188,15277255
96866,15286607
83020,15301662
98375,15307742
88809,15314067
85993,15283585
79877,15287402
56459,15353548
64879,15284486
194922,15320609
83048,15270525
67461,15311448
163485,15303954
68254,15297347
71957,15485139
91726,15641218
84723,15285211
73611,15282922
81588,15401366
