mark_time_ns,sweep_time_ns
3560462,30327550
3541000,30242421
3525518,30472467
3520686,30575608
3807570,30309074
3850416,30260125
4730839,30295966
9637285,30350278
3455712,30300974
3515084,30286766
3553613,30511351
3530665,30295153
3447039,30323578
3690967,30261009
4757235,30210288
8613800,30361836
3506091,30305938
3444595,30347734
3752552,30345412
3492247,30720533
3489654,30349618
3637529,30380169
3794851,30346208
4068035,30329949
8817487,30378891
3439730,30409520
3730783,30289749
3423426,30343315
3502740,30486263
3653561,30377209
3697025,30324141
4555848,30572620
9586832,30370349
3519893,30317670
3480152,30655122
3538049,30365858
3535722,30338569
3704923,30535230
3554303,30311891
4633451,30323822
8639249,30654733
3421795,30331667
3481625,30370829
3681433,30597729
3588991,30368755
3550457,30318705
3620513,30401248
3658609,30329682
4071063,30467092
8822247,30369645
3433604,30351844
3679095,30306089
3424887,30342806
3491596,30322738
3634365,30407709
3851589,30337916
4714814,30331805
9629857,30384845
3452286,30320086
3516414,30311407
3472397,30498947
3531145,30429162
3434478,30313560
3652704,30394505
4720737,30382574
8638851,30481713
3481191,30261673
3403109,30271974
3699693,30265008
3513611,30296215
3526586,30270760
3673735,30269028
3743123,30281070
4111268,30261739
8837671,30303160
3443738,30290356
3705856,30315117
3409255,30266259
3486056,30311789
3639334,30252265
3822324,30290261
4711642,30239566
9602662,30746060
3466906,30321789
3550287,30512660
3493807,30250460
3563208,31104687
3459886,30239072
3642533,30268407
4747101,30369200
8759338,30594372
3486577,30250421
3541311,31800549
3799284,30589836
3513261,30302704
3498839,30333547
3665341,30515492
3748969,30285296
4075971,32024964
8911431,30512925
3421541,30333185
3713984,30416637
3402267,30619673
3479655,30360175
3629782,31502896
3853219,30614054
4753555,30309207
9657601,30410419
3465033,30557430
3491167,30291868
3485174,31461723
3543213,30562219
3439015,30335812
3661635,30360787
4731523,30358036
8620654,30351649
3494769,30444041
3442120,30342274
3746525,30306097
3466207,30348258
3468337,30351358
3629444,30367670
3801058,30244498
4041439,30187894
8869031,30170088
3391616,30156558
3773728,30137363
3469728,30081460
3565806,31791545
3617897,30204597
3692997,30184248
4524299,30283193
9635404,30489524
3487415,30081842
3672767,31325160
3486557,30382577
3506415,30185491
3751854,30128942
3627234,30231310
4574226,30145896
8795209,30295466
3373723,30440238
3485045,30386406
3722508,30066872
3668765,30457934
3502317,30202991
3578954,30200874
3639789,30372325
4033700,30352053
8748176,30160090
3497730,30056943
3696685,30087948
3385027,30196905
3506803,30474888
3610950,30169054
3905591,30056439
4679867,30180386
9565126,30174195
3425569,30148849
3529940,30271967
3559179,29986999
3582356,30058937
3440978,30154767
3638188,30184969
4660186,30251949
8633018,30236551
3547700,30026757
3378911,30139675
3658679,30101416
