mark_time_ns,sweep_time_ns
135720,3879997
151968,3853455
84423,3856523
76784,3848849
73410,3850042
79150,3907479
87346,3894632
81747,3863531
111278,3863293
73656,3872323
146743,3886034
73946,3881683
107913,3949325
87075,3875067
192732,3829925
77773,3825341
77535,3816300
74569,3848663
89514,3889151
100235,3907702
87550,3844334
50580,3806137
70750,3856441
83741,3886620
84810,3844320
89154,3876158
56691,3892849
116550,3844248
186826,3862382
95875,3855815
89153,3852982
69820,3862287
56618,3848513
181806,3898217
67340,3960293
74310,3818655
173419,3847046
75557,3861806
75477,3841935
87171,3857416
58501,3847493
94704,3892905
97502,3872634
187191,3836551
73244,3852592
172358,3853143
55669,3858255
80032,3868589
83711,3855590
79409,3852404
98216,3818502
105566,3859593
69322,3881506
94642,3935894
72578,3922017
70682,3825200
69579,3816492
97054,3845384
72796,3873481
77243,3914848
83411,3942910
161788,3852601
231248,3874491
71151,3887547
58546,3859081
58929,3864208
98001,3871431
103411,3883664
71198,3944548
84370,3938309
114803,3822231
99821,3857045
143613,3858172
52814,3902430
84593,3875174
86394,3870987
176801,3820036
61316,3875008
165684,3904437
58343,3909706
70182,3857803
75063,3858428
67379,3896370
81955,3897083
94518,3860153
61623,3888313
84562,3882715
69881,4145530
62779,3825094
67967,3898692
83563,3846925
64548,4137205
61758,3857115
75591,3933240
167032,3889012
217554,3987148
71282,3861637
59467,3859397
59783,3870999
87846,3850892
89390,3860094
60495,3918194
76108,3875093
99075,3823749
91684,3856223
143712,3869026
52363,3864986
82244,3851899
84605,3883808
180195,3827187
60572,3842627
162951,3854314
57297,3837947
70074,3859359
76411,3894213
79341,3858296
81404,3830156
95926,3867293
59331,3864371
83208,3877441
60988,3890906
62706,3815735
62262,3815145
83196,3818990
65820,3843898
61287,3857368
83240,3948897
165271,3848764
217645,3836212
72019,3868068
60299,3877908
60128,3851761
87725,3855646
89661,3854661
62428,3937843
76448,3845431
100532,3817713
90866,3856795
142317,3858810
51605,3870612
82297,3876296
84650,3869613
178052,3828407
62064,3849593
163096,3851615
56484,3845633
70975,3900857
75728,3873010
68721,4296296
81573,3819627
93463,3873281
59588,3852196
84003,4047088
59818,3911523
65231,3842621
62452,3813010
82122,4093052
65186,3849055
60790,3884158
74720,3904021
163336,4076857
217759,3830648
73723,3865333
60135,3851080
60743,4068555
87411,3846870
90261,3855144
61053,3942180
76713,3840113
98870,3821362
91010,3853542
143254,3851149
52030,3851782
82865,3853112
84926,3873800
178140,3830881
61139,3875141
165381,3861938
55618,3843863
68886,3871441
76661,3885051
67016,3871987
82372,3825104
95091,3860014
60609,3906397
83565,3894931
60523,3950570
64137,3852184
61961,3809968
84781,3823621
64454,3852764
61351,3852563
75756,3885006
164949,3833232
216178,3831484
71972,3859782
60020,3845370
60037,3852681
87290,3867091
91132,3848481
60327,3857142
77520,3859131
100500,3821224
93564,3862143
142698,3855800
51967,3847133
82148,3886195
83679,3870224
168946,3931341
60849,3845353
164806,3885890
55748,3856100
70131,3853329
76421,3864487
68035,3869439
81692,3823362
96631,3894417
59655,3845618
83713,4048663
60249,3932672
61949,3937822
60020,3815926
83234,3862399
66103,3877816
61314,3898248
83567,3942665
168715,3890439
215336,3816707
72071,4154050
60385,3856515
59971,3855587
88262,3858659
89858,3868117
63541,3917015
76911,3878147
100718,3836702
91604,3859340
143810,3859562
52137,3854387
81961,3862431
84745,3862526
176069,3827662
61542,3849759
163450,3861563
57771,3856673
69689,3842158
75427,3884421
68268,3880846
82886,3818799
95651,3914782
59742,3876964
84123,3893252
60009,3910442
62782,3821424
62721,3819494
83098,3820808
64265,3835488
61714,3847610
75566,3929453
165355,3835343
222142,3823261
72937,3863293
59058,3879489
58681,3851379
87808,3852746
88898,3854426
72824,3914201
77333,3869085
99563,3831726
91779,3864327
143592,3866909
52469,3851070
83199,3856415
84885,3868572
179323,3829862
61036,3852578
163241,3866466
56162,3883036
70478,3851144
76243,3849889
67232,3873680
82256,3816185
95349,3856981
59938,3856298
81885,3894890
57740,3857357
64366,3820238
64290,3816024
84220,3818645
65262,3853830
60262,3838957
83831,3958202
168704,3829460
217353,3833940
72962,3866258
60563,3859780
59171,3827843
87736,3851470
106581,3843468
60840,3967957
78003,3881397
93154,3904500
92155,3863290
143000,3897131
52574,3888051
82359,3857521
84415,3910294
182276,3846770
60595,3845633
165028,3856200
56922,3848834
70771,3847474
74193,3857878
69962,3866937
82859,3829047
96092,3919945
59767,3856385
85570,4063197
61462,3918840
62925,3820815
62333,3818564
78676,4071599
64777,3845034
61869,3887199
75370,3933079
170747,4023463
216417,3826561
72142,3930707
59550,3852438
59596,3997624
88627,3848737
91181,3889069
62457,3955795
76561,3851682
99975,3823972
102738,3886868
142583,3844128
51284,3865653
82207,3901024
86021,3857138
176823,3834861
60565,3838448
165992,3852147
56946,3857148
68947,3870972
76024,3854564
82454,3857151
81205,3820849
94113,3856778
59988,3854265
84283,3918777
58346,3954417
63326,3835364
60119,3892788
82946,3827900
63926,3866265
60776,3904592
74218,3854091
167107,3837234
219139,3855135
73038,3840956
60217,3881839
60087,3843971
87380,4087577
90095,3877166
61017,3922426
83215,3866024
100342,3820095
91231,3858146
144002,3853050
52118,3857822
82934,3874240
85213,3863682
175838,3822815
60258,3843216
165900,3851085
56251,3855299
68594,3848121
75777,3860040
67534,3875248
