mark_time_ns,sweep_time_ns
5435145,3826168
5674585,3821486
5523979,4004424
5611342,3817070
5602038,3820523
5674542,3813415
5607931,3825734
5572563,3912465
5674847,3822911
4474664,3819355
5341289,3906176
5553565,3758268
5384451,3804532
5736327,3779601
5946886,4010748
5544932,3892524
5680579,3791439
5596311,3824517
5664108,3817365
5682655,3830044
5682343,3912605
5589370,3822723
5650587,3827980
5710363,3814806
5608159,3814699
5706993,3811541
5597574,3814259
5626010,3909105
5917906,3873512
5723441,3879879
5761221,3848370
5556739,3821294
5660320,3815807
5559988,3827460
5574777,3935501
5666358,3907589
4404031,3822579
5319894,3926739
5533389,3779212
5415670,3949333
5688303,3796531
5580002,3938066
6048291,4011795
5560602,3794477
5651618,3812011
5552620,3840642
5551263,3934106
5697336,3808673
5571640,3815414
5649512,3826794
5569080,3892213
5591664,3894776
5569227,3811465
5591449,3848000
5705181,3823221
5579063,3817312
5551079,4028589
5646186,3845819
5641277,3931388
5738066,3847132
5549716,3815072
5653469,3822762
5573978,3827893
4419621,3925454
5419335,3813399
5522532,3764881
5435889,3945955
5701970,3800915
5591857,3981185
5512050,3798135
5620283,3982518
5655259,3830476
5562544,3832784
5629863,3855247
5589495,3818743
5591762,3905934
5641886,3822326
5611297,3819129
5771741,3841097
5559274,3816905
5575840,3900165
5599924,3824649
5580302,3821418
5680594,3821229
5571395,3816016
5568056,3960123
5647632,3819683
5577236,3830469
5697346,3816570
4603378,3809646
4475542,3925970
5481343,3813135
5443319,3752640
5346205,3926702
5689081,3812738
5722740,3930315
5591632,3828500
5638032,3927185
5744657,3840705
5551905,3932874
5659904,3844817
5574462,3815136
5576163,3908243
5574238,3824520
5584214,3968903
5699664,3813706
5575223,3807914
5570438,3907682
4445819,3913758
5571066,3802508
5632229,3823286
5559979,3817157
5568271,3909068
5737489,3849073
5626692,3957178
5681133,3834427
5563821,3960285
5065994,4279795
5316379,3808743
5444209,3808479
5472534,3800412
5602418,3785073
5632887,3924832
5600269,3908659
5632115,3925857
5700531,3822383
5548842,3827877
5654381,3841811
5588482,3813449
5585506,3905993
5664504,3829376
5702160,3847275
5775471,3844763
5666871,3849374
5767831,3841648
5562283,3821776
5645825,3819245
5537889,3822442
5652588,3896262
5660974,3816545
5557373,3815202
5555134,3926751
5674010,3818878
5564752,3827400
4514861,3825498
5907434,3974513
5436232,3859715
5446096,3812693
5620523,3762979
5564681,3897624
5601129,3819276
5575787,3888296
5658125,3879874
5553562,3917960
5565014,3928599
5589621,3818009
5563966,3896191
5667334,3829068
5575702,3818356
5678514,3821863
5573836,3817432
5568889,3910976
5694213,3822078
5585526,3825391
5643084,3811710
5570760,3821348
5567390,3904593
5659723,3817631
5562642,3884053
5776231,3849442
5649451,3833882
4411572,3933168
5447991,3802998
5444497,3963475
5432587,3819753
5628196,3759423
5549661,3906855
5605927,3792923
5622809,3818753
5869320,3841549
5631328,3856097
5572194,3936419
5585793,3820597
5641504,3899174
5658954,3832560
5575405,3809338
5697647,3813583
5569016,3816244
5574630,3927471
5651320,3865324
5619324,3858333
5597983,3863065
5699039,3853605
5624654,3872276
5627439,3866237
5629935,3864756
5616185,3876007
5634383,3865055
4438215,3891195
5454688,3888237
5512288,3812326
5387121,3855235
5679436,3831199
5609103,3846608
5544720,3853522
5609519,3827059
5608741,3855254
5592681,3888013
5629174,3882757
5622213,3861283
5691673,3866958
5623103,3836003
5620843,3888116
5640132,3857874
5617463,3912320
5625481,3858226
5662581,3861102
5627452,3880948
5588496,3863266
5629217,3856359
5642352,4062656
5615027,3855955
5633856,3869918
5616042,3870432
5613933,3868806
4777497,3895250
5456260,3857007
5469128,3802215
5392070,3876094
5648950,3829621
5673059,3897114
5635160,3873336
5607070,3843784
5626479,3862270
5610582,3872277
5712139,3913391
5744238,3884871
5613877,3855121
5600412,3863233
5696904,3983687
5674759,3881819
5664695,3856229
5632688,3868338
5638256,3872920
5717242,3892946
5708333,3937229
5718409,3901354
5704078,3883176
5609179,3862244
5613189,3861680
5635782,3892253
5622237,3869531
4444594,3866299
5363137,3870014
5494595,3804453
5390103,3830757
5654375,3830819
5610498,3981569
5615430,3899042
5619412,3832692
5603089,3859716
5591452,3874503
5611189,3873861
5644417,3896950
5641712,3858927
5600903,3871552
5622149,3872006
5694558,4036682
5623286,3880612
5648144,3871358
5646688,3860300
5629588,3875364
5773944,3899460
5622952,3860274
5609690,3883647
5659863,3861264
5700102,3896490
5655716,3870063
5612949,3872378
4450841,3902370
5385540,3864901
5490756,3804616
5477460,3903193
5735737,3808238
5598705,3847388
5559217,3841114
5621130,3820241
5623383,3867911
5634363,3871533
5605980,3883532
5638889,3862737
5711171,3885419
5721015,3905618
5702804,3892988
5654814,3888075
5613150,3864638
5617474,3850371
5640260,3867783
5625859,3858448
5586723,3866274
5608582,3859117
5688073,3884524
5713842,3893676
5707737,3896169
5636168,4069706
5630371,3874038
4448969,3861187
5365093,3851990
5507857,3800199
5378472,3859283
5688340,3822701
5591655,3846615
5553943,3875409
5633062,3861751
5714894,4056020
5591667,3871211
5635572,3884537
5629918,3858666
5625762,3854279
5746919,3908830
5706026,3910927
5720296,3889979
5622256,3906385
5618709,3864013
5644859,3868176
5662130,3866354
5606527,3872954
5610064,3864313
5606152,3857880
5593971,3860359
5615083,3891210
5645707,3869891
5611326,3872168
4498298,3876230
5310509,3851863
5477438,3799333
5376440,3853455
5670972,3818258
5745686,3901825
5581216,3847707
5666834,3833125
5624017,3883484
5606492,3891885
5711987,3935317
5738025,3885528
5711543,3914038
5608199,3862802
5609487,3869364
5645416,3887769
5620537,3865360
5626394,3865039
5654058,3867126
5671319,3912489
5602843,3864584
5604026,3865982
5608902,3864460
5597022,3881864
5600817,3871123
5637537,3863014
5608314,3866858
4484949,3866438
5637452,4087958
5519430,3810716
5378108,3855423
5653947,3831723
5599588,3849798
5544566,4019136
5713750,3876372
5694148,3882616
5677168,3941284
5605973,4034409
5652973,3877424
5610008,3867938
5594961,3877159
5636413,3859712
5638467,3865973
5633898,3882620
5640893,3858280
5641073,3863304
5638006,3876394
5597099,3851176
5605739,3860558
5638968,3861250
5596166,3865173
5629867,3881641
5745235,3893077
5686761,3911853
4548364,3882123
5415042,3886544
5613744,4038545
5421567,3866065
5670717,3819788
5593019,3842737
5542153,3824830
5603446,3842408
5628129,3854395
5600636,3862765
5627543,3902622
5635761,3851031
5705298,3920936
5706947,3895933
5621095,3864420
5659603,3859648
5612681,3862920
5715002,3915464
5671862,3861429
5618177,3862547
5605184,3887829
5788418,3865207
5612389,3918070
5611272,3900211
5613446,3864672
5632814,3871627
5792301,3910794
4535666,3894130
