mark_time_ns,sweep_time_ns
4447628,3038076
1449060,3102704
4861648,3030575
1111288,3097791
2071544,3068837
1048067,3130365
1892456,3082426
1094524,3100630
1954743,3083979
1068300,3119832
1879280,3074048
1081520,3098650
2325962,3078973
1554597,3011458
1908016,3088238
1065853,3101887
1893362,3034753
1047055,3138255
1967609,3066598
1002360,3278099
2053319,3018997
1040155,3116763
1865592,3068734
1588034,3099226
2368865,3018314
1506528,3067794
1987200,3077351
1012300,3116090
1886537,3117532
1085851,3131836
1887079,3063169
1064256,3138788
2060453,3072504
1441599,3238344
2166155,3047632
1080910,3092057
1897055,3067201
1022556,3131617
1866033,3049169
1102089,3127817
1892925,3064106
1099504,3099398
1856153,3066884
1591298,3103021
2269999,3039838
1512616,3008060
1882854,3078533
1071300,3104224
1868596,3071734
1063667,3113091
1940146,3060707
1012799,3151212
2057385,3027973
1024533,3140267
1871547,3068136
1591583,3084140
2358644,3027368
1475869,3022190
1919101,3078339
1002131,3113734
1879868,3095087
1042493,3108270
1913963,3057104
1055822,3118838
1966137,3046564
1409231,3094619
2270424,3025905
1080797,3108843
1915829,3042076
1058118,3154661
1867957,3048832
1090083,3086117
1958837,3057486
1072911,3110612
1859763,3071949
1043020,3105759
2268575,3021986
1534865,3011238
1860642,3066061
1068169,3098765
1877099,3070856
1035051,3114465
1932311,3066228
992837,3125623
2018464,3047124
1034005,3099435
1889278,3047750
1587440,3067826
2351224,3032227
1485187,3013509
1934461,3053838
1016781,3120379
1859586,3078329
1049840,3107067
1936742,3076253
1051255,3124023
1959648,3048720
1248295,3410541
2135414,3035714
1110936,3124207
1913980,3065215
1040242,3106271
1863149,3072224
1081292,3093590
2048541,3069494
1089402,3115978
1861475,3060666
1593101,3102752
2294450,3019690
1526063,3022533
1860405,3070743
1068914,3101439
1885415,3058158
1034694,3114589
1941101,3069891
985715,3098408
2120591,3015723
1024636,3116573
1859206,3067780
1553925,3114852
2359465,3025200
1495896,3036232
1940087,3071851
997561,3113732
1863415,3075695
1057186,3113036
1871509,3092361
1065289,3116625
1948926,3069677
1356376,3113368
2255350,3067639
1222350,3239367
1897173,3066732
1024578,3122316
1960960,3042131
1069309,3088790
1921772,3073363
1080073,3138647
1987047,3047100
1033029,3118196
2273288,3065376
1545779,3012764
1871037,3072460
1065951,3100981
1876469,3064238
1199517,3121240
1944364,3068013
1030892,3128509
2109363,3022679
1023967,3116987
1872495,3072757
1584767,3081341
2380177,3024527
1489692,3015556
1946609,3052866
1003338,3109925
1865622,3070703
1040874,3112527
1893412,3081557
1228168,3122699
1965293,3065188
1450730,3078797
2183991,3061559
1090345,3108271
1914407,3042655
1024563,3130204
1867524,3059507
1068326,3111209
1940505,3101009
1075514,3168555
1884134,3054898
1601841,3061639
2275376,3022685
1495829,3212643
1846680,3071499
1093032,3199054
1888839,3095227
1043314,3114506
1931709,3066695
1003995,3104022
2101793,3024995
