event_type,gc_thread,start_ns,time_ns
mark,-1,2107191,58002
mark,-1,3168174,23029
mark,-1,4129320,37629
mark,-1,5073068,30345
mark,-1,6070445,46160
mark,-1,7035022,35850
mark,-1,8038340,28035
mark,-1,9044395,32597
mark,-1,9954054,35614
mark,-1,10941662,21585
mark,-1,11917487,39626
mark,-1,12886983,18966
mark,-1,13919551,31085
mark,-1,14869365,25756
mark,-1,15809216,82272
mark,-1,18961830,83109
mark,-1,20977308,56855
mark,-1,22942015,44481
mark,-1,25046890,47941
mark,-1,26985028,45895
mark,-1,29028074,28657
mark,-1,31057694,47546
mark,-1,32949342,28107
mark,-1,34970413,42590
mark,-1,36915077,38795
mark,-1,39003042,34686
mark,-1,40971976,47529
mark,-1,42952941,58194
mark,-1,45040985,31577
mark,-1,46962015,95615
mark,-1,48924465,82833
mark,-1,50926182,87005
mark,-1,52886185,30236
mark,-1,54999887,45734
mark,-1,56929103,33388
mark,-1,58959381,29990
mark,-1,60978686,96381
mark,-1,62886870,22357
mark,-1,64908710,33823
mark,-1,66864613,58426
mark,-1,68950178,58594
mark,-1,70912107,18502
sweep,-1,70965322,3628
mark,-1,72914854,48813
mark,-1,74989462,39614
mark,-1,76907195,93543
mark,-1,78878013,35865
mark,-1,80852326,21115
mark,-1,82844567,57472
mark,-1,84930169,26839
mark,-1,86885283,90441
mark,-1,88915310,90761
mark,-1,90933923,86364
mark,-1,92819422,27803
mark,-1,94839421,38596
mark,-1,96788716,47864
mark,-1,98877870,37447
mark,-1,100845302,82862
mark,-1,102821017,58076
mark,-1,104920252,42795
mark,-1,106844627,93174
mark,-1,108801040,29710
mark,-1,110802371,82317
mark,-1,112776671,31994
mark,-1,114886039,44726
mark,-1,116816960,35055
mark,-1,118849724,93358
mark,-1,120879069,20667
mark,-1,122779718,28802
mark,-1,124807230,36775
mark,-1,126758370,56877
mark,-1,128839401,82830
mark,-1,130824694,58047
mark,-1,132823914,67330
mark,-1,134905014,30886
mark,-1,136824132,32415
mark,-1,138773743,40647
mark,-1,140752776,23419
mark,-1,142726905,57594
mark,-1,144804203,42568
mark,-1,146752365,93851
mark,-1,148793902,39392
mark,-1,150800684,95220
mark,-1,152701108,66442
mark,-1,154715860,36860
mark,-1,156672854,56709
mark,-1,158755941,90180
mark,-1,160748814,20172
mark,-1,162762769,98572
mark,-1,164842127,34999
mark,-1,166763713,98858
mark,-1,168733463,19697
mark,-1,170723002,88844
mark,-1,172684064,47732
mark,-1,174781370,44146
mark,-1,176736276,46143
mark,-1,178755122,20228
mark,-1,180795044,28721
mark,-1,182690731,80709
mark,-1,184718220,47981
mark,-1,186671925,32428
mark,-1,188752488,85327
mark,-1,190731776,33727
mark,-1,192739191,87215
mark,-1,194805092,39657
mark,-1,196729154,34536
mark,-1,198824610,56483
mark,-1,200865722,88678
mark,-1,202856098,36177
mark,-1,204949928,43569
mark,-1,206903710,57217
mark,-1,208920798,34043
mark,-1,210953686,89169
mark,-1,212844569,27064
mark,-1,214879419,40649
mark,-1,216836803,97563
mark,-1,218939318,26098
mark,-1,220911746,87778
mark,-1,222903306,35099
mark,-1,224979855,44861
mark,-1,226898639,23509
mark,-1,228865144,20447
mark,-1,230846561,32757
mark,-1,232834909,41517
mark,-1,234923924,27678
mark,-1,236872539,88027
mark,-1,238915785,41970
mark,-1,240912526,88825
mark,-1,242796368,65245
mark,-1,244828090,37883
mark,-1,246788219,62101
mark,-1,248854423,20479
sweep,-1,248909738,5029
mark,-1,250825340,44461
mark,-1,252839842,100988
mark,-1,254924688,56577
mark,-1,256841131,36129
mark,-1,258807572,87109
mark,-1,260761459,91043
mark,-1,262734206,37950
mark,-1,264836179,45930
mark,-1,266772215,57248
mark,-1,268793460,34661
mark,-1,270806374,38827
mark,-1,272695625,31154
mark,-1,274715920,38112
mark,-1,276683310,97758
mark,-1,278730459,85694
mark,-1,280727253,59175
mark,-1,282728982,33688
mark,-1,284815913,44609
mark,-1,286726557,25137
mark,-1,288701076,20764
mark,-1,290682485,32868
mark,-1,292677435,41108
mark,-1,294761727,27985
mark,-1,296712476,32015
mark,-1,298764930,100049
mark,-1,300775941,84916
mark,-1,302651001,28451
mark,-1,304684782,40740
mark,-1,306647779,32651
mark,-1,308714666,88719
mark,-1,310688476,90727
mark,-1,312698719,61813
mark,-1,314766545,28812
mark,-1,316691175,31255
mark,-1,318648248,92709
mark,-1,320621545,33230
mark,-1,322603780,59267
mark,-1,324680365,26830
mark,-1,326627807,88471
mark,-1,328659028,39462
mark,-1,330669042,94286
mark,-1,332569445,27292
mark,-1,334597706,40362
mark,-1,336564202,97098
mark,-1,338643823,56602
mark,-1,340615834,92190
mark,-1,342605493,92758
mark,-1,344692009,29651
mark,-1,346626535,23564
mark,-1,348589800,57170
mark,-1,350564096,87214
mark,-1,352529751,29670
mark,-1,354641201,81086
mark,-1,356590087,57439
mark,-1,358621366,92426
mark,-1,360657385,39190
mark,-1,362561506,59094
mark,-1,364572627,56400
mark,-1,366512015,84971
mark,-1,368572572,58100
mark,-1,370561184,28355
mark,-1,372537561,57710
mark,-1,374638701,38849
mark,-1,376575234,93165
mark,-1,378510479,137520
mark,-1,384973496,118655
mark,-1,389177657,102080
mark,-1,393369734,95922
mark,-1,397408977,45097
mark,-1,401569688,105997
mark,-1,405949405,68124
mark,-1,410366853,46997
mark,-1,414406314,31666
mark,-1,418620660,35708
mark,-1,422803972,45906
mark,-1,426801126,43177
mark,-1,430888486,56859
mark,-1,435019086,101896
mark,-1,439222993,36523
mark,-1,443264876,88847
mark,-1,447481025,46861
mark,-1,451606664,21344
mark,-1,455654897,92654
mark,-1,459772113,113695
mark,-1,463927702,46577
mark,-1,468114457,34492
mark,-1,472147934,87065
mark,-1,476310077,63821
mark,-1,480381341,57362
mark,-1,484556444,36980
mark,-1,488611085,92974
mark,-1,492807276,56824
mark,-1,496902397,58436
mark,-1,500904326,40191
mark,-1,505043280,58049
mark,-1,509170858,26145
mark,-1,513363479,56657
mark,-1,517371333,32956
mark,-1,521534517,46440
mark,-1,525632148,43236
mark,-1,529750670,36290
mark,-1,533780728,41687
mark,-1,537997515,35270
mark,-1,542172077,41760
mark,-1,546178770,101718
mark,-1,550253216,36612
mark,-1,554440833,42746
mark,-1,558599726,30541
mark,-1,562639577,122677
mark,-1,566806758,48314
mark,-1,570975581,46079
mark,-1,575023223,95042
mark,-1,579088057,25171
mark,-1,583295657,59202
mark,-1,587495520,59692
mark,-1,591493638,32190
mark,-1,595629050,107250
mark,-1,599719557,58863
mark,-1,603912506,96608
mark,-1,607951191,36084
mark,-1,612139162,39598
mark,-1,616236770,36351
mark,-1,620251765,36101
mark,-1,624392799,121873
mark,-1,628574774,62873
mark,-1,632773946,94675
mark,-1,636839321,31430
mark,-1,641004242,30733
mark,-1,645098901,49161
mark,-1,649224291,87691
mark,-1,653274966,130560
mark,-1,657511166,43104
mark,-1,661649756,57051
mark,-1,665659545,41294
mark,-1,669768489,100646
mark,-1,673927858,28051
mark,-1,678133059,94788
mark,-1,682194726,34587
mark,-1,686357493,90380
mark,-1,690496619,46074
mark,-1,694593929,46917
mark,-1,698623321,48093
mark,-1,702828704,97632
mark,-1,707030482,48011
mark,-1,711034707,28317
mark,-1,715127114,59486
mark,-1,719277951,102891
mark,-1,723464343,57694
mark,-1,727495004,42626
mark,-1,731676072,42201
mark,-1,735811803,87246
mark,-1,739869531,25666
mark,-1,743944637,89385
mark,-1,748123380,39242
mark,-1,752325705,89484
mark,-1,756371430,24504
mark,-1,760507795,57586
mark,-1,764610384,36398
mark,-1,768795800,100890
mark,-1,772868142,58311
mark,-1,777051788,36470
mark,-1,781172883,49657
mark,-1,785176380,37691
mark,-1,789319963,57122
mark,-1,793448728,25250
mark,-1,797665878,59283
mark,-1,801672143,94267
mark,-1,805862897,23697
mark,-1,809987269,34449
mark,-1,814135108,35056
mark,-1,818167401,42412
mark,-1,822373757,87315
mark,-1,826569466,65726
mark,-1,830562121,62328
mark,-1,834623190,56909
mark,-1,838800744,120786
mark,-1,842979159,97400
mark,-1,847029567,42865
mark,-1,851185988,23917
mark,-1,855351909,39340
mark,-1,859436540,87649
mark,-1,863478298,93819
mark,-1,867660341,31236
mark,-1,871855522,45096
mark,-1,875867541,23492
mark,-1,879980265,43043
mark,-1,884102418,99209
mark,-1,888333400,36860
mark,-1,892379594,87339
mark,-1,896573710,41917
mark,-1,900672339,93485
mark,-1,904724995,26449
mark,-1,908841594,45251
mark,-1,912985017,38660
mark,-1,917167213,100584
mark,-1,921219350,34201
mark,-1,925373639,96392
mark,-1,929454223,38696
mark,-1,933626205,104101
mark,-1,937705238,27093
mark,-1,941906288,56949
mark,-1,946031287,39270
mark,-1,950031209,37076
