event_type,gc_thread,start_ns,time_ns
mark,-1,2994410,48033
mark,-1,4967493,25947
mark,-1,6881204,22328
mark,-1,8797759,27443
mark,-1,10694947,60436
mark,-1,12570774,53075
mark,-1,14439288,25339
mark,-1,16318228,14915
mark,-1,18230606,32496
mark,-1,20126343,58063
mark,-1,22030356,45595
mark,-1,23905181,24053
mark,-1,25819522,24849
mark,-1,27721194,57303
mark,-1,29582166,44671
mark,-1,31438077,23886
mark,-1,33309672,14477
mark,-1,35227987,39906
mark,-1,37130798,40311
mark,-1,39016406,31438
mark,-1,40903189,44199
mark,-1,42764515,38648
mark,-1,44654959,7848
mark,-1,46547912,33805
mark,-1,48443566,22070
mark,-1,50349399,20045
mark,-1,52261537,24362
mark,-1,54163327,57368
mark,-1,56017637,44088
mark,-1,57872822,23818
mark,-1,59750721,13719
mark,-1,61687274,38282
mark,-1,63568749,46987
mark,-1,65425428,39259
mark,-1,67327609,56765
mark,-1,69224072,29049
mark,-1,71096260,30969
mark,-1,72986479,42198
mark,-1,74853620,23394
mark,-1,76769085,25065
mark,-1,78669489,60178
mark,-1,80527717,46566
mark,-1,82384329,24418
mark,-1,84255944,14566
mark,-1,86181212,42588
mark,-1,88063166,51451
mark,-1,89951633,31499
mark,-1,91854743,59192
mark,-1,93706126,47935
mark,-1,95569343,42178
mark,-1,97458208,22685
mark,-1,99377906,35356
mark,-1,101265720,45056
mark,-1,103127318,23391
mark,-1,105002686,14421
mark,-1,106927432,22935
mark,-1,108812730,11458
mark,-1,110715751,33156
mark,-1,112614659,22483
mark,-1,114525153,20478
mark,-1,116440527,25855
mark,-1,118342359,58754
mark,-1,120202132,46733
mark,-1,122058643,24569
mark,-1,123935978,13836
mark,-1,125862186,31654
mark,-1,127746648,42383
mark,-1,129647025,47245
mark,-1,131512624,24421
mark,-1,133389290,14133
mark,-1,135318951,23306
mark,-1,137206128,12135
mark,-1,139112740,34271
mark,-1,141010580,22843
mark,-1,142909133,21659
mark,-1,144821292,27177
mark,-1,146723442,57653
mark,-1,148579775,43905
mark,-1,150435773,23425
mark,-1,152313753,13828
mark,-1,154240469,30626
mark,-1,156131764,40395
mark,-1,158020222,44550
mark,-1,159886011,23197
mark,-1,161755285,13273
mark,-1,163686251,22613
mark,-1,165573415,11170
mark,-1,167479079,33165
mark,-1,169371139,21888
mark,-1,171274182,20376
mark,-1,173186405,26010
mark,-1,175087362,55870
mark,-1,176942561,43917
mark,-1,178795561,23429
mark,-1,180673286,13603
mark,-1,182600555,30213
mark,-1,184492509,39933
mark,-1,186380110,44670
mark,-1,188246827,23667
mark,-1,190116354,13315
mark,-1,192050087,22309
mark,-1,193930800,11200
mark,-1,195834542,35245
mark,-1,197729518,22364
mark,-1,199632865,20371
mark,-1,201546207,25799
mark,-1,203449635,59248
mark,-1,205307891,46718
mark,-1,207170130,24460
mark,-1,209047704,14161
mark,-1,210974723,31812
mark,-1,212868561,42059
mark,-1,214763570,47539
mark,-1,216631505,25711
mark,-1,218503193,14128
mark,-1,220436899,23195
mark,-1,222319791,11969
mark,-1,224229102,34535
mark,-1,226124171,22863
mark,-1,228027625,22019
mark,-1,229938935,27007
mark,-1,231839807,58613
mark,-1,233695836,43628
mark,-1,235550894,23164
mark,-1,237430229,13691
mark,-1,239355658,30297
mark,-1,241246778,40124
mark,-1,243139487,44710
mark,-1,245005816,23392
mark,-1,246878391,13588
mark,-1,248812502,22788
mark,-1,250695463,11380
mark,-1,252603767,33689
mark,-1,254500756,22190
mark,-1,256405436,20521
mark,-1,258315674,25749
mark,-1,260220506,55690
mark,-1,262072637,43969
mark,-1,263930445,23486
mark,-1,265802306,13439
mark,-1,267723891,30211
mark,-1,269609086,39638
mark,-1,271498605,44681
mark,-1,273366862,23954
mark,-1,275238359,13362
mark,-1,277171170,22444
mark,-1,279052609,11382
mark,-1,280961118,32918
mark,-1,282851017,22117
mark,-1,284757750,20240
mark,-1,286668287,25529
mark,-1,288567105,59704
mark,-1,290422726,46443
mark,-1,292284258,24604
mark,-1,294160810,14141
mark,-1,296089351,32088
mark,-1,297973415,41516
mark,-1,299869239,46973
mark,-1,301734248,24749
mark,-1,303605339,13910
mark,-1,305540904,23162
mark,-1,307422672,11612
mark,-1,309328772,35199
mark,-1,311223215,22658
mark,-1,313126066,21483
mark,-1,315035931,26787
mark,-1,316943529,56936
mark,-1,318796942,43567
mark,-1,320655195,22807
mark,-1,322530899,13324
mark,-1,324459965,30502
mark,-1,326343595,40242
mark,-1,328238844,44572
mark,-1,330101736,23340
mark,-1,331979732,13351
mark,-1,333913508,22723
mark,-1,335795623,11143
mark,-1,337702814,33807
mark,-1,339598006,21720
mark,-1,341506443,20366
mark,-1,343416436,25565
mark,-1,345322727,56355
mark,-1,347173791,44019
mark,-1,349032676,23039
mark,-1,350910715,13455
mark,-1,352840487,30122
mark,-1,354718208,39644
mark,-1,356610579,44844
mark,-1,358473461,23450
mark,-1,360350020,13475
mark,-1,362281524,22715
mark,-1,364167870,11230
mark,-1,366072387,32724
mark,-1,367970168,22314
mark,-1,369872136,20240
mark,-1,371782608,26140
mark,-1,373682143,58913
mark,-1,375536326,46478
mark,-1,377397225,25117
mark,-1,381317655,23954
