event_type,gc_thread,start_ns,time_ns
mark,-1,2185012,148374
mark,-1,5433449,162018
mark,-1,7499789,13652
sweep,-1,7546194,10566
mark,-1,9669002,121706
mark,-1,16220010,26761
mark,-1,20635060,136853
mark,-1,24915918,27059
sweep,-1,24976635,1930
mark,-1,29325945,160655
mark,-1,33620277,25493
mark,-1,38036484,163557
mark,-1,42348116,23328
mark,-1,46765544,140832
mark,-1,51046071,23174
mark,-1,55456212,150174
mark,-1,59740157,22558
mark,-1,64152162,161339
mark,-1,68456617,30233
mark,-1,72869739,160663
mark,-1,77174615,23172
mark,-1,81582857,156808
mark,-1,85875417,24006
mark,-1,90285605,153578
mark,-1,94575441,24310
mark,-1,98991144,159477
mark,-1,103285504,22201
mark,-1,107693280,152460
mark,-1,111995397,22640
mark,-1,116404336,158775
mark,-1,120700370,23060
mark,-1,125110335,163555
mark,-1,129410812,22729
mark,-1,133822138,147835
mark,-1,138108966,24125
mark,-1,142520626,135926
mark,-1,146802545,22061
mark,-1,151215279,159462
mark,-1,155513581,21695
mark,-1,159925937,145688
mark,-1,164205717,22084
mark,-1,168617135,165254
mark,-1,172918598,23583
mark,-1,177316568,143742
mark,-1,181595384,22158
mark,-1,185992678,143784
mark,-1,190274603,21678
mark,-1,194688736,163923
mark,-1,198986246,22720
mark,-1,203392941,162383
mark,-1,207700702,21615
mark,-1,212114951,162327
mark,-1,216428559,22716
mark,-1,220844873,163829
mark,-1,225157937,23428
mark,-1,229575559,151376
mark,-1,233870717,22309
mark,-1,238284895,155588
mark,-1,242581821,21588
mark,-1,246990303,164445
mark,-1,251305835,23171
mark,-1,255718490,161834
mark,-1,260026349,22150
mark,-1,264440342,156181
mark,-1,268733549,22410
mark,-1,273143917,162188
mark,-1,277452729,23426
mark,-1,281866593,146186
mark,-1,286155555,24470
mark,-1,290567770,147902
mark,-1,294867897,24048
mark,-1,299294190,139246
mark,-1,303592884,22939
mark,-1,308027953,150601
mark,-1,312334245,27261
mark,-1,316746484,146736
mark,-1,321036670,22662
mark,-1,325438149,144786
mark,-1,329740108,23251
mark,-1,334144329,147487
mark,-1,338431536,23531
mark,-1,342839704,151338
mark,-1,347122011,23006
mark,-1,351538540,137383
mark,-1,355826143,26981
mark,-1,360239954,144416
mark,-1,364516838,23331
mark,-1,368924980,150889
mark,-1,373220956,22326
mark,-1,377631662,147824
mark,-1,381916363,23114
mark,-1,386319663,137404
mark,-1,390598489,23266
mark,-1,395013392,128971
mark,-1,399288764,23473
mark,-1,403695010,143666
mark,-1,407986838,22419
mark,-1,412397248,141580
mark,-1,416677063,22661
mark,-1,421083398,139320
mark,-1,425359450,23586
mark,-1,429762860,141831
mark,-1,434042945,23389
mark,-1,438445144,140253
mark,-1,442729505,22552
mark,-1,447127789,146789
mark,-1,451416728,23072
mark,-1,455827873,141752
mark,-1,460104830,22111
mark,-1,464528405,157703
mark,-1,468830450,23312
mark,-1,473244515,146632
mark,-1,477531733,22845
mark,-1,481938748,153778
mark,-1,486254617,23770
mark,-1,490659696,155967
mark,-1,494954172,23674
mark,-1,499370732,141050
mark,-1,503651123,24151
mark,-1,508089978,139059
mark,-1,512375509,23091
mark,-1,516774237,152984
mark,-1,521065119,23837
mark,-1,525474272,146462
mark,-1,529763424,23435
mark,-1,534173293,134940
mark,-1,538446094,23018
mark,-1,542852926,135182
mark,-1,547127488,24473
mark,-1,551548397,144514
mark,-1,555831888,26767
mark,-1,560236518,153952
mark,-1,564543920,23538
mark,-1,568947117,147547
mark,-1,573248217,23877
mark,-1,577666714,143525
mark,-1,581950505,23641
mark,-1,586358623,146301
mark,-1,590647468,23368
mark,-1,595047309,135464
mark,-1,599332174,22745
mark,-1,603746714,149353
mark,-1,608034898,23659
mark,-1,612441362,148607
mark,-1,616727755,22316
mark,-1,621141856,133658
mark,-1,625422430,23551
mark,-1,629825659,157227
mark,-1,634115887,23759
mark,-1,638529512,163537
mark,-1,642837031,22520
mark,-1,647263612,166575
mark,-1,651580148,23197
mark,-1,655992378,156921
mark,-1,660278259,21263
mark,-1,664685068,156391
mark,-1,668978352,22719
mark,-1,673401757,156708
mark,-1,677696441,23475
mark,-1,682107855,164999
mark,-1,686422722,22135
mark,-1,690834164,133952
mark,-1,695122046,22846
mark,-1,699534856,161159
mark,-1,703840556,25569
mark,-1,708266831,158506
mark,-1,712562025,22627
mark,-1,716982446,150712
mark,-1,721280256,23004
mark,-1,725691864,143469
mark,-1,729970369,23583
mark,-1,734387360,164877
mark,-1,738680540,22447
mark,-1,743095874,155385
mark,-1,747389636,23506
mark,-1,751812531,160953
mark,-1,756117394,22821
mark,-1,760519894,140169
mark,-1,764798899,21859
mark,-1,769207963,166226
mark,-1,773510627,22172
mark,-1,777922750,148690
mark,-1,782205466,22993
mark,-1,786618746,146334
mark,-1,790905917,23482
mark,-1,795319764,157883
mark,-1,799617623,22058
mark,-1,804027042,132068
mark,-1,808307224,22199
mark,-1,812715281,133001
mark,-1,816988004,22903
mark,-1,821401062,149014
mark,-1,825690217,21836
mark,-1,830100233,157604
mark,-1,834402593,22091
mark,-1,838821900,160934
mark,-1,843118351,23357
mark,-1,847532172,162829
mark,-1,851827365,26325
mark,-1,856239607,166087
mark,-1,860544371,23019
mark,-1,864953630,158257
mark,-1,869256879,23005
mark,-1,873675226,151891
mark,-1,877980456,23072
mark,-1,882389407,164224
mark,-1,886700462,23170
mark,-1,891110971,151327
mark,-1,895412236,22648
mark,-1,899820106,167088
mark,-1,904135537,22124
mark,-1,908540541,160059
mark,-1,912847329,23053
mark,-1,917264248,151012
mark,-1,921566024,21947
mark,-1,925976763,143696
mark,-1,930269798,22594
mark,-1,934683381,157800
mark,-1,938973541,23406
mark,-1,943387291,160995
mark,-1,947683397,22417
mark,-1,952104131,153754
mark,-1,956400887,22321
mark,-1,960810392,157759
mark,-1,965105795,22337
mark,-1,969526276,146986
mark,-1,973803757,23027
mark,-1,978216109,153500
mark,-1,982515212,22444
mark,-1,986920501,147815
mark,-1,991213545,22684
mark,-1,995628535,143818
mark,-1,999915293,21120
mark,-1,1004332690,174879
mark,-1,1008656235,22469
mark,-1,1013073316,163154
mark,-1,1017377193,22403
mark,-1,1021791714,162068
mark,-1,1026093046,22661
mark,-1,1030507341,146398
mark,-1,1034805741,22160
mark,-1,1039213280,161595
mark,-1,1043521987,21896
mark,-1,1047945714,159576
mark,-1,1052241478,22094
mark,-1,1056648759,157823
mark,-1,1060954736,21327
mark,-1,1065359945,133011
mark,-1,1069640675,25889
mark,-1,1074052755,147021
mark,-1,1078345907,22484
mark,-1,1082758903,162620
mark,-1,1087051162,22512
mark,-1,1091471503,168344
mark,-1,1095772826,23267
mark,-1,1100195729,147498
mark,-1,1104485012,22165
mark,-1,1108909895,144276
mark,-1,1113195668,22509
mark,-1,1117603570,162240
mark,-1,1121900602,23103
mark,-1,1126311060,148527
mark,-1,1130598310,22868
mark,-1,1135022044,140704
mark,-1,1139297698,24091
mark,-1,1143716926,162878
mark,-1,1148024081,21847
mark,-1,1152428721,166964
mark,-1,1156731045,22476
mark,-1,1161156371,147293
mark,-1,1165436270,23022
mark,-1,1169841548,161575
mark,-1,1174137146,22750
mark,-1,1178553017,156492
mark,-1,1182850905,23174
mark,-1,1187261204,161585
mark,-1,1191551338,21848
mark,-1,1195965565,133114
mark,-1,1200244897,22015
mark,-1,1204657431,158340
mark,-1,1208948524,21930
mark,-1,1213353158,161483
mark,-1,1217659356,22417
mark,-1,1222071696,171685
mark,-1,1226385615,21643
mark,-1,1230793829,160063
mark,-1,1235097341,22402
mark,-1,1239519348,142637
mark,-1,1243801709,21582
mark,-1,1248213178,150299
mark,-1,1252508949,21592
mark,-1,1256927118,151228
mark,-1,1261220260,21910
mark,-1,1265623900,161273
mark,-1,1269931695,21554
mark,-1,1274349556,156340
mark,-1,1278643165,23191
mark,-1,1283056778,157826
mark,-1,1287361240,25418
mark,-1,1291783227,166498
mark,-1,1296082234,21784
mark,-1,1300499516,170017
mark,-1,1304816242,23102
mark,-1,1309224186,162996
mark,-1,1313526291,22662
mark,-1,1317943336,158987
mark,-1,1322247921,22717
mark,-1,1326658314,154944
mark,-1,1330955604,22162
mark,-1,1335373565,163004
mark,-1,1339673174,22284
mark,-1,1344101110,142763
mark,-1,1348386344,22643
mark,-1,1352804669,164342
mark,-1,1357124247,21595
mark,-1,1361535845,166631
mark,-1,1365842911,22810
mark,-1,1370258287,158215
mark,-1,1374554215,21240
mark,-1,1378961035,156455
mark,-1,1383242836,22302
mark,-1,1387652867,161034
mark,-1,1391952926,21987
mark,-1,1396367744,150225
mark,-1,1400661209,21928
mark,-1,1405073322,156068
mark,-1,1409362896,22609
mark,-1,1413777286,163023
mark,-1,1418080738,22830
mark,-1,1422495828,144638
mark,-1,1426784317,22510
mark,-1,1431195153,166456
mark,-1,1435511473,22817
mark,-1,1439932686,155986
mark,-1,1444237038,22736
mark,-1,1448650184,155787
mark,-1,1452944129,21712
mark,-1,1457363161,141676
mark,-1,1461646603,21831
mark,-1,1466067822,163596
mark,-1,1470369288,22652
mark,-1,1474777268,150940
mark,-1,1479064746,21568
mark,-1,1483486422,156007
mark,-1,1487794902,22828
mark,-1,1492215587,157479
mark,-1,1496511599,22096
mark,-1,1500919866,149169
mark,-1,1505211659,22344
mark,-1,1509620746,152236
mark,-1,1513926117,22124
mark,-1,1518347817,156384
mark,-1,1522641978,21556
mark,-1,1527056092,138353
mark,-1,1531335249,22638
mark,-1,1535743998,155248
mark,-1,1540036163,22395
mark,-1,1544447427,164477
mark,-1,1548753394,22256
mark,-1,1553181792,158041
mark,-1,1557473986,22949
mark,-1,1561899579,152032
mark,-1,1566185148,22687
mark,-1,1570591848,168889
mark,-1,1574898665,22591
mark,-1,1579311692,163172
mark,-1,1583616845,22871
mark,-1,1588032075,150320
mark,-1,1592317210,22291
mark,-1,1596732939,150257
mark,-1,1601023017,21923
mark,-1,1605437509,162602
mark,-1,1609732843,23337
mark,-1,1614144673,141102
mark,-1,1618444963,26286
mark,-1,1622866231,153191
mark,-1,1627159425,22678
mark,-1,1631571091,150838
mark,-1,1635866953,21894
mark,-1,1640275717,162383
mark,-1,1644579512,21444
mark,-1,1648996614,149300
mark,-1,1653278583,22682
mark,-1,1657689681,157300
mark,-1,1661992041,21768
mark,-1,1666401517,158666
mark,-1,1670710327,23468
mark,-1,1675133620,162012
mark,-1,1679434403,22377
mark,-1,1683847418,145220
mark,-1,1688128149,23044
mark,-1,1692542140,156513
mark,-1,1696837342,22298
mark,-1,1701255346,151883
mark,-1,1705541986,22968
mark,-1,1709957403,161180
mark,-1,1714260238,22718
mark,-1,1718670567,164021
mark,-1,1722987118,22930
mark,-1,1727394374,151823
mark,-1,1731701028,23121
mark,-1,1736116004,163658
mark,-1,1740421298,21881
mark,-1,1744833612,156212
mark,-1,1749144023,24900
mark,-1,1753573230,160155
mark,-1,1757874931,22231
mark,-1,1762296290,168942
mark,-1,1766609993,22626
mark,-1,1771022161,161430
mark,-1,1775329329,21569
mark,-1,1779732848,170944
mark,-1,1784061186,21912
mark,-1,1788486999,137517
mark,-1,1792768828,22638
mark,-1,1797182883,159698
mark,-1,1801476774,22974
mark,-1,1805887970,168075
mark,-1,1810193276,22195
mark,-1,1814600982,152089
mark,-1,1818891935,22372
mark,-1,1823301072,162518
mark,-1,1827608647,25003
mark,-1,1832034903,168737
mark,-1,1836341955,22675
mark,-1,1840762257,160553
mark,-1,1845062641,23232
mark,-1,1849483589,154144
mark,-1,1853774890,22793
mark,-1,1858189527,162497
mark,-1,1862500334,22319
mark,-1,1866907852,138095
mark,-1,1871192448,22674
mark,-1,1875602273,157776
mark,-1,1879908117,22362
mark,-1,1884320079,159684
mark,-1,1888619613,22861
mark,-1,1893029703,157720
mark,-1,1897339863,25296
mark,-1,1901763464,164032
mark,-1,1906065715,23648
mark,-1,1910485341,161509
mark,-1,1914780583,22954
mark,-1,1919207295,153323
mark,-1,1923495943,22996
mark,-1,1927921411,170730
mark,-1,1932228761,22446
mark,-1,1936639957,158276
mark,-1,1940943374,22715
mark,-1,1945357917,150485
mark,-1,1949649784,22203
mark,-1,1954065773,163821
mark,-1,1958362790,21907
mark,-1,1962787864,143015
mark,-1,1967070182,22679
mark,-1,1971488700,159286
mark,-1,1975798545,23147
mark,-1,1980209090,161314
mark,-1,1984509062,22680
mark,-1,1988922616,140700
mark,-1,1993199058,23004
mark,-1,1997619532,164196
mark,-1,2001919016,23558
mark,-1,2006344948,163811
mark,-1,2010644780,22715
mark,-1,2015055080,160958
mark,-1,2019356561,23267
mark,-1,2023771767,163881
mark,-1,2028068249,22046
mark,-1,2032479652,162043
mark,-1,2036777813,22903
mark,-1,2041192642,153510
mark,-1,2045489254,22618
mark,-1,2049892369,143180
mark,-1,2054171532,22170
mark,-1,2058579340,162290
mark,-1,2062887426,21815
mark,-1,2067298776,157455
mark,-1,2071594377,22453
mark,-1,2076012508,157792
mark,-1,2080324613,24359
mark,-1,2084729095,137488
mark,-1,2089007994,22319
mark,-1,2093422361,165728
mark,-1,2097726038,23532
mark,-1,2102135482,160745
mark,-1,2106438727,22230
mark,-1,2110852204,147653
mark,-1,2115144178,22078
mark,-1,2119549852,161465
mark,-1,2123840253,25594
mark,-1,2128257186,146687
mark,-1,2132542915,21293
mark,-1,2136955252,137709
mark,-1,2141241838,22790
mark,-1,2145654101,163899
mark,-1,2149956625,23064
mark,-1,2154362800,148041
mark,-1,2158657858,23094
mark,-1,2163072505,157805
mark,-1,2167363614,22764
mark,-1,2171772486,160608
mark,-1,2176073031,22366
mark,-1,2180483168,156406
mark,-1,2184781389,22079
mark,-1,2189188049,162952
mark,-1,2193490521,22114
mark,-1,2197896098,151246
mark,-1,2202174856,22753
mark,-1,2206582187,150434
mark,-1,2210867146,22501
mark,-1,2215274689,151597
mark,-1,2219551763,22180
mark,-1,2223967817,162582
mark,-1,2228275342,22125
mark,-1,2232695824,165578
mark,-1,2237000706,23374
mark,-1,2241417939,157404
mark,-1,2245723598,23083
mark,-1,2250135750,147261
mark,-1,2254424388,22887
mark,-1,2258842381,152070
mark,-1,2263146884,23559
mark,-1,2267557054,144489
mark,-1,2271846972,25318
mark,-1,2276268906,163593
