event_type,gc_thread,start_ns,time_ns
mark,-1,2204795,18595
mark,-1,3389665,11226
mark,-1,4509940,9343
mark,-1,5643343,8948
mark,-1,6766360,7712
mark,-1,7894535,7186
mark,-1,9032233,7145
mark,-1,10162641,7501
mark,-1,11281613,6625
mark,-1,12402169,6472
mark,-1,13523460,7227
mark,-1,14641564,6752
mark,-1,15775232,6407
mark,-1,16887196,6426
mark,-1,18022711,6531
mark,-1,19142492,6663
mark,-1,20260987,6785
mark,-1,21404756,7617
mark,-1,22529483,6992
mark,-1,23658338,6576
mark,-1,24788418,6512
mark,-1,25914695,6948
mark,-1,27054960,6359
mark,-1,28171806,6249
mark,-1,29288578,6233
mark,-1,30413225,6695
sweep,-1,30462482,3299
mark,-1,31530444,6321
mark,-1,32663760,6412
mark,-1,33811634,6651
mark,-1,34935035,6428
mark,-1,36081745,6514
mark,-1,37206230,6697
mark,-1,38327530,6750
mark,-1,39443622,6418
mark,-1,40586267,6802
mark,-1,41726153,6877
mark,-1,42866946,6550
mark,-1,43981614,6672
mark,-1,45126935,6361
mark,-1,46267400,6872
mark,-1,47409912,6170
mark,-1,48534306,6331
mark,-1,49667748,6543
mark,-1,50801468,6397
mark,-1,51926869,6539
mark,-1,53056383,6487
mark,-1,54180717,6675
mark,-1,55314225,6181
mark,-1,56436651,6350
mark,-1,57573397,6382
mark,-1,58698005,6150
mark,-1,59824638,6625
mark,-1,60940079,6418
mark,-1,62069759,6655
mark,-1,63192157,6447
mark,-1,64314636,6368
mark,-1,65435636,6405
mark,-1,66561155,6551
mark,-1,67678859,6239
mark,-1,68806453,6230
mark,-1,69941332,6558
mark,-1,71059462,6335
mark,-1,72180123,6338
mark,-1,73304009,6191
mark,-1,74425204,6683
mark,-1,75542167,6348
mark,-1,76669542,6223
mark,-1,77805218,6808
mark,-1,78920156,6081
mark,-1,80046248,6191
mark,-1,81180842,6352
mark,-1,82300735,6520
mark,-1,83435956,6399
mark,-1,84562129,6459
mark,-1,85688843,6461
mark,-1,86819155,6453
mark,-1,87965594,6227
mark,-1,89103456,6087
mark,-1,90232553,6578
mark,-1,91372664,6316
mark,-1,92507997,6246
mark,-1,93646030,6536
mark,-1,94789772,6091
mark,-1,95912619,6332
mark,-1,97035686,6233
mark,-1,98165545,6304
mark,-1,99295345,6193
mark,-1,100419774,6151
mark,-1,101569082,6285
mark,-1,102711952,6133
mark,-1,103850833,6053
sweep,-1,103894119,1386
mark,-1,104988821,6327
mark,-1,106127263,6414
mark,-1,107266138,6096
mark,-1,108409657,6084
mark,-1,109553073,6050
mark,-1,110681980,6109
mark,-1,111820464,5981
mark,-1,112954634,6157
mark,-1,114078271,6291
mark,-1,115222589,6086
mark,-1,116350718,6168
mark,-1,117487487,6194
mark,-1,118617481,6310
mark,-1,119738151,6063
mark,-1,120858308,6173
mark,-1,121981012,6327
mark,-1,123110651,6238
mark,-1,124241082,6021
mark,-1,125380024,6449
mark,-1,126514657,6258
mark,-1,127645615,6163
mark,-1,128768921,6145
mark,-1,129902929,6370
mark,-1,131021805,6074
mark,-1,132138724,6205
mark,-1,133262139,5908
mark,-1,134387678,6377
mark,-1,135508334,6138
mark,-1,136641891,6044
mark,-1,137761612,6227
mark,-1,138890157,6330
mark,-1,140006592,5861
mark,-1,141135132,7683
mark,-1,142270302,6525
mark,-1,143399331,6034
mark,-1,144531515,6013
mark,-1,145657482,6456
mark,-1,146770581,6006
mark,-1,147890812,6419
sweep,-1,147940962,3197
mark,-1,149016123,6319
mark,-1,150149163,6682
mark,-1,151281087,6275
sweep,-1,151324990,1609
mark,-1,152404626,6398
mark,-1,153542054,6229
mark,-1,154673031,6320
mark,-1,155810939,6114
mark,-1,156939945,6232
mark,-1,158065793,6582
mark,-1,159196164,6254
mark,-1,160316392,7360
mark,-1,161445948,6458
mark,-1,162565035,6422
mark,-1,163700111,6359
mark,-1,164814847,6129
mark,-1,165955382,6230
mark,-1,167084458,6338
mark,-1,168213092,6155
mark,-1,169334350,6260
mark,-1,170470291,6635
sweep,-1,170519748,1818
mark,-1,171603486,6260
mark,-1,172731926,6340
mark,-1,173859289,6159
sweep,-1,173903068,1661
mark,-1,174992307,6167
mark,-1,176128346,6302
mark,-1,177269096,6278
mark,-1,178403729,6262
mark,-1,179528402,6345
mark,-1,180649769,6265
mark,-1,181783728,6491
mark,-1,182914095,6257
mark,-1,184043558,6210
mark,-1,185173628,5978
mark,-1,186293744,6225
mark,-1,187407303,6216
mark,-1,188519552,6147
mark,-1,189637314,6349
mark,-1,190763338,6117
mark,-1,191884454,6177
mark,-1,193009732,6175
mark,-1,194139224,6406
mark,-1,195265699,6222
mark,-1,196404102,6181
mark,-1,197532098,6307
mark,-1,198657486,6339
mark,-1,199787166,6310
mark,-1,200906785,6070
mark,-1,202024548,6187
mark,-1,203145461,6147
mark,-1,204266469,6287
mark,-1,205390654,6100
mark,-1,206507515,6118
mark,-1,207633095,6279
mark,-1,208762137,6193
mark,-1,209885711,6488
mark,-1,211015070,6085
mark,-1,212142137,6203
mark,-1,213263501,6087
mark,-1,214389725,6261
mark,-1,215515848,6226
mark,-1,216641009,6065
mark,-1,217768117,6802
mark,-1,218890024,6416
mark,-1,220019863,6316
mark,-1,221142492,6480
mark,-1,222281739,6533
mark,-1,223406661,6167
mark,-1,224522618,6318
mark,-1,225658271,6394
mark,-1,226783786,6194
mark,-1,227909524,6191
mark,-1,229031859,6449
mark,-1,230149897,6456
mark,-1,231280717,6098
mark,-1,232410960,6233
mark,-1,233536430,6482
mark,-1,234653575,6329
mark,-1,235770440,6264
mark,-1,236883057,7053
mark,-1,238002827,6801
mark,-1,239115720,6369
mark,-1,240228148,6114
mark,-1,241347138,6133
mark,-1,242475120,6457
mark,-1,243605026,6028
mark,-1,244731043,6444
mark,-1,245857691,6283
mark,-1,246976725,6077
mark,-1,248101676,6194
mark,-1,249226582,6221
mark,-1,250350976,6392
mark,-1,251478304,6061
mark,-1,252607531,6157
mark,-1,253744059,6299
mark,-1,254863403,6055
mark,-1,255980447,6030
mark,-1,257108069,6112
mark,-1,258240020,6380
mark,-1,259364658,6286
mark,-1,260494585,6386
mark,-1,261624258,6155
mark,-1,262740253,5890
mark,-1,263862519,6213
mark,-1,264987315,5905
mark,-1,266105013,6184
mark,-1,267225893,6214
mark,-1,268353015,6183
mark,-1,269478954,6058
mark,-1,270597295,5990
mark,-1,271723001,6128
mark,-1,272842286,5976
mark,-1,273971728,6471
mark,-1,275093382,5976
mark,-1,276223203,6070
mark,-1,277342533,5993
mark,-1,278476990,6562
mark,-1,279600463,6120
mark,-1,280723351,6070
mark,-1,281843556,6246
mark,-1,282959846,6120
mark,-1,284083320,6044
mark,-1,285213615,5994
sweep,-1,285256768,1691
mark,-1,286331634,6169
mark,-1,287463277,5970
mark,-1,288608484,6111
mark,-1,289740934,6066
mark,-1,290865970,6281
mark,-1,291995610,6238
mark,-1,293131640,6386
mark,-1,294251725,6798
mark,-1,295386618,6302
mark,-1,296524958,6325
mark,-1,297649161,6228
mark,-1,298780452,6105
mark,-1,299909490,6114
mark,-1,301028092,5930
mark,-1,302157701,6329
mark,-1,303284458,6135
mark,-1,304432330,6341
mark,-1,305570929,6183
mark,-1,306688194,6015
mark,-1,307812640,6206
mark,-1,308952119,6107
mark,-1,310087502,6420
mark,-1,311202667,6409
mark,-1,312334128,6297
mark,-1,313461388,6897
mark,-1,314592837,6375
mark,-1,315719755,6074
mark,-1,316840591,6219
mark,-1,317959186,6585
