event_type,gc_thread,start_ns,time_ns
mark,-1,4142279,107267
mark,-1,7084852,92150
mark,-1,9966922,91925
mark,-1,12869662,93548
mark,-1,20427915,90363
mark,-1,26845551,90697
mark,-1,33131377,84075
mark,-1,39478376,88400
mark,-1,45858695,87983
mark,-1,52197312,86240
mark,-1,58542167,95420
mark,-1,64858464,89256
mark,-1,71236164,89678
mark,-1,77563145,91317
mark,-1,83904778,93887
mark,-1,90257263,90599
mark,-1,96630466,103919
mark,-1,103032681,89469
mark,-1,109363140,80595
mark,-1,115684114,91777
mark,-1,122079947,95464
mark,-1,128435571,85943
mark,-1,134780028,85697
mark,-1,141084650,88472
mark,-1,147458358,88303
mark,-1,153812523,88996
mark,-1,160162976,88682
mark,-1,166498581,95113
mark,-1,172842251,93331
mark,-1,179174720,93286
mark,-1,185522658,78260
mark,-1,191853263,86807
mark,-1,198193699,85631
mark,-1,204585259,85076
mark,-1,210959658,86204
mark,-1,217282968,93913
mark,-1,223633564,92112
mark,-1,229981874,89604
mark,-1,236362557,89178
mark,-1,242713746,88509
mark,-1,249052952,93995
mark,-1,255397906,94033
mark,-1,261751367,76214
mark,-1,268076460,87553
mark,-1,274423354,85828
mark,-1,280811217,87182
mark,-1,287186942,88946
mark,-1,293515775,95318
mark,-1,299884160,86209
mark,-1,306219962,86573
mark,-1,312559774,94058
mark,-1,318918993,95804
mark,-1,325277503,90825
mark,-1,331631898,90676
mark,-1,337967260,90984
mark,-1,344265889,84676
mark,-1,350617756,87217
mark,-1,357000629,87188
mark,-1,363388636,88512
mark,-1,369738486,88813
mark,-1,376060469,87710
mark,-1,382376606,87267
mark,-1,388744402,88549
mark,-1,395094890,88130
mark,-1,401448349,92071
mark,-1,407803949,89916
mark,-1,414157340,95078
mark,-1,420503973,90892
mark,-1,426803218,81541
mark,-1,433149789,89051
mark,-1,439539200,87440
mark,-1,445869383,86286
mark,-1,452229182,88214
mark,-1,458537786,98284
mark,-1,464883063,87080
mark,-1,471232625,90526
