event_type,gc_thread,start_ns,time_ns
mark,-1,1936369,18602
mark,-1,2823832,14130
mark,-1,3658344,10920
mark,-1,4483753,10539
mark,-1,5304617,10161
mark,-1,6130615,10042
mark,-1,6951460,9880
mark,-1,7776934,10183
mark,-1,8598579,10144
mark,-1,9419318,10178
mark,-1,10243360,10114
mark,-1,11061496,10040
mark,-1,11889190,10003
mark,-1,12707269,10102
mark,-1,13528172,10001
mark,-1,14350725,9654
mark,-1,15170517,10075
mark,-1,15994018,9982
mark,-1,16812569,9766
mark,-1,17636581,10057
mark,-1,18454711,9821
mark,-1,19278235,10111
mark,-1,20107885,10337
mark,-1,20932077,9977
mark,-1,21750623,9628
mark,-1,22572011,9954
mark,-1,23396496,9903
mark,-1,24215676,9937
mark,-1,25038007,9914
mark,-1,25857121,10036
mark,-1,26681690,9788
mark,-1,27504613,10006
mark,-1,28326680,9999
mark,-1,29143447,9821
mark,-1,29963734,9897
mark,-1,30782308,9658
mark,-1,31603972,9849
mark,-1,32427192,9618
mark,-1,33243224,9726
mark,-1,34064501,9549
mark,-1,34882998,9547
mark,-1,35708795,9941
mark,-1,36527335,9663
mark,-1,37347423,9586
mark,-1,38168014,9705
mark,-1,38986198,9941
mark,-1,39813427,9745
mark,-1,40632226,10279
mark,-1,41456872,10091
mark,-1,42277758,10105
mark,-1,43097049,9780
mark,-1,43921893,9974
mark,-1,44744114,9740
mark,-1,45563281,9393
mark,-1,46382619,9945
mark,-1,47204894,9564
mark,-1,48027445,9681
mark,-1,48852618,9713
mark,-1,49670664,9549
mark,-1,50491140,10281
mark,-1,51311097,9619
mark,-1,52137040,10122
mark,-1,52959052,9916
mark,-1,53777947,9929
mark,-1,54601132,9686
mark,-1,55423308,10168
mark,-1,56246216,9594
mark,-1,57063532,9671
mark,-1,57883573,9610
mark,-1,58702951,9789
mark,-1,59526451,10005
mark,-1,60348649,9687
mark,-1,61167171,9805
mark,-1,61992878,9484
mark,-1,62807895,9379
mark,-1,63633285,10103
mark,-1,64453249,9659
mark,-1,65275983,10253
mark,-1,66096807,9916
mark,-1,66917147,10120
mark,-1,67744033,9786
mark,-1,68563817,9790
mark,-1,69387539,9922
mark,-1,70207554,9707
mark,-1,71029389,9753
mark,-1,71852547,10008
mark,-1,72672865,9538
mark,-1,73493089,9533
mark,-1,74312720,9561
mark,-1,75137360,9544
mark,-1,75958313,9768
mark,-1,76782567,9836
mark,-1,77602483,9525
mark,-1,78423834,9449
mark,-1,79242701,9370
mark,-1,80067382,9914
mark,-1,80890411,9850
mark,-1,81708853,9312
mark,-1,82531525,9767
mark,-1,83351153,10108
mark,-1,84178837,9922
mark,-1,85000437,9791
mark,-1,85819297,9448
mark,-1,86639467,9518
mark,-1,87463117,9937
mark,-1,88288535,9619
mark,-1,89107299,9791
mark,-1,89933253,9588
mark,-1,90752288,9408
mark,-1,91577134,10013
mark,-1,92395552,9792
mark,-1,93213549,9986
mark,-1,94031724,9985
mark,-1,94852838,9630
mark,-1,95679135,9474
mark,-1,96497639,9894
mark,-1,97320992,10011
mark,-1,98138832,10191
mark,-1,98963601,10303
mark,-1,99786892,9901
mark,-1,100606304,9516
mark,-1,101426484,9809
mark,-1,102246235,9850
mark,-1,103069364,9590
mark,-1,103893359,9817
mark,-1,104717876,9652
mark,-1,105536073,10008
mark,-1,106357606,10127
mark,-1,107178241,9566
mark,-1,108002869,9965
mark,-1,108825491,9786
mark,-1,109645134,10013
mark,-1,110468245,9716
mark,-1,111287964,9864
mark,-1,112115235,10237
mark,-1,112935734,9769
mark,-1,113757535,10029
mark,-1,114575785,9904
mark,-1,115397795,9592
mark,-1,116219774,9634
mark,-1,117038377,9742
mark,-1,117861785,10038
mark,-1,118677922,9674
mark,-1,119505167,9895
mark,-1,120327402,9636
mark,-1,121151305,10008
mark,-1,121971126,9720
mark,-1,122792911,9703
mark,-1,123619641,9210
mark,-1,124437580,9849
mark,-1,125261378,9444
mark,-1,126078023,9898
mark,-1,126900075,9803
mark,-1,127722814,9629
mark,-1,128541667,9931
mark,-1,129362528,10064
mark,-1,130184213,9833
mark,-1,131007760,9971
mark,-1,131828696,10120
mark,-1,132652865,10624
mark,-1,133470708,9940
mark,-1,134294177,9942
mark,-1,135116687,9934
mark,-1,135942447,9990
mark,-1,136763347,9965
mark,-1,137583575,10121
mark,-1,138406674,9713
mark,-1,139227195,10037
mark,-1,140054486,10288
mark,-1,140874878,9674
mark,-1,141697161,10413
mark,-1,142516248,9714
mark,-1,143338086,10013
mark,-1,144162917,9777
mark,-1,144983713,9972
mark,-1,145810642,9804
mark,-1,146630082,9922
mark,-1,147457948,9853
mark,-1,148277203,10068
mark,-1,149096306,9920
mark,-1,149915400,9618
mark,-1,150734367,9994
mark,-1,151559431,10278
mark,-1,152378305,10022
mark,-1,153203659,9571
mark,-1,154020035,9748
mark,-1,154843661,9899
mark,-1,155663944,9575
mark,-1,156483966,9598
mark,-1,157300708,8237
mark,-1,158119073,9989
mark,-1,158940049,10066
mark,-1,159763707,10238
mark,-1,160587598,9846
mark,-1,161406685,9948
mark,-1,162230942,10174
mark,-1,163051202,9557
mark,-1,163873675,10217
mark,-1,164692766,9607
mark,-1,165513998,9897
mark,-1,166336200,9556
mark,-1,167153823,9563
mark,-1,167982772,10015
mark,-1,168800815,9747
mark,-1,169623799,9950
mark,-1,170443521,9733
mark,-1,171262789,9669
mark,-1,172083623,9820
mark,-1,172902613,9613
mark,-1,173725238,9805
mark,-1,174544535,9653
mark,-1,175368989,13130
mark,-1,176189925,9690
mark,-1,177015172,10136
mark,-1,177834700,9540
mark,-1,178655136,9910
mark,-1,179476587,9678
mark,-1,180296839,9573
mark,-1,181118759,9586
mark,-1,181940058,9647
mark,-1,182764747,9533
mark,-1,183587372,9828
mark,-1,184410818,9585
mark,-1,185228783,9553
mark,-1,186048902,9484
mark,-1,186870214,9552
mark,-1,187691482,9653
mark,-1,188515967,10052
mark,-1,189336415,9929
mark,-1,190161003,9777
mark,-1,190979516,9291
mark,-1,191804263,9717
mark,-1,192620537,9611
mark,-1,193441078,9841
mark,-1,194259784,9664
mark,-1,195078932,9704
mark,-1,195905548,10036
mark,-1,196724569,10533
mark,-1,197548028,10054
mark,-1,198366942,9846
mark,-1,199188267,9925
mark,-1,200010635,10179
mark,-1,200831880,10008
mark,-1,201655346,9650
mark,-1,202472431,9341
mark,-1,203298408,9445
mark,-1,204120220,9984
mark,-1,204943551,10208
mark,-1,205762325,9466
mark,-1,206581864,9533
mark,-1,207405692,9390
mark,-1,208224586,9415
mark,-1,209046555,9804
mark,-1,209864516,9827
mark,-1,210687686,9354
mark,-1,211510324,9671
mark,-1,212331284,9660
mark,-1,213149048,9572
mark,-1,213970716,9644
mark,-1,214790103,9163
mark,-1,215612681,9397
mark,-1,216434810,9433
mark,-1,217252754,9853
mark,-1,218074886,9786
mark,-1,218894195,9662
mark,-1,219718849,9777
mark,-1,220536312,9262
mark,-1,221354084,9606
mark,-1,222176257,9468
mark,-1,222995926,9699
mark,-1,223820301,9507
mark,-1,224639193,9910
mark,-1,225462098,8049
sweep,-1,225497187,1429
sweep,-1,225517593,4451
sweep,-1,225529332,2951
sweep,-1,225538770,1372
sweep,-1,225546428,1576
sweep,-1,225648491,3711306
mark,-1,229999635,9904
mark,-1,230832834,9899
mark,-1,231654235,9812
mark,-1,232474270,10038
mark,-1,233293979,9480
mark,-1,234110677,9629
mark,-1,234932779,9680
mark,-1,235753374,9647
mark,-1,236575436,9901
mark,-1,237393980,9720
mark,-1,238216379,9830
mark,-1,239036514,9619
mark,-1,239861302,10209
mark,-1,240682928,9927
mark,-1,241501698,10203
mark,-1,242326417,9549
mark,-1,243143847,9769
mark,-1,243971946,10141
mark,-1,244792447,9954
mark,-1,245610420,9636
mark,-1,246430280,9597
mark,-1,247251487,9704
mark,-1,248078473,9719
mark,-1,248897638,10001
mark,-1,249721046,9937
mark,-1,250538765,9701
mark,-1,251362415,9823
mark,-1,252186149,9425
mark,-1,253005386,9388
mark,-1,253824927,9644
mark,-1,254645645,9687
mark,-1,255475278,9555
mark,-1,256294373,9952
mark,-1,257116856,9970
mark,-1,257934336,9873
mark,-1,258755952,9962
mark,-1,259579143,9694
mark,-1,260397271,9831
mark,-1,261217583,9554
mark,-1,262036715,9867
mark,-1,262860851,10109
mark,-1,263681565,9961
mark,-1,264505201,9646
mark,-1,265323436,9526
mark,-1,266146231,9503
mark,-1,266964416,9886
mark,-1,267789808,9686
mark,-1,268610825,9902
mark,-1,269431681,9979
mark,-1,270254910,10083
mark,-1,271074356,9869
mark,-1,271899978,9884
mark,-1,272719987,9675
mark,-1,273539872,9644
mark,-1,274358586,10070
mark,-1,275177818,9704
mark,-1,276003299,9696
mark,-1,276820834,9777
mark,-1,277644429,9853
mark,-1,278462488,9545
mark,-1,279284669,9550
mark,-1,280105856,9680
mark,-1,280926850,9570
mark,-1,281745036,9705
mark,-1,282567396,9931
mark,-1,283392136,9911
mark,-1,284210681,9646
mark,-1,285035661,9784
mark,-1,285854955,9900
mark,-1,286677094,9944
mark,-1,287498739,9704
mark,-1,288319017,9747
mark,-1,289138628,10014
mark,-1,289959626,9744
mark,-1,290782776,9763
mark,-1,291605016,10017
mark,-1,292428368,9917
mark,-1,293246818,9788
mark,-1,294068194,10005
mark,-1,294890208,9437
mark,-1,295713424,9615
mark,-1,296532569,9958
mark,-1,297352451,9820
mark,-1,298177384,9827
mark,-1,298998640,9713
mark,-1,299824967,9745
mark,-1,300646156,9979
mark,-1,301468615,9879
mark,-1,302287116,9868
mark,-1,303104926,9875
mark,-1,303928988,9809
mark,-1,304749010,10091
mark,-1,305570882,9897
mark,-1,306389504,9791
mark,-1,307213525,9727
mark,-1,308035815,9532
mark,-1,308855091,9589
mark,-1,309673094,9791
mark,-1,310494268,9418
mark,-1,311314510,9551
mark,-1,312136483,9798
mark,-1,312958862,9638
mark,-1,313777089,9497
mark,-1,314598694,9865
mark,-1,315421838,16792
mark,-1,316249205,9911
mark,-1,317066610,9636
mark,-1,317885714,9680
mark,-1,318705307,9659
mark,-1,319525062,9872
mark,-1,320346867,9536
mark,-1,321163868,9929
mark,-1,321985243,10036
mark,-1,322803924,9251
mark,-1,323628625,9678
mark,-1,324445924,9711
mark,-1,325264724,9782
mark,-1,326089710,9443
mark,-1,326904826,9924
mark,-1,327733492,9851
mark,-1,328550196,9895
mark,-1,329374796,10280
mark,-1,330205085,10024
mark,-1,331022651,9485
mark,-1,331845340,10078
mark,-1,332665127,9978
mark,-1,333486634,9789
mark,-1,334306324,9500
mark,-1,335128511,10168
