event_type,gc_thread,start_ns,time_ns
mark,-1,527749529,52559
mark,-1,782380747,120833
mark,-1,1036063553,98265
mark,-1,1290479940,59141
mark,-1,1544119843,44498
mark,-1,1801017856,60262
mark,-1,2055924067,95051
mark,-1,2309853581,135753
mark,-1,2564678623,53367
mark,-1,2822628001,63471
mark,-1,3076683645,72022
mark,-1,3332079745,46312
mark,-1,3587260751,77823
mark,-1,3848009586,46823
mark,-1,4103252054,59736
mark,-1,4357333356,47183
mark,-1,4611223377,62925
mark,-1,4866453139,42539
mark,-1,5120016792,82164
mark,-1,5373505070,78760
mark,-1,5627102124,60211
mark,-1,5882044622,199694
mark,-1,6138538977,59211
mark,-1,6392044266,58708
mark,-1,6646096743,49273
mark,-1,6899803290,114423
mark,-1,7153945249,71120
mark,-1,7409488011,110082
mark,-1,7663292301,47575
mark,-1,7917518396,59474
mark,-1,8171211398,140636
mark,-1,8426493711,49067
mark,-1,8680707364,44087
mark,-1,8938011192,46277
mark,-1,9192353135,35854
mark,-1,9446631495,125884
mark,-1,9700378151,32035
mark,-1,9954028058,70859
mark,-1,10207775720,105455
mark,-1,10461384827,38838
mark,-1,10716751539,66612
mark,-1,10972367209,48793
mark,-1,11228183600,59069
mark,-1,11482158405,82074
mark,-1,11736214996,59729
mark,-1,11989983729,49310
mark,-1,12243820024,71719
mark,-1,12498456442,98271
mark,-1,12753202256,68729
mark,-1,13006980522,63555
mark,-1,13264626237,98924
mark,-1,13518448561,61513
mark,-1,13773801199,58419
mark,-1,14028768709,135986
mark,-1,14282884156,118135
mark,-1,14541544826,43646
mark,-1,14795779079,61053
mark,-1,15051168708,133778
mark,-1,15305110159,100881
mark,-1,15558857646,147629
mark,-1,15812716480,49254
mark,-1,16066285171,127153
mark,-1,16322502651,119194
mark,-1,16576055072,67368
mark,-1,16831121174,32147
mark,-1,17084588817,60592
mark,-1,17338039476,65613
mark,-1,17592457102,34187
mark,-1,17848559099,45792
mark,-1,18103134758,48026
mark,-1,18357860019,59464
mark,-1,18611685180,47916
mark,-1,18866149556,67864
mark,-1,19119864412,68941
mark,-1,19375630360,44175
mark,-1,19629398667,106770
mark,-1,19882964657,92466
mark,-1,20136961492,67957
mark,-1,20390925286,79733
mark,-1,20649377890,62815
mark,-1,20903088849,59211
mark,-1,21157050297,144474
mark,-1,21412343310,67149
mark,-1,21666536493,34536
mark,-1,21922749765,114241
mark,-1,22179060538,37077
mark,-1,22433406500,121260
mark,-1,22691946009,73932
mark,-1,22945727698,48940
mark,-1,23202265653,44628
mark,-1,23456255708,124741
mark,-1,23712647521,67008
mark,-1,23967273044,129825
mark,-1,24220781134,50496
mark,-1,24477358310,48034
mark,-1,24731732107,42262
mark,-1,24989852253,59260
mark,-1,25244540067,60381
mark,-1,25498319595,100392
mark,-1,25753780748,45292
mark,-1,26010358566,145857
mark,-1,26267645292,59536
mark,-1,26521482465,86913
mark,-1,26778900227,109905
mark,-1,27032411452,50095
mark,-1,27286859368,73899
mark,-1,27541131095,104734
mark,-1,27798659419,42855
mark,-1,28052588368,60102
mark,-1,28306117050,150068
mark,-1,28560102787,58553
mark,-1,28813602410,36198
mark,-1,29067195599,61053
mark,-1,29321322521,89984
mark,-1,29575115268,140033
