event_type,gc_thread,start_ns,time_ns
mark,-1,360249048,103312
mark,-1,470153429,20438
mark,-1,579256185,25444
sweep,-1,579312964,2830
mark,-1,688390150,26198
mark,-1,797652937,25235
mark,-1,906889582,23898
mark,-1,1016043961,25191
mark,-1,1125170040,27660
mark,-1,1234364263,26399
mark,-1,1343521749,24681
mark,-1,1452800992,27151
mark,-1,1561921273,27681
mark,-1,1671049863,18290
sweep,-1,1671098273,2676
sweep,-1,1671105169,11876
mark,-1,1780100210,22604
mark,-1,1889314314,27955
mark,-1,1998582849,28097
mark,-1,2107889197,22045
mark,-1,2217112224,23044
mark,-1,2326300703,25080
mark,-1,2435588541,40719
mark,-1,2544972982,37285
mark,-1,2654205317,38046
mark,-1,2763388393,32908
mark,-1,2872486040,64842
mark,-1,2981681448,64138
mark,-1,3090926173,64448
mark,-1,3200103209,66160
mark,-1,3309386125,72591
mark,-1,3418595812,66089
mark,-1,3527726280,165443
mark,-1,3636938166,173619
mark,-1,3746353902,139457
mark,-1,3855930588,527084
mark,-1,3965607391,161853
mark,-1,4074878345,153576
mark,-1,4184055059,156641
mark,-1,4293351832,146353
mark,-1,4402712770,150593
mark,-1,4512409242,90712
mark,-1,4622087564,17494
mark,-1,4731165780,22157
mark,-1,4840342536,22935
mark,-1,4949672110,27542
mark,-1,5058840285,22314
mark,-1,5168009933,25229
mark,-1,5277202427,23743
mark,-1,5386334310,27818
mark,-1,5495581624,18162
mark,-1,5604911021,20674
mark,-1,5714116669,21513
mark,-1,5823251422,20511
mark,-1,5932303299,21074
mark,-1,6041553924,27220
mark,-1,6150805894,26686
mark,-1,6260449261,29563
mark,-1,6369584151,20792
mark,-1,6478629771,25350
mark,-1,6587719086,35483
mark,-1,6696937947,38721
mark,-1,6806135705,33161
mark,-1,6915381577,38747
mark,-1,7024465943,64825
mark,-1,7133582396,66966
mark,-1,7242835439,62405
mark,-1,7352120916,73566
mark,-1,7461326126,65965
mark,-1,7570395892,67519
mark,-1,7679461869,132137
mark,-1,7788631459,152031
mark,-1,7897981686,146042
mark,-1,8007252996,541444
mark,-1,8116731393,144463
mark,-1,8225785881,142432
mark,-1,8334983302,145984
mark,-1,8444293479,149478
mark,-1,8553596140,162030
mark,-1,8663420659,76349
mark,-1,8773040965,16513
sweep,-1,8773088230,2791
sweep,-1,8773094894,41319
mark,-1,8882146992,18967
mark,-1,8991330272,27962
mark,-1,9100601523,25723
mark,-1,9209898540,22445
mark,-1,9319204686,21099
mark,-1,9428238505,28998
mark,-1,9537420778,23599
mark,-1,9646459850,18389
mark,-1,9755693812,23367
mark,-1,9864886907,21754
mark,-1,9974006699,25354
mark,-1,10083098768,16493
mark,-1,10192295039,22894
mark,-1,10301579452,22633
mark,-1,10410754930,20752
mark,-1,10519915525,19014
mark,-1,10628988459,21259
mark,-1,10738140239,33255
mark,-1,10847407918,38080
mark,-1,10956630270,38006
mark,-1,11065994473,35896
mark,-1,11175168381,69652
mark,-1,11284483253,64185
mark,-1,11393627931,64607
mark,-1,11502836089,64471
mark,-1,11612034801,73729
mark,-1,11721147787,65587
mark,-1,11830286003,137725
mark,-1,11939497482,164493
mark,-1,12048741409,158780
mark,-1,12157945453,535797
mark,-1,12267539375,140788
mark,-1,12376752849,143023
mark,-1,12486032682,148668
mark,-1,12595332665,153340
mark,-1,12704562524,143608
mark,-1,12814306589,98707
mark,-1,12924011573,17217
mark,-1,13033305792,16037
mark,-1,13142298138,23701
mark,-1,13251601422,28448
mark,-1,13360924898,23172
mark,-1,13470184024,25389
mark,-1,13579343341,23085
mark,-1,13688593158,23290
mark,-1,13797783014,18089
mark,-1,13906979087,16318
mark,-1,14016134836,26997
mark,-1,14125369417,24702
mark,-1,14234410721,17015
mark,-1,14343651875,21390
mark,-1,14452960125,21351
mark,-1,14562401237,23707
mark,-1,14671685393,18612
mark,-1,14780891343,25608
mark,-1,14890012773,32778
mark,-1,14999240139,30964
mark,-1,15108448987,36018
mark,-1,15217614402,28551
mark,-1,15326781996,50767
mark,-1,15435980698,67259
mark,-1,15545184338,60966
mark,-1,15654565577,65701
mark,-1,15763745634,76411
mark,-1,15873050502,73019
mark,-1,15982317607,156265
mark,-1,16091718027,125850
mark,-1,16200981326,134556
mark,-1,16310312555,546179
mark,-1,16419780459,144696
mark,-1,16529041649,157019
mark,-1,16638378363,162397
mark,-1,16747686015,137459
mark,-1,16857033124,154431
mark,-1,16966737875,85593
mark,-1,17076256177,16526
mark,-1,17185362185,17150
mark,-1,17294430150,17263
mark,-1,17403734081,23961
mark,-1,17512911595,17769
mark,-1,17622101974,23922
mark,-1,17731368539,24482
mark,-1,17840737855,27046
mark,-1,17950040001,18061
mark,-1,18059346215,23066
mark,-1,18168523966,22452
mark,-1,18277692928,24831
mark,-1,18386759947,17674
mark,-1,18495981754,26204
mark,-1,18605298317,28805
mark,-1,18714541548,21496
mark,-1,18823680146,22730
mark,-1,18932816184,26029
mark,-1,19042012144,32033
mark,-1,19151570438,33036
mark,-1,19260800961,35733
mark,-1,19369987484,31515
mark,-1,19479083221,68148
mark,-1,19588294709,66690
mark,-1,19697549896,60843
mark,-1,19806829998,67940
mark,-1,19916053537,61478
mark,-1,20025253626,61859
mark,-1,20134431465,153174
mark,-1,20243709634,141597
mark,-1,20353039236,160110
mark,-1,20462433222,510011
mark,-1,20571947345,136129
mark,-1,20681270329,137545
mark,-1,20790720469,144940
mark,-1,20900013929,149513
mark,-1,21009413944,150130
mark,-1,21119143298,86775
mark,-1,21228689657,17065
mark,-1,21337723140,15932
mark,-1,21446813574,17732
sweep,-1,21446862053,2880
sweep,-1,21446869600,14040
mark,-1,21555963756,18316
mark,-1,21665179903,27550
mark,-1,21774253267,23077
mark,-1,21883239115,25009
mark,-1,21992287700,27935
mark,-1,22101415993,17113
mark,-1,22210695710,22786
mark,-1,22319800767,21909
mark,-1,22428999734,21860
mark,-1,22538177272,16366
mark,-1,22647534268,25795
mark,-1,22756890617,25541
mark,-1,22866122466,28140
mark,-1,22975280207,20451
mark,-1,23084420132,22090
mark,-1,23193485970,31407
mark,-1,23302653012,31666
mark,-1,23411861094,30439
mark,-1,23520994741,32896
mark,-1,23630208817,47395
mark,-1,23739444515,49801
mark,-1,23848596241,64699
mark,-1,23957899412,50511
mark,-1,24067143461,48539
mark,-1,24176250763,66654
mark,-1,24285386251,130383
mark,-1,24394548803,158110
mark,-1,24503884796,142445
mark,-1,24613133381,543678
mark,-1,24722680760,142338
mark,-1,24831879141,154886
mark,-1,24941031251,148141
mark,-1,25050281741,160471
mark,-1,25159634563,144498
mark,-1,25269323722,89600
mark,-1,25379001169,17322
mark,-1,25487943777,17471
mark,-1,25597094855,16931
mark,-1,25706281645,18298
mark,-1,25815575369,17229
mark,-1,25924738134,16543
mark,-1,26033815092,17467
mark,-1,26143011652,17397
mark,-1,26252175433,17245
mark,-1,26361410319,16197
mark,-1,26470625981,17418
mark,-1,26579690210,18464
sweep,-1,26579740845,2925
sweep,-1,26579747796,10418
mark,-1,26688832688,16666
mark,-1,26798172554,27141
mark,-1,26907574741,21964
mark,-1,27016701863,25947
mark,-1,27125898192,18599
mark,-1,27235009877,20431
mark,-1,27344280582,29408
mark,-1,27453493627,30499
mark,-1,27562779365,32133
mark,-1,27672117560,33034
mark,-1,27781426280,64717
mark,-1,27890616253,58239
mark,-1,27999925437,49675
mark,-1,28109126940,65915
mark,-1,28218444138,63053
mark,-1,28327764884,58523
mark,-1,28437084301,141050
mark,-1,28546306474,134647
mark,-1,28655691999,142848
mark,-1,28765069618,495694
mark,-1,28874633138,132871
mark,-1,28983833653,151950
mark,-1,29093079980,142330
mark,-1,29202461134,157023
mark,-1,29311769271,138718
mark,-1,29422371991,92556
mark,-1,29547350292,26089
mark,-1,29671723897,25149
mark,-1,29796119751,26890
mark,-1,29920546857,20379
mark,-1,30045029887,26547
mark,-1,30169412284,29290
mark,-1,30293644301,30221
mark,-1,30418012900,25866
mark,-1,30542495907,27040
mark,-1,30667032845,25629
mark,-1,30791450328,27618
mark,-1,30915688569,22848
mark,-1,31040031284,24443
mark,-1,31164426866,30086
mark,-1,31288937026,32268
mark,-1,31413445853,20574
mark,-1,31537725602,26587
mark,-1,31662021023,35491
mark,-1,31786485153,41641
mark,-1,31910939710,44174
mark,-1,32035452241,43787
mark,-1,32159702173,39360
mark,-1,32284050884,69389
mark,-1,32408395762,77844
mark,-1,32532874387,73744
mark,-1,32657352901,75627
mark,-1,32781718028,74756
mark,-1,32905974682,65487
mark,-1,33030401068,186792
mark,-1,33154861937,178600
mark,-1,33271735279,154447
mark,-1,33381038814,534809
mark,-1,33490435721,144183
mark,-1,33599692479,146947
mark,-1,33709021666,140797
mark,-1,33818285105,151108
mark,-1,33927649188,148299
mark,-1,34037342447,96579
mark,-1,34146946010,17268
mark,-1,34256023325,16823
mark,-1,34365240978,20647
