event_type,gc_thread,start_ns,time_ns
mark,-1,1914819238,794973
mark,-1,3591812148,796635
mark,-1,5269043555,751028
mark,-1,6943315605,505545
mark,-1,8618568485,504373
mark,-1,10297761644,467673
mark,-1,11971032743,515584
mark,-1,13647613750,508651
mark,-1,15320788172,489106
mark,-1,16994211417,496913
mark,-1,18668711470,652542
mark,-1,20343725584,604116
mark,-1,21998504622,586193
mark,-1,23647330720,597107
mark,-1,25296869964,573490
mark,-1,26970031756,628453
mark,-1,28647789231,578935
mark,-1,30323212600,616298
mark,-1,31997416777,612730
mark,-1,33669966986,555723
mark,-1,35350371879,569500
mark,-1,37023699508,605480
mark,-1,38696047034,597851
mark,-1,40367385980,583647
mark,-1,42038133514,579109
mark,-1,43712329574,580450
mark,-1,45384362222,603658
mark,-1,47050334617,576497
mark,-1,48727078051,593889
mark,-1,50400857130,602928
mark,-1,52076033886,567105
mark,-1,53749411138,627957
mark,-1,55423412373,609482
mark,-1,57101446677,593350
mark,-1,58778857395,557654
mark,-1,60451553388,611028
mark,-1,62123348045,619874
mark,-1,63794946456,587995
mark,-1,65467267678,582479
mark,-1,67141187505,584892
mark,-1,68804341094,574090
mark,-1,70475740124,609441
mark,-1,72146545016,596928
mark,-1,73820313251,579942
mark,-1,75495931213,586805
mark,-1,77166329738,596723
mark,-1,78839928811,603069
mark,-1,80515221181,607459
mark,-1,82188124622,563233
mark,-1,83863318098,609169
mark,-1,85538347633,589162
mark,-1,87211102090,597492
mark,-1,88884841532,588387
mark,-1,90557224024,579931
mark,-1,92233590218,587966
mark,-1,93907140184,582889
mark,-1,95584396314,588212
mark,-1,97255843684,623754
mark,-1,98921776833,569551
mark,-1,100590127525,586443
mark,-1,102261917622,583675
mark,-1,103933447506,623295
mark,-1,105608951214,606284
mark,-1,107284836473,598467
mark,-1,108961831482,606736
mark,-1,110635374452,599260
mark,-1,112308684581,610252
mark,-1,113978286401,602429
mark,-1,115655105423,598692
mark,-1,117331207447,579388
