event_type,gc_thread,start_ns,time_ns
mark,-1,3636591,61939
mark,-1,6029248,44722
mark,-1,8147933,75730
mark,-1,10177694,60191
mark,-1,11967747,37079
mark,-1,13479287,67064
mark,-1,15142619,43161
mark,-1,16657921,90778
mark,-1,20838208,65633
mark,-1,24457273,46397
mark,-1,28085819,46480
mark,-1,31540933,143114
mark,-1,35149797,102596
mark,-1,38567486,39598
mark,-1,42201491,65040
mark,-1,45730181,39612
mark,-1,49199454,65005
mark,-1,52893157,43648
mark,-1,56394937,48093
mark,-1,59760800,88674
mark,-1,63248974,69257
mark,-1,66739993,44343
mark,-1,70458114,87789
mark,-1,73905658,46329
mark,-1,77476779,33069
mark,-1,80947103,54801
mark,-1,84402971,60397
mark,-1,87826118,46415
mark,-1,91210641,81608
mark,-1,94726758,63046
mark,-1,98373377,45595
mark,-1,101815652,49042
mark,-1,105393360,94223
mark,-1,108875795,73323
mark,-1,112118419,36453
mark,-1,115678893,53072
mark,-1,119131063,51477
mark,-1,122720272,36036
mark,-1,126137608,59321
mark,-1,129636850,97438
mark,-1,133230597,65319
mark,-1,136587080,45012
mark,-1,139969992,34240
mark,-1,143437739,54629
mark,-1,146980130,51040
mark,-1,150676288,105879
mark,-1,154341376,59117
mark,-1,157963837,112744
mark,-1,161436282,92543
mark,-1,164860807,86517
mark,-1,168290465,53552
mark,-1,171684587,74730
mark,-1,175248146,33559
mark,-1,178779503,103110
mark,-1,182182295,68697
mark,-1,185821812,49843
mark,-1,189303262,78246
mark,-1,192559037,42363
mark,-1,196151290,54613
mark,-1,199651155,77466
mark,-1,203207226,31947
mark,-1,206640816,40156
mark,-1,210178878,64112
mark,-1,213725951,73359
mark,-1,217133830,51156
mark,-1,220561286,41932
mark,-1,223972874,60754
mark,-1,227445600,33639
mark,-1,231087539,58356
mark,-1,234524748,52654
mark,-1,238044918,119407
mark,-1,241540207,54537
mark,-1,244957532,42783
mark,-1,248509741,51699
mark,-1,251983840,81010
mark,-1,255580725,41148
mark,-1,259039997,43674
mark,-1,262522085,59367
mark,-1,266359958,68315
mark,-1,269888236,63545
mark,-1,273203669,41446
mark,-1,276691286,130161
mark,-1,280218541,184755
mark,-1,289499688,56855
mark,-1,297344118,89701
mark,-1,304902627,57428
mark,-1,312782960,35829
mark,-1,320338015,47712
mark,-1,327870748,46301
mark,-1,335101362,74409
mark,-1,342658583,74645
mark,-1,350039552,56747
mark,-1,357425924,52919
mark,-1,364867910,82820
mark,-1,372307717,52522
mark,-1,379912460,50429
mark,-1,387186942,91675
mark,-1,394516096,67452
mark,-1,401988183,96117
mark,-1,409453363,55020
mark,-1,416671546,54212
mark,-1,424125571,62776
mark,-1,431584332,64590
mark,-1,439041829,66621
mark,-1,446291740,96067
mark,-1,453901067,66891
mark,-1,461396856,84458
mark,-1,468663715,64240
mark,-1,476060977,96526
mark,-1,483490185,60252
mark,-1,490980627,75322
mark,-1,498240963,70904
mark,-1,505754517,52172
mark,-1,513179693,65232
mark,-1,520713013,103545
mark,-1,527894178,80421
mark,-1,535436321,65561
mark,-1,542959116,54704
mark,-1,550253328,61842
mark,-1,557614531,53650
mark,-1,565131822,76921
mark,-1,572713055,164456
mark,-1,579976238,57127
mark,-1,587339080,63870
mark,-1,594880691,95113
mark,-1,602303539,91938
mark,-1,609563100,64667
mark,-1,617060428,55764
mark,-1,624456404,82603
mark,-1,631846324,69602
mark,-1,639127590,50763
mark,-1,646651040,71376
mark,-1,654099966,64184
mark,-1,661320042,58774
mark,-1,668892123,81105
mark,-1,676339501,60419
mark,-1,683867749,57650
mark,-1,691119548,59792
mark,-1,698568245,76172
mark,-1,705880180,65452
mark,-1,713463510,70659
mark,-1,720674474,71176
mark,-1,728173851,59228
mark,-1,735647597,54547
mark,-1,742936907,57613
mark,-1,750260073,48992
mark,-1,757774366,74854
mark,-1,765378647,61525
mark,-1,772604295,92175
mark,-1,779990434,70824
mark,-1,787531360,48383
mark,-1,795009858,73674
mark,-1,802278814,66592
mark,-1,809889898,39110
mark,-1,817531281,65305
mark,-1,825095062,53574
mark,-1,832326560,82991
mark,-1,839843524,74518
mark,-1,847334723,51212
mark,-1,854601521,115693
mark,-1,862051440,106657
mark,-1,869572860,63257
mark,-1,877106623,59049
mark,-1,884404728,60085
mark,-1,891864394,134684
mark,-1,899223978,152607
mark,-1,906861712,78095
mark,-1,914051769,66869
mark,-1,921588521,72291
mark,-1,929021207,44994
mark,-1,936355653,57637
mark,-1,943658860,65048
mark,-1,951202221,41832
mark,-1,958753983,68059
mark,-1,966015090,125757
mark,-1,973392953,46924
mark,-1,980923051,64379
mark,-1,988423843,104921
mark,-1,995744436,71020
mark,-1,1003243226,61083
mark,-1,1010569753,90083
mark,-1,1017957078,71176
mark,-1,1025201985,48759
mark,-1,1032661478,70293
mark,-1,1040177040,65068
mark,-1,1047403049,55458
mark,-1,1054844821,107331
mark,-1,1062329681,56192
