event_type,gc_thread,start_ns,time_ns
mark,-1,3124071,270996
mark,-1,8038235,324499
mark,-1,16145025,155490
mark,-1,20077211,115468
mark,-1,23880652,70467
mark,-1,27618680,31993
mark,-1,31292781,254987
mark,-1,43177393,163049
mark,-1,50821347,116902
mark,-1,58444476,71668
mark,-1,65969322,29709
mark,-1,73454602,287420
mark,-1,81336874,159729
mark,-1,89000957,102074
mark,-1,96551970,69675
mark,-1,104121084,290045
mark,-1,111916656,188919
mark,-1,119568756,122180
mark,-1,127125931,73905
mark,-1,134646178,34669
mark,-1,142125539,258808
mark,-1,149908904,161510
mark,-1,157519200,132838
mark,-1,165088565,71398
mark,-1,172588060,269455
mark,-1,180339140,174829
mark,-1,187960359,130155
mark,-1,195524035,69741
mark,-1,203079392,25733
mark,-1,210530672,250462
mark,-1,218256779,162319
mark,-1,225876119,103182
mark,-1,233400999,62437
mark,-1,240901986,272929
mark,-1,248690212,195501
mark,-1,256326402,116269
mark,-1,263904357,73547
mark,-1,271391090,24074
mark,-1,278832386,258947
mark,-1,286571122,153957
mark,-1,294165479,101211
mark,-1,301749666,63330
mark,-1,309226448,286805
mark,-1,317008863,200085
mark,-1,324652303,117438
mark,-1,332180863,73345
mark,-1,339677568,24713
mark,-1,347159168,259549
mark,-1,354893068,169809
mark,-1,362507477,103907
mark,-1,370064267,69201
mark,-1,377553445,287680
mark,-1,385322640,195950
mark,-1,392993641,131639
mark,-1,400570711,72613
mark,-1,408054673,25844
mark,-1,415525622,260017
mark,-1,423257006,159443
mark,-1,430871095,106053
mark,-1,438614338,70663
mark,-1,446267969,283927
mark,-1,454022791,176796
mark,-1,461648163,120333
mark,-1,469192165,71843
mark,-1,476726229,24657
mark,-1,484173369,255815
mark,-1,491936873,157709
mark,-1,499557536,104573
mark,-1,507091564,67703
mark,-1,514567996,277466
mark,-1,522319572,178998
mark,-1,529962123,117078
mark,-1,537499798,94017
mark,-1,545056239,23907
mark,-1,552491166,259215
mark,-1,560232659,154465
mark,-1,567885536,106370
mark,-1,575430640,70552
mark,-1,582971435,278959
mark,-1,590769730,183895
mark,-1,598443065,129838
mark,-1,606001221,70282
mark,-1,613493203,25678
mark,-1,620962455,258757
mark,-1,628691220,155263
mark,-1,636283208,103137
mark,-1,643843692,68779
mark,-1,651329635,272322
mark,-1,659084029,174951
mark,-1,666699325,117372
mark,-1,674250110,71158
mark,-1,681750105,23925
mark,-1,689231341,262645
mark,-1,696986627,155851
mark,-1,704594126,104910
mark,-1,712118232,65165
mark,-1,719588321,274160
mark,-1,727344977,184908
mark,-1,735036502,118451
mark,-1,742657696,73733
mark,-1,750157855,26079
mark,-1,757619260,252009
mark,-1,765335651,153817
mark,-1,772945402,102302
mark,-1,780471651,61134
mark,-1,787976697,278964
mark,-1,795741050,179876
mark,-1,803361765,132173
mark,-1,810913168,71537
mark,-1,818404366,25323
mark,-1,825832957,259369
mark,-1,833614404,158078
mark,-1,841201266,104606
mark,-1,848717785,63740
mark,-1,856210272,274889
mark,-1,863975901,175227
mark,-1,871602577,127783
mark,-1,879163566,70957
mark,-1,886715697,24895
mark,-1,894146133,255662
mark,-1,901879913,155386
mark,-1,909456781,100325
mark,-1,916991320,68066
mark,-1,924475159,273286
mark,-1,932289549,185680
mark,-1,940085358,124880
mark,-1,947807634,68945
mark,-1,955456705,25887
mark,-1,962890993,267439
mark,-1,970676848,167824
mark,-1,978494577,108805
mark,-1,986153479,75322
mark,-1,993700627,286800
mark,-1,1001494452,208397
mark,-1,1009161637,125180
mark,-1,1016728155,81335
mark,-1,1024243806,34219
mark,-1,1031742201,249157
mark,-1,1039456211,159113
mark,-1,1047113312,105015
mark,-1,1054651987,67701
mark,-1,1062158225,278837
mark,-1,1069897953,172691
mark,-1,1077553580,121930
mark,-1,1085206106,70693
mark,-1,1092690234,23819
mark,-1,1100141543,246743
mark,-1,1107860634,155118
mark,-1,1115462734,103474
mark,-1,1122996112,63107
mark,-1,1130516463,281559
mark,-1,1138276206,191153
mark,-1,1145917229,117988
mark,-1,1153457000,71717
mark,-1,1160970926,25398
mark,-1,1168392583,253379
mark,-1,1176159295,153314
mark,-1,1183746391,102719
mark,-1,1191283945,65388
mark,-1,1198749517,270533
mark,-1,1206488957,183919
mark,-1,1214149199,119989
mark,-1,1221700716,74207
mark,-1,1229310350,25701
mark,-1,1236751298,257340
mark,-1,1244477561,154686
mark,-1,1252081641,103705
mark,-1,1259607662,71214
mark,-1,1267100796,272915
mark,-1,1274888434,175422
mark,-1,1282511682,116573
mark,-1,1290063590,78992
mark,-1,1297549792,29898
mark,-1,1304984134,264019
mark,-1,1312749753,155041
mark,-1,1320408601,104255
mark,-1,1327948085,70205
mark,-1,1335454403,282179
mark,-1,1343206510,184800
mark,-1,1350836053,134318
mark,-1,1358405620,72643
mark,-1,1365901775,26366
mark,-1,1373389374,276236
mark,-1,1381127068,154495
mark,-1,1388704301,99913
mark,-1,1396297659,94909
mark,-1,1403827377,274446
mark,-1,1411567090,177583
mark,-1,1419242185,127573
mark,-1,1426853621,69914
mark,-1,1434514029,24163
mark,-1,1442275933,275738
mark,-1,1450214723,157066
mark,-1,1458011606,107754
mark,-1,1465684639,63277
mark,-1,1473316422,294692
mark,-1,1481170158,178560
mark,-1,1488802325,129906
mark,-1,1496378897,69913
mark,-1,1503877283,24987
mark,-1,1511337977,256576
mark,-1,1519097585,157763
mark,-1,1526705435,105157
mark,-1,1534241188,70669
mark,-1,1541745832,279986
mark,-1,1549507413,214501
mark,-1,1557163887,121065
mark,-1,1564762306,70310
mark,-1,1572255617,25818
mark,-1,1579701173,260739
mark,-1,1587432812,154289
mark,-1,1595039656,101129
mark,-1,1602558923,70704
mark,-1,1610060780,275357
mark,-1,1617977744,195763
mark,-1,1625633354,129480
mark,-1,1633203245,71352
mark,-1,1640669456,25638
mark,-1,1648105599,249717
mark,-1,1655845873,154380
mark,-1,1663483198,103962
mark,-1,1671023966,70096
mark,-1,1678514989,273041
mark,-1,1686269656,181979
mark,-1,1693892052,129943
mark,-1,1701452778,71605
mark,-1,1708960108,25777
mark,-1,1716490764,254819
mark,-1,1724209687,152800
mark,-1,1731797323,103137
mark,-1,1739321144,61182
mark,-1,1746795870,269802
mark,-1,1754538257,181194
mark,-1,1762204360,115968
mark,-1,1769744915,68216
mark,-1,1777232794,25390
mark,-1,1784681589,257863
mark,-1,1792418917,155574
mark,-1,1800010865,102032
mark,-1,1807592407,66730
mark,-1,1815132192,274003
mark,-1,1822888838,172513
mark,-1,1830514467,118200
mark,-1,1838084700,72254
mark,-1,1845571618,25878
mark,-1,1853023195,256723
mark,-1,1860805935,156218
mark,-1,1868385903,105528
mark,-1,1875927363,69370
mark,-1,1883417943,277950
mark,-1,1891176475,183512
mark,-1,1898833440,130341
mark,-1,1906457823,67484
mark,-1,1913955147,25168
mark,-1,1921389546,282115
mark,-1,1929139662,157022
mark,-1,1936713535,104767
mark,-1,1944533268,69547
mark,-1,1952160698,285449
mark,-1,1959952951,181350
mark,-1,1967592586,119714
mark,-1,1975144782,70758
mark,-1,1982647051,25788
mark,-1,1990122120,255449
mark,-1,1997865236,152353
mark,-1,2005502456,126131
mark,-1,2013049749,67631
mark,-1,2020532835,277990
mark,-1,2028276932,185489
mark,-1,2035902272,132666
mark,-1,2043460553,72385
mark,-1,2050961591,25868
mark,-1,2058538384,276461
mark,-1,2066309247,158755
mark,-1,2073914481,104776
mark,-1,2081435557,69922
mark,-1,2089023879,275383
mark,-1,2096793852,180233
mark,-1,2104486537,118262
mark,-1,2112028884,71881
mark,-1,2119524401,25198
mark,-1,2126964140,257763
mark,-1,2134704816,154643
mark,-1,2142303716,104320
mark,-1,2149867416,66017
mark,-1,2157410592,296072
mark,-1,2165183525,177737
mark,-1,2172812843,118014
mark,-1,2180359619,70232
mark,-1,2187843016,25634
mark,-1,2195299125,254364
mark,-1,2203068944,157015
mark,-1,2210652713,108189
mark,-1,2218201230,69073
mark,-1,2225676857,279452
mark,-1,2233430800,204721
mark,-1,2241068889,120474
mark,-1,2248648867,72341
mark,-1,2256151104,26328
mark,-1,2263603257,255940
mark,-1,2271333008,156028
mark,-1,2278935139,105442
mark,-1,2286481492,69817
mark,-1,2293968539,275019
mark,-1,2301815980,174657
mark,-1,2309397190,136740
mark,-1,2316976815,72262
mark,-1,2324471754,26474
mark,-1,2331907997,250518
mark,-1,2339622477,156084
mark,-1,2347293685,102326
mark,-1,2354843610,70576
mark,-1,2362346313,270172
mark,-1,2370093205,182269
mark,-1,2377702537,117333
mark,-1,2385228702,72864
mark,-1,2392765561,25960
mark,-1,2400287843,250469
mark,-1,2408018784,154266
mark,-1,2415615569,100913
mark,-1,2423131610,63059
mark,-1,2430613216,271882
mark,-1,2438330337,178159
mark,-1,2446277036,131019
mark,-1,2453987125,82557
mark,-1,2461507447,25565
mark,-1,2469008184,264493
mark,-1,2476781004,156056
mark,-1,2484368122,102201
mark,-1,2491947304,66267
mark,-1,2499430069,269032
mark,-1,2507160213,194031
mark,-1,2514806284,118336
mark,-1,2522349988,70594
mark,-1,2529850595,25064
mark,-1,2537300535,256957
mark,-1,2545189848,155933
mark,-1,2552788761,102208
mark,-1,2560319704,62332
mark,-1,2567790747,272965
mark,-1,2575534909,181937
mark,-1,2583282752,117763
mark,-1,2590891321,70220
mark,-1,2598380179,25421
mark,-1,2605833083,253259
mark,-1,2613534170,178821
mark,-1,2621160577,103188
mark,-1,2628710189,70920
mark,-1,2636191810,312385
mark,-1,2643985759,181720
mark,-1,2651609315,116915
mark,-1,2659156764,69969
mark,-1,2666652924,25386
mark,-1,2674086908,263736
mark,-1,2681805814,157883
mark,-1,2689434413,106573
mark,-1,2696996932,67001
mark,-1,2704473801,274523
mark,-1,2712227616,180270
mark,-1,2719850390,121940
mark,-1,2727380745,69858
mark,-1,2734925629,24839
mark,-1,2742453238,255581
mark,-1,2750175537,156040
mark,-1,2757774898,104457
mark,-1,2765306390,68775
mark,-1,2772833032,276429
mark,-1,2780558382,186921
mark,-1,2788262695,121388
mark,-1,2795815632,72216
mark,-1,2803297624,24722
mark,-1,2810765424,252115
mark,-1,2818493351,154027
mark,-1,2826064627,100254
mark,-1,2833642701,67414
mark,-1,2841111650,275958
mark,-1,2848885657,174877
mark,-1,2856529873,114810
mark,-1,2864095527,70677
mark,-1,2871588157,26507
mark,-1,2879044969,255510
mark,-1,2886817304,157246
mark,-1,2894407060,107568
mark,-1,2901936285,65493
mark,-1,2909383796,301418
mark,-1,2917159977,183459
mark,-1,2924799144,121960
mark,-1,2932374273,69235
mark,-1,2940000821,34304
mark,-1,2947582153,264747
mark,-1,2955306413,172472
mark,-1,2962946006,112431
mark,-1,2970486455,77104
mark,-1,2978007559,273678
mark,-1,2985759812,180983
mark,-1,2993385416,119471
mark,-1,3000944455,69438
mark,-1,3008435964,24619
mark,-1,3015871767,256900
mark,-1,3023607560,157482
mark,-1,3031248839,105992
mark,-1,3038791360,68045
mark,-1,3046273309,277720
mark,-1,3054015160,173431
mark,-1,3061625137,131017
mark,-1,3069189578,74162
mark,-1,3076738238,25773
mark,-1,3084188917,269153
mark,-1,3092108665,174938
mark,-1,3099725692,104351
mark,-1,3107256059,61802
mark,-1,3114726178,285918
mark,-1,3122497363,182327
mark,-1,3130164283,134917
mark,-1,3137730386,73117
mark,-1,3145222379,26163
mark,-1,3152665969,267501
mark,-1,3160404178,154925
mark,-1,3168008809,104767
mark,-1,3175574111,65263
mark,-1,3183057485,279097
mark,-1,3190802920,186512
mark,-1,3198442648,119464
mark,-1,3205989123,73266
mark,-1,3213530135,25642
