event_type,gc_thread,start_ns,time_ns
mark,-1,2871083,30897
mark,-1,4631404,15942
mark,-1,6290646,13603
mark,-1,7973947,11608
mark,-1,9627296,12358
mark,-1,11279534,11829
mark,-1,12958270,11694
mark,-1,14614170,11862
mark,-1,16313785,11904
mark,-1,17969697,11184
mark,-1,19623647,11467
mark,-1,21283604,11143
mark,-1,22938920,11089
mark,-1,24618626,11962
mark,-1,26273290,11000
mark,-1,27934280,11135
mark,-1,29586878,14589
mark,-1,31242172,12094
mark,-1,32902021,11291
mark,-1,34557364,11174
mark,-1,36218507,11945
mark,-1,37873741,10719
mark,-1,39524771,10992
mark,-1,41284454,11865
mark,-1,42985543,11131
mark,-1,44664233,11252
mark,-1,46317824,10644
mark,-1,47975913,10692
mark,-1,49625900,11137
mark,-1,51273898,10321
mark,-1,52933098,11579
mark,-1,54590718,11110
mark,-1,56250579,10563
mark,-1,57898808,10872
mark,-1,59549028,10909
mark,-1,61209165,10595
mark,-1,62863563,11236
mark,-1,64522905,11090
mark,-1,66180244,10885
mark,-1,67828978,11469
mark,-1,69487637,11178
mark,-1,71139271,10905
mark,-1,72797607,11264
mark,-1,74454036,11037
mark,-1,76113973,11104
mark,-1,77769182,10903
mark,-1,79421576,11495
mark,-1,81078975,11085
mark,-1,82731487,10916
mark,-1,84391259,11192
mark,-1,86041930,10390
mark,-1,87691968,10735
mark,-1,89401758,10821
mark,-1,91054417,10711
mark,-1,92712732,11287
mark,-1,94366179,11059
mark,-1,96025303,11454
mark,-1,97678550,10851
mark,-1,99328784,10637
mark,-1,100987218,11009
mark,-1,102639739,11334
mark,-1,104297907,11002
mark,-1,105953577,11508
mark,-1,107610725,10997
mark,-1,109272046,10919
mark,-1,110924800,10277
mark,-1,112582694,10677
mark,-1,114231273,10746
mark,-1,115888944,11337
mark,-1,117541989,11220
mark,-1,119210800,12616
mark,-1,121036193,13151
mark,-1,122762887,11423
mark,-1,124490161,12262
mark,-1,126155344,19840
mark,-1,127827165,24919
mark,-1,129506869,19656
mark,-1,131175642,19070
mark,-1,132850595,19224
mark,-1,134523450,19081
mark,-1,136199412,19388
mark,-1,137910877,20071
mark,-1,139588628,20094
mark,-1,141262415,19123
mark,-1,142931476,19144
mark,-1,144608083,18671
mark,-1,146275480,19316
mark,-1,147954901,19229
mark,-1,149628756,19285
mark,-1,151301234,18904
mark,-1,152978428,19218
mark,-1,154649440,19079
mark,-1,156324610,19219
mark,-1,157995747,19526
mark,-1,159665736,19004
mark,-1,161339388,19493
mark,-1,163009726,18849
mark,-1,164686488,18637
mark,-1,166357334,18930
mark,-1,168033662,19203
mark,-1,169704291,19106
mark,-1,171379162,19059
mark,-1,173054115,19343
mark,-1,174725268,19593
mark,-1,176397402,19909
mark,-1,178068219,19722
mark,-1,179737675,19816
mark,-1,181414078,19543
mark,-1,183084901,18937
mark,-1,184761313,18848
mark,-1,186488385,10537
mark,-1,188193781,11826
mark,-1,189899205,11928
mark,-1,191554878,11064
mark,-1,193213986,11301
mark,-1,194869172,10950
mark,-1,196529963,10899
mark,-1,198180943,10724
mark,-1,199835300,16282
mark,-1,201494075,11044
mark,-1,203148885,12609
mark,-1,204809682,10696
mark,-1,206460935,10508
mark,-1,208121310,11380
mark,-1,209771187,10685
mark,-1,211420785,10779
mark,-1,213078123,11100
mark,-1,214730414,11589
mark,-1,216392294,10613
mark,-1,218045701,11067
mark,-1,219699585,10678
mark,-1,221355984,11568
mark,-1,223009113,10984
mark,-1,224668048,10962
mark,-1,226325250,11119
mark,-1,227984644,10852
mark,-1,229637817,11144
mark,-1,231290583,12496
mark,-1,232949391,11185
mark,-1,234637577,12145
mark,-1,236326896,11244
mark,-1,238036965,11149
mark,-1,239731206,11832
mark,-1,241396941,11315
mark,-1,243053736,10416
mark,-1,244710148,11569
mark,-1,246362635,10437
mark,-1,248021362,10845
mark,-1,249674644,10604
mark,-1,251326873,10793
mark,-1,252985544,12058
mark,-1,254643069,10993
mark,-1,256298627,10828
mark,-1,257950343,10324
mark,-1,259601867,10743
mark,-1,261256021,10968
mark,-1,262909994,10881
mark,-1,264568177,11509
mark,-1,266219945,11986
mark,-1,267878651,10556
mark,-1,269531742,10502
mark,-1,271181978,11473
mark,-1,272842447,10793
mark,-1,274494900,10326
mark,-1,276154244,11344
