event_type,gc_thread,start_ns,time_ns
mark,-1,7120310,110717
mark,-1,12328113,93033
mark,-1,15650818,47322
mark,-1,18689900,47366
mark,-1,21688488,60394
mark,-1,25193517,161021
mark,-1,28507765,46564
mark,-1,31575759,50895
mark,-1,34583780,53770
mark,-1,37575500,46230
mark,-1,40539155,45162
mark,-1,43468648,45401
mark,-1,46422029,46122
mark,-1,49357296,46501
mark,-1,52310511,47303
mark,-1,55258269,45354
mark,-1,58226893,45420
mark,-1,61124313,47578
mark,-1,64067982,43381
mark,-1,67002699,47051
mark,-1,69973883,44694
mark,-1,72937130,44863
mark,-1,75833563,12788
mark,-1,78771893,43534
mark,-1,81716087,45319
mark,-1,84700846,48576
mark,-1,87700539,45515
mark,-1,90667676,47003
mark,-1,93624730,45857
mark,-1,96594599,45463
mark,-1,99535417,46134
mark,-1,102463407,44106
mark,-1,105407948,43319
mark,-1,108343706,44633
mark,-1,111277638,45130
mark,-1,114184276,48516
mark,-1,117115272,43541
mark,-1,120097167,45974
mark,-1,123074517,45812
mark,-1,126007282,43273
mark,-1,128952473,45159
mark,-1,131848993,45427
mark,-1,134756926,43213
mark,-1,137709856,45420
mark,-1,140685439,46581
mark,-1,143633885,50653
mark,-1,146554696,46813
mark,-1,149455565,12781
mark,-1,152387381,44031
mark,-1,155313998,46271
mark,-1,158298425,48702
mark,-1,161308806,46594
mark,-1,164269461,45452
mark,-1,167226210,46768
mark,-1,170265597,45637
mark,-1,173189309,46021
mark,-1,176134010,43213
mark,-1,179061585,44256
mark,-1,182039186,43895
mark,-1,184940529,45125
mark,-1,187894179,44206
mark,-1,190828136,46281
mark,-1,193771058,41765
mark,-1,196709545,43345
mark,-1,199651920,43565
mark,-1,202567744,44346
mark,-1,205465749,43140
mark,-1,208423345,46320
mark,-1,211371282,43453
mark,-1,214310011,44121
mark,-1,217285677,43891
mark,-1,220161711,11530
mark,-1,223102686,45038
mark,-1,226052611,46879
mark,-1,229041685,43514
mark,-1,232030061,43348
mark,-1,234997878,44252
mark,-1,237976983,43369
mark,-1,240956167,42970
mark,-1,243874503,44841
mark,-1,246821830,44116
mark,-1,249784187,46046
mark,-1,252718084,43088
mark,-1,255705446,41094
mark,-1,258753863,42117
mark,-1,261773316,37826
mark,-1,264682444,50156
mark,-1,267639565,51955
mark,-1,270509796,50470
mark,-1,273463142,50688
mark,-1,276406957,51289
mark,-1,279359412,50567
mark,-1,282318445,49930
mark,-1,285232252,49384
mark,-1,288178392,55270
mark,-1,291128908,50179
mark,-1,294078853,50165
mark,-1,297019992,52078
mark,-1,299917794,20914
mark,-1,302876373,49692
mark,-1,305845774,53591
mark,-1,308843304,52050
mark,-1,311855222,52044
mark,-1,314902890,45886
mark,-1,317882779,43972
mark,-1,320853501,49760
mark,-1,323776140,43363
mark,-1,326712017,44006
mark,-1,329653979,44591
mark,-1,332578575,43526
mark,-1,335471980,44804
mark,-1,338369091,45184
mark,-1,341300668,44432
mark,-1,344226213,47138
mark,-1,347173446,46900
mark,-1,350105220,43299
mark,-1,353040412,45040
mark,-1,355938765,48350
mark,-1,358834451,45632
mark,-1,361751126,45262
mark,-1,364731955,45125
mark,-1,367656959,43785
mark,-1,370562864,46847
mark,-1,373504280,44343
mark,-1,376396260,12330
mark,-1,379337389,47606
mark,-1,382296243,78203
mark,-1,385104019,29254
mark,-1,388034933,47207
mark,-1,391024264,43835
mark,-1,393999958,46034
mark,-1,397009240,44917
mark,-1,399937426,44954
mark,-1,402944987,46256
mark,-1,405916351,43107
mark,-1,408830213,57117
mark,-1,411843476,43847
mark,-1,414780496,45365
