event_type,gc_thread,start_ns,time_ns
mark,-1,2515223,31368
mark,-1,3894715,18122
mark,-1,5167958,16507
mark,-1,6424306,13382
mark,-1,7678081,15701
mark,-1,8950715,15148
mark,-1,10200895,13974
mark,-1,11445476,13263
mark,-1,12690280,14982
mark,-1,13969864,14755
mark,-1,15213016,16231
mark,-1,16462826,12715
mark,-1,17742726,15928
mark,-1,18992680,14089
mark,-1,20278717,13173
mark,-1,21531618,14071
mark,-1,22781666,12663
mark,-1,24021616,13268
mark,-1,25269329,12541
mark,-1,26519079,16139
mark,-1,27766915,16064
mark,-1,29021591,14610
mark,-1,30267930,12696
mark,-1,31518242,15074
mark,-1,32763596,13178
mark,-1,34036405,15817
mark,-1,35282478,15691
mark,-1,36532200,13899
mark,-1,37784356,14564
mark,-1,39026795,13921
mark,-1,40265597,13914
mark,-1,41517568,14001
mark,-1,42770856,13172
mark,-1,44028664,14627
mark,-1,45273426,16205
mark,-1,46519945,13442
mark,-1,47765167,14659
mark,-1,49019470,14693
mark,-1,50268885,12763
mark,-1,51508958,13588
mark,-1,52747886,14210
mark,-1,53995911,15105
mark,-1,55238456,14803
mark,-1,56483834,14219
mark,-1,57736702,15672
mark,-1,58984795,13774
mark,-1,60225828,12712
mark,-1,61467163,13559
mark,-1,62706698,13751
mark,-1,63954716,22221
mark,-1,65219317,13697
mark,-1,66464482,14370
mark,-1,67708091,13612
mark,-1,68994646,14221
mark,-1,70234545,13587
mark,-1,71478965,13444
mark,-1,72725453,12579
mark,-1,73972963,14918
mark,-1,75221897,14409
mark,-1,76463038,15305
mark,-1,77716876,15211
mark,-1,78964743,14661
mark,-1,80210099,12224
mark,-1,81455647,13746
mark,-1,82702855,13069
mark,-1,83944870,13367
mark,-1,85196078,14775
mark,-1,86440074,14185
mark,-1,87688867,14716
mark,-1,88947194,15140
mark,-1,90193423,14322
mark,-1,91442765,14355
mark,-1,92690835,14107
mark,-1,93942551,13632
mark,-1,95180914,14054
mark,-1,96423975,12555
mark,-1,97682966,15121
mark,-1,98935081,12854
mark,-1,100178029,14355
mark,-1,101428419,13202
mark,-1,102668144,13070
mark,-1,103916126,12980
mark,-1,105164508,14565
mark,-1,106405939,15962
mark,-1,107648820,13873
mark,-1,108912290,14982
mark,-1,110167563,13054
mark,-1,111413980,14159
mark,-1,112656267,12740
mark,-1,113903501,14135
mark,-1,115146593,13893
mark,-1,116385977,15946
mark,-1,117685617,15076
mark,-1,118934759,14076
mark,-1,120186533,14905
mark,-1,121441186,12987
mark,-1,122687883,13226
mark,-1,123936439,14516
mark,-1,125192820,14326
mark,-1,126434897,13709
mark,-1,127679739,14421
mark,-1,128932979,13045
mark,-1,130181335,14415
mark,-1,131423819,14157
mark,-1,132674337,12993
mark,-1,133931838,14562
mark,-1,135172356,14105
mark,-1,136419489,13822
mark,-1,137668962,13593
mark,-1,138921957,13557
mark,-1,140164169,14209
mark,-1,141422747,14035
mark,-1,142666314,12907
mark,-1,143915056,13967
mark,-1,145162629,12702
mark,-1,146404368,14707
mark,-1,147654917,13332
mark,-1,148906904,15028
mark,-1,150160488,14708
mark,-1,151405189,14491
mark,-1,152644575,12969
mark,-1,153896218,13872
mark,-1,155148327,13726
mark,-1,156390202,14150
mark,-1,157637397,14284
mark,-1,158887843,14700
mark,-1,160137494,14231
mark,-1,161388327,13260
mark,-1,162630269,14327
mark,-1,163874735,11924
mark,-1,165115443,14035
mark,-1,166406496,14384
mark,-1,167649700,15037
mark,-1,168901129,13380
mark,-1,170152819,15494
mark,-1,171405072,13894
mark,-1,172650385,13182
mark,-1,173917898,14409
mark,-1,175163256,12625
mark,-1,176408030,14684
mark,-1,177664078,15135
mark,-1,178907599,13873
mark,-1,180156555,15054
mark,-1,181422954,13323
mark,-1,182669164,14139
mark,-1,183913436,14595
mark,-1,185172229,14835
mark,-1,186412499,14751
mark,-1,187664860,14303
mark,-1,188917035,15141
mark,-1,190177794,14095
mark,-1,191423589,12596
mark,-1,192669524,14722
mark,-1,193921859,13753
mark,-1,195169356,14641
mark,-1,196412215,14259
mark,-1,197658617,13857
mark,-1,198901098,15113
mark,-1,200148258,14709
mark,-1,201405054,13640
mark,-1,202648785,13802
mark,-1,203894187,13437
mark,-1,205144386,13052
mark,-1,206391853,13720
mark,-1,207628899,13773
mark,-1,208876498,13954
mark,-1,210118169,15455
mark,-1,211365825,15567
mark,-1,212609952,12807
mark,-1,213851975,13734
mark,-1,215142029,14546
mark,-1,216396150,13189
mark,-1,217653601,14808
mark,-1,218893804,13287
mark,-1,220145249,15687
mark,-1,221406374,13965
mark,-1,222656138,14651
mark,-1,223901166,14895
mark,-1,225151853,13193
mark,-1,226393249,12840
mark,-1,227639849,14672
mark,-1,228889039,14714
mark,-1,230141190,15292
mark,-1,231382498,16161
mark,-1,232635229,13666
mark,-1,233882501,13927
mark,-1,235123450,13891
mark,-1,236370679,14648
mark,-1,237617829,13851
mark,-1,238862861,14888
mark,-1,240110849,13169
mark,-1,241361186,15392
mark,-1,242609941,15824
mark,-1,243849782,13390
mark,-1,245092047,13174
mark,-1,246332107,13583
mark,-1,247584468,13119
mark,-1,248833976,15948
mark,-1,250080894,13982
mark,-1,251331738,15279
mark,-1,252573670,15203
mark,-1,253824280,13792
mark,-1,255064092,15628
mark,-1,256310570,13489
mark,-1,257559169,13169
mark,-1,258807685,14030
mark,-1,260059095,14856
mark,-1,261310429,14098
mark,-1,262568169,16011
mark,-1,263854850,13595
mark,-1,265105263,13844
mark,-1,266351713,13840
mark,-1,267596309,14424
mark,-1,268843754,14494
mark,-1,270091114,15341
mark,-1,271335943,14248
mark,-1,272588415,14592
mark,-1,273838206,13958
mark,-1,275077152,12883
mark,-1,276320771,13574
mark,-1,277576487,13357
mark,-1,278819931,14227
mark,-1,280072307,13247
mark,-1,281328255,14457
mark,-1,282581843,14444
mark,-1,283837554,14097
mark,-1,285089120,13769
mark,-1,286334089,13600
mark,-1,287579094,12558
mark,-1,288823918,16371
mark,-1,290066927,15625
mark,-1,291312519,14054
mark,-1,292558786,14447
mark,-1,293816591,14299
mark,-1,295060389,13143
mark,-1,296302149,12916
mark,-1,297554262,13259
mark,-1,298796407,14043
mark,-1,300037943,16439
mark,-1,301292992,14089
mark,-1,302539509,14291
mark,-1,303792657,13090
mark,-1,305044101,14391
mark,-1,306281696,12352
mark,-1,307519045,13409
mark,-1,308760735,14196
mark,-1,310027007,15986
mark,-1,311269919,15080
mark,-1,312576835,13542
mark,-1,313837304,14993
mark,-1,315086139,13310
mark,-1,316327334,13090
mark,-1,317580499,14230
mark,-1,318837401,14451
mark,-1,320076597,13673
mark,-1,321327161,15693
mark,-1,322574665,12956
mark,-1,323853475,14003
mark,-1,325104714,14903
mark,-1,326346067,13305
mark,-1,327588810,14290
mark,-1,328837078,14232
mark,-1,330077129,13619
mark,-1,331316817,15413
mark,-1,332569022,15600
mark,-1,333827837,14668
mark,-1,335074281,13275
mark,-1,336317060,12788
mark,-1,337559942,13405
mark,-1,338803284,13050
mark,-1,340042560,13169
mark,-1,341288728,13569
mark,-1,342537632,14838
mark,-1,343792158,14689
mark,-1,345040860,13006
mark,-1,346285124,13786
mark,-1,347528359,14073
mark,-1,348771292,13356
mark,-1,350039862,14995
mark,-1,351289586,13739
mark,-1,352535865,13786
mark,-1,353792378,13460
mark,-1,355039633,14514
mark,-1,356276388,13331
mark,-1,357528204,13514
mark,-1,358770367,13771
mark,-1,360011456,14208
mark,-1,361313947,15730
mark,-1,362559185,12888
mark,-1,363802861,14671
mark,-1,365063568,13957
mark,-1,366321808,15433
mark,-1,367564137,13835
mark,-1,368814430,13335
mark,-1,370063750,15807
mark,-1,371306830,13794
mark,-1,372556245,13232
mark,-1,373806672,13417
mark,-1,375058096,13926
mark,-1,376298718,14741
mark,-1,377552274,14376
mark,-1,378794588,13053
mark,-1,380040994,13984
mark,-1,381294144,13648
mark,-1,382532119,15949
mark,-1,383786439,12882
mark,-1,385041137,13665
mark,-1,386284705,14267
mark,-1,387530454,12887
mark,-1,388780227,13601
mark,-1,390052689,13435
mark,-1,391295408,13446
mark,-1,392536406,14337
mark,-1,393788736,15648
mark,-1,395034741,13307
mark,-1,396277853,13708
mark,-1,397612131,15636
mark,-1,398931222,22287
mark,-1,400245611,22438
mark,-1,401558317,23146
mark,-1,402853303,22220
mark,-1,404156951,24647
mark,-1,405464459,25022
mark,-1,406765187,23754
mark,-1,408059025,22921
mark,-1,409362449,23228
mark,-1,410661335,22540
mark,-1,411925043,22005
mark,-1,413194709,22327
mark,-1,414457254,22636
mark,-1,415723481,22733
mark,-1,416993106,22785
mark,-1,418252016,22269
mark,-1,419509327,23950
mark,-1,420768981,22916
mark,-1,422037994,23274
mark,-1,423340393,15961
mark,-1,424588648,13587
mark,-1,425853608,15710
mark,-1,427112808,13290
mark,-1,428354964,13711
mark,-1,429609340,13627
mark,-1,430864194,13571
mark,-1,432116116,14956
mark,-1,433362971,15306
mark,-1,434608290,14293
mark,-1,435861419,15470
mark,-1,437115713,14189
mark,-1,438356022,13959
mark,-1,439601143,13381
mark,-1,440855555,14008
mark,-1,442105107,14491
mark,-1,443345934,14449
mark,-1,444589955,14560
mark,-1,445842608,13784
mark,-1,447122888,14521
mark,-1,448367098,15117
mark,-1,449617351,13932
mark,-1,450870281,14177
mark,-1,452111455,14221
mark,-1,453360433,13370
mark,-1,454602950,16168
mark,-1,455857121,15788
mark,-1,457110517,13505
mark,-1,458391649,14470
mark,-1,459638900,13252
mark,-1,460890323,14725
mark,-1,462129956,13088
mark,-1,463378149,13799
mark,-1,464627013,14454
mark,-1,465876334,16223
mark,-1,467126981,15092
mark,-1,468372807,13825
mark,-1,469618706,13546
mark,-1,470866704,13521
mark,-1,472114630,13377
mark,-1,473364262,14328
mark,-1,474611109,14452
mark,-1,475863917,14321
mark,-1,477112031,14749
mark,-1,478362947,13850
mark,-1,479603581,13741
mark,-1,480855796,13070
mark,-1,482098931,14240
mark,-1,483338213,14138
mark,-1,484582452,13532
mark,-1,485838104,13800
mark,-1,487077240,15802
mark,-1,488355970,12702
mark,-1,489606679,13625
mark,-1,490850232,13230
mark,-1,492093102,13626
mark,-1,493343669,13634
mark,-1,494587773,14854
mark,-1,495825366,13248
mark,-1,497077501,12266
mark,-1,498327292,14089
mark,-1,499564848,13289
mark,-1,500806870,18244
mark,-1,502054240,13780
mark,-1,503305607,13851
mark,-1,504543353,14441
mark,-1,505795444,13922
mark,-1,507088306,30140
mark,-1,508350261,13549
mark,-1,509632400,15423
mark,-1,510907143,12595
mark,-1,512180473,13046
mark,-1,513447537,13187
mark,-1,514692114,13922
mark,-1,515942411,15926
mark,-1,517198856,14883
mark,-1,518454810,14102
mark,-1,519703264,14519
mark,-1,520948191,13002
mark,-1,522184666,14219
mark,-1,523427829,13691
mark,-1,524668312,13337
mark,-1,525911469,14603
mark,-1,527156084,15835
mark,-1,528408050,15315
mark,-1,529663408,13302
mark,-1,530912600,13196
mark,-1,532154500,14790
mark,-1,533404120,13512
mark,-1,534664266,15122
mark,-1,535905305,12837
mark,-1,537156760,16014
mark,-1,538410242,14790
mark,-1,539655116,14502
mark,-1,540905405,14003
mark,-1,542150188,15303
mark,-1,543393355,13319
mark,-1,544639329,13664
mark,-1,545890949,14529
mark,-1,547142121,15189
mark,-1,548399606,14564
mark,-1,549655060,13207
mark,-1,550896825,13693
mark,-1,552140349,13658
mark,-1,553394963,14257
mark,-1,554642152,14565
mark,-1,555936693,14544
mark,-1,557192538,13347
mark,-1,558435439,13633
mark,-1,559678787,13992
mark,-1,560932106,15245
mark,-1,562170849,13236
mark,-1,563414694,13360
mark,-1,564655760,13427
mark,-1,565904601,15226
mark,-1,567145939,15240
mark,-1,568392894,13006
mark,-1,569645372,14296
mark,-1,570887858,12699
mark,-1,572124867,12568
mark,-1,573372496,13509
mark,-1,574616106,12774
mark,-1,575860393,12475
mark,-1,577104108,15007
mark,-1,578356183,15088
mark,-1,579607469,12965
mark,-1,580855473,13311
mark,-1,582098048,13915
mark,-1,583342288,14851
mark,-1,584594476,13066
mark,-1,585849305,14833
mark,-1,587094907,13894
mark,-1,588341910,14510
mark,-1,589601701,13346
mark,-1,590849171,13156
mark,-1,592092440,13385
mark,-1,593346978,13094
mark,-1,594587584,12613
mark,-1,595830972,14394
mark,-1,597087064,13897
mark,-1,598334763,13562
mark,-1,599585823,13658
mark,-1,600837741,13978
mark,-1,602079581,12450
mark,-1,603322251,13781
mark,-1,604616942,13659
mark,-1,605875128,14385
mark,-1,607119010,15278
mark,-1,608372396,15102
mark,-1,609622093,13952
mark,-1,610871656,13086
mark,-1,612113823,15225
mark,-1,613372349,13564
mark,-1,614615543,12497
mark,-1,615859559,14994
mark,-1,617103767,14497
mark,-1,618345513,13695
mark,-1,619589587,14398
mark,-1,620849954,14071
mark,-1,622092209,13584
mark,-1,623337975,14000
mark,-1,624582934,13619
mark,-1,625832950,14821
mark,-1,627077548,14034
mark,-1,628320279,13884
mark,-1,629572888,14433
mark,-1,630829057,14801
mark,-1,632069105,15727
mark,-1,633310915,13770
mark,-1,634548359,14170
mark,-1,635799921,13102
mark,-1,637045983,13591
mark,-1,638291505,13619
mark,-1,639537403,15279
mark,-1,640782278,12796
mark,-1,642051370,14418
mark,-1,643287637,13008
mark,-1,644528097,12679
mark,-1,645786785,15108
