event_type,gc_thread,start_ns,time_ns
mark,-1,1584745,809934
mark,-1,4031917,1757681
mark,-1,9066904,2439298
mark,-1,17650260,1043659
mark,-1,34042848,1211367
mark,-1,66849989,1144707
mark,-1,84134249,1151888
mark,-1,121916306,1096892
mark,-1,145742926,1040293
mark,-1,169920702,1348280
mark,-1,222814728,1203589
mark,-1,257591005,1032517
mark,-1,291318699,1381967
mark,-1,326400649,1232994
mark,-1,360451061,1066737
mark,-1,394965242,1755521
mark,-1,429033158,1464550
mark,-1,463968969,1416448
mark,-1,497468557,1129106
mark,-1,532532356,2298650
mark,-1,607289949,1424094
mark,-1,655950278,1339258
mark,-1,704673876,1171484
mark,-1,753940446,1775851
mark,-1,802561125,1562627
mark,-1,851265787,1163406
mark,-1,899632650,1205755
mark,-1,948831545,1774936
mark,-1,997341474,1820642
mark,-1,1046310084,901200
mark,-1,1094600907,1481812
mark,-1,1144367130,1690121
mark,-1,1192917169,1182754
mark,-1,1241283976,1239576
mark,-1,1289991981,1068572
mark,-1,1339373755,1610297
mark,-1,1387909858,1363658
mark,-1,1436469466,1421582
mark,-1,1485245581,1034697
mark,-1,1534522826,1805364
mark,-1,1583233593,1109081
mark,-1,1631513713,1152502
mark,-1,1679995353,929932
mark,-1,1729108023,1670652
mark,-1,1777628968,1284748
mark,-1,1826037114,950956
mark,-1,1874334070,1451742
mark,-1,1923987193,1564813
mark,-1,1972370228,1083865
mark,-1,2020609242,1146156
mark,-1,2069066778,1468410
mark,-1,2118614735,1469020
mark,-1,2166900687,1272709
mark,-1,2215229258,1094963
mark,-1,2263627795,1049107
mark,-1,2312793452,1448848
mark,-1,2360983667,1163051
mark,-1,2409247094,1116710
mark,-1,2457548304,1093509
mark,-1,2506759665,1469260
mark,-1,2555011585,1241955
mark,-1,2603309375,1038026
mark,-1,2651614601,1222697
mark,-1,2700835615,1842497
mark,-1,2749445133,1128353
mark,-1,2797579034,1302747
mark,-1,2846055159,1413038
mark,-1,2895504055,1458614
mark,-1,2943763021,1519409
mark,-1,2992302023,990390
mark,-1,3040431524,1220000
mark,-1,3089647833,1451982
mark,-1,3137805636,1358923
mark,-1,3186483583,1063447
mark,-1,3235037174,1383287
mark,-1,3284658638,1427460
mark,-1,3332923848,1812734
mark,-1,3381952167,1311594
mark,-1,3430629993,1145875
mark,-1,3479922821,1587510
mark,-1,3528352147,1065587
mark,-1,3576483366,844832
mark,-1,3624546963,1152438
mark,-1,3673811850,1871267
mark,-1,3722429644,1406859
mark,-1,3770905988,1322353
mark,-1,3819458326,1030700
mark,-1,3868522149,1500734
mark,-1,3916767137,1303763
mark,-1,3965074537,1016047
mark,-1,4013272966,1154943
mark,-1,4062608146,1731645
mark,-1,4111385856,1288249
mark,-1,4159946494,1096681
mark,-1,4208469262,1438231
mark,-1,4258131706,1513375
mark,-1,4306659560,1016984
mark,-1,4354964304,1366558
mark,-1,4403713350,1150032
mark,-1,4453126687,1437419
mark,-1,4501396871,1162952
mark,-1,4549681008,969221
mark,-1,4597865845,979296
mark,-1,4646980726,1572414
mark,-1,4695451473,1139470
mark,-1,4743717572,1074864
mark,-1,4792125452,1282387
mark,-1,4841601120,1716043
mark,-1,4890172344,1376693
mark,-1,4938596147,866743
mark,-1,4986735977,1004136
mark,-1,5035820943,1468699
mark,-1,5084146005,1602864
mark,-1,5132843838,1168542
mark,-1,5181138450,1073011
mark,-1,5230258178,1596477
mark,-1,5278663950,1075983
mark,-1,5326763835,893976
mark,-1,5374782432,1353080
mark,-1,5424216298,1517956
mark,-1,5472710891,1524760
mark,-1,5521502793,961671
mark,-1,5569831812,1326977
mark,-1,5619422565,1433970
mark,-1,5667802291,1453661
mark,-1,5716441837,958670
mark,-1,5764785116,1278094
mark,-1,5814162684,1640186
mark,-1,5862632267,1597641
mark,-1,5911284728,1249308
mark,-1,5959788272,1128282
mark,-1,6008953730,1712712
mark,-1,6057480138,1634829
mark,-1,6106179741,1215728
mark,-1,6154616784,1349131
mark,-1,6203999494,1860035
mark,-1,6252628788,1399622
mark,-1,6301023999,946188
mark,-1,6349143470,913873
mark,-1,6398068951,1691777
mark,-1,6446596232,1103760
mark,-1,6494905006,1118134
mark,-1,6543474461,1084454
mark,-1,6592870922,1735221
mark,-1,6641546910,1128596
mark,-1,6689826706,1114260
mark,-1,6738228958,1739259
mark,-1,6788270714,1406552
mark,-1,6836628418,1257053
mark,-1,6885109335,1232838
mark,-1,6933727564,1353478
mark,-1,6983369553,1468590
mark,-1,7031737679,1131214
mark,-1,7080013464,1104756
mark,-1,7128480051,1066825
mark,-1,7177779426,1485447
mark,-1,7226198670,1236779
mark,-1,7274631863,1060608
mark,-1,7323160923,1131969
mark,-1,7372374883,1451853
mark,-1,7420704897,1240534
mark,-1,7469089410,1284316
mark,-1,7517672698,974573
mark,-1,7566817886,1494620
mark,-1,7615186223,1458776
mark,-1,7663780496,998732
mark,-1,7712031824,1162651
mark,-1,7761285245,1904422
mark,-1,7810013063,1122160
mark,-1,7858224309,1093548
mark,-1,7906638745,1190871
mark,-1,7955909225,1713801
mark,-1,8004396077,1567677
mark,-1,8053029169,1156817
mark,-1,8101619145,1010701
mark,-1,8150958322,1817918
mark,-1,8199743238,1112243
mark,-1,8248008742,926185
mark,-1,8296236773,1083040
mark,-1,8345499295,1485584
mark,-1,8393947065,1602655
mark,-1,8442776555,1117390
mark,-1,8491307616,1349979
mark,-1,8540901471,1506801
mark,-1,8589353268,1251793
mark,-1,8637689274,1048365
mark,-1,8685999702,1047655
mark,-1,8735102145,1549513
mark,-1,8783432814,1385593
mark,-1,8831918327,842085
mark,-1,8880093511,1271422
mark,-1,8929330063,1539062
mark,-1,8977564970,1637961
mark,-1,9026164958,1327148
mark,-1,9074542828,1008458
mark,-1,9123529391,1471802
mark,-1,9171880453,1003446
mark,-1,9220165803,933338
mark,-1,9268522204,1214045
mark,-1,9318013230,1528389
mark,-1,9366532385,1324531
mark,-1,9415077457,931551
mark,-1,9463313743,1269406
mark,-1,9512862595,1412168
mark,-1,9561118769,1515667
mark,-1,9609729210,944652
mark,-1,9657979980,1786003
mark,-1,9707967783,1745001
mark,-1,9756491306,1540303
mark,-1,9805170937,912573
mark,-1,9853223738,1244439
mark,-1,9902471626,1606656
mark,-1,9950880942,1190800
mark,-1,9999147260,1026029
mark,-1,10047468672,1205429
mark,-1,10096753071,1466988
mark,-1,10145021190,1037921
mark,-1,10193102720,1156838
mark,-1,10241565098,1296699
mark,-1,10290945772,1467186
mark,-1,10339177653,1014358
mark,-1,10387229199,1037584
mark,-1,10435466435,1337567
mark,-1,10484773673,1547218
mark,-1,10533063827,1025139
mark,-1,10581056353,1288181
mark,-1,10629744085,1203277
mark,-1,10679321256,1533826
mark,-1,10727778376,1229964
mark,-1,10776302847,1007747
mark,-1,10824745190,1116991
mark,-1,10874064643,1463415
mark,-1,10922495921,1288424
mark,-1,10970984899,1089877
mark,-1,11019349795,1107327
mark,-1,11068579991,1627711
mark,-1,11117079754,1267499
mark,-1,11165499127,1058756
mark,-1,11213824718,1033360
mark,-1,11262909755,1510207
mark,-1,11311304570,1471283
mark,-1,11359833388,1015015
mark,-1,11408138601,1199815
mark,-1,11457452774,1481522
mark,-1,11505777555,1307550
mark,-1,11554130395,1090044
mark,-1,11602333903,1199621
mark,-1,11651526979,1553434
mark,-1,11699764840,1202117
mark,-1,11747938732,1162902
mark,-1,11796259314,1159231
mark,-1,11845332894,1424835
mark,-1,11893666592,1174357
mark,-1,11942051269,1269314
mark,-1,11990710054,1114715
mark,-1,12039889301,1597451
mark,-1,12088381655,1230991
mark,-1,12136669737,980808
mark,-1,12184907014,922664
mark,-1,12233968535,1599360
mark,-1,12282411101,1252054
mark,-1,12330813006,1197751
mark,-1,12379345815,1098433
mark,-1,12428567197,1515737
mark,-1,12476938849,1414590
mark,-1,12525425812,961342
mark,-1,12573653962,1230422
mark,-1,12622898066,1716118
mark,-1,12671302098,1427173
mark,-1,12719761838,984972
mark,-1,12767979689,1433373
mark,-1,12817436418,1675874
mark,-1,12865868123,1137876
mark,-1,12914019314,1012781
mark,-1,12962339184,1191295
mark,-1,13011712677,1924274
mark,-1,13060543782,1093895
