event_type,gc_thread,start_ns,time_ns
mark,-1,412077432,193377
mark,-1,560138883,153702
mark,-1,708102691,114207
mark,-1,856076620,44843
mark,-1,1003483714,291646
mark,-1,1151512309,156686
mark,-1,1298843474,91190
mark,-1,1446442412,48380
mark,-1,1594066736,21124
mark,-1,1741611701,237659
mark,-1,1889048064,178475
mark,-1,2036490839,93787
mark,-1,2183527484,47557
mark,-1,2330764265,286778
mark,-1,2478047152,177219
mark,-1,2624835243,98072
mark,-1,2771514983,58059
mark,-1,2919213552,27159
mark,-1,3066730482,251547
mark,-1,3213789553,183621
mark,-1,3360994118,95631
mark,-1,3507976251,47553
mark,-1,3655921679,282639
mark,-1,3804048709,185732
mark,-1,3952094667,95872
mark,-1,4099899027,47943
mark,-1,4247624381,27176
mark,-1,4395195857,257010
mark,-1,4542905996,164092
mark,-1,4690084900,91705
mark,-1,4836806536,42929
mark,-1,4983763235,275970
mark,-1,5131040622,171698
