event_type,gc_thread,start_ns,time_ns
mark,-1,424445264,115750
mark,-1,624784135,1890693
mark,-1,824960096,1856406
mark,-1,1023432303,1884296
mark,-1,1224166463,1874150
mark,-1,1423112547,1858989
mark,-1,1622337275,1865928
mark,-1,1826382811,1820236
mark,-1,2025953014,1936627
mark,-1,2226709724,1781442
mark,-1,2426751057,1888267
mark,-1,2626045692,1968591
mark,-1,2825083148,1941483
mark,-1,3025039735,1934078
mark,-1,3224968474,1931561
mark,-1,3423367287,1900566
mark,-1,3622737060,1874163
mark,-1,3823040634,1923183
mark,-1,4022928852,2003294
mark,-1,4222421962,1882849
mark,-1,4422607355,1900599
mark,-1,4621087090,1954429
mark,-1,4820512546,1907253
mark,-1,5019243440,1934974
mark,-1,5217882594,1905976
mark,-1,5416153009,1919941
mark,-1,5614448079,2516171
mark,-1,5816501386,2016886
mark,-1,6015272404,1948803
mark,-1,6214871888,1915144
mark,-1,6413529208,1898346
mark,-1,6612336628,1911077
mark,-1,6812592298,1903619
mark,-1,7011549773,1909390
mark,-1,7211952844,1933868
mark,-1,7411014933,2018985
mark,-1,7610994512,2060961
mark,-1,7810874491,1993762
mark,-1,8011724344,1921921
mark,-1,8212984460,2029362
mark,-1,8412173580,2137783
mark,-1,8611060234,2050713
mark,-1,8811781866,2026513
mark,-1,9010631598,2459360
mark,-1,9212235602,2149678
mark,-1,9413318750,2293859
mark,-1,9612192993,2673297
mark,-1,9815148836,2213284
mark,-1,10015765075,2013051
mark,-1,10217283878,1982058
mark,-1,10416202705,2107766
mark,-1,10615705999,2047822
mark,-1,10819339001,3672814
mark,-1,11020518269,3792027
mark,-1,11223382080,3524130
mark,-1,11425606600,3477255
mark,-1,11626913373,4569406
mark,-1,11827761466,4639660
mark,-1,12030509704,3569310
mark,-1,12233017984,3550496
mark,-1,12432965517,1012336
mark,-1,12633063312,123888
mark,-1,12833075100,1798902
mark,-1,13031966116,1804527
mark,-1,13232309606,1706153
mark,-1,13432104375,1754452
mark,-1,13631119633,1925010
mark,-1,13831496839,1690953
mark,-1,14030918496,1912610
mark,-1,14230586575,2046025
mark,-1,14429977111,1740167
mark,-1,14629898359,1910235
mark,-1,14830515664,1871382
mark,-1,15029700259,1790570
mark,-1,15231170184,1892638
mark,-1,15430323961,1856304
mark,-1,15629012832,1886570
mark,-1,15829149679,1723781
mark,-1,16029572930,1780547
mark,-1,16230892941,1754588
mark,-1,16431472754,1851521
mark,-1,16632524799,1915587
mark,-1,16833379083,1928719
mark,-1,17032631030,1801569
mark,-1,17232059702,1912690
mark,-1,17431417461,1873941
mark,-1,17630896490,1906949
mark,-1,17832713269,1941419
mark,-1,18032013120,1856660
mark,-1,18234475410,1907789
mark,-1,18433114021,1889367
mark,-1,18632093917,1873338
mark,-1,18834212451,1944130
mark,-1,19033629389,1832266
mark,-1,19234437785,2021224
mark,-1,19434537737,1835640
mark,-1,19633366722,1977883
mark,-1,19835634080,1982986
mark,-1,20034354599,2044592
mark,-1,20234984139,2032542
mark,-1,20433721600,2007631
mark,-1,20634403309,2136861
mark,-1,20835380569,1956676
mark,-1,21034665153,1975513
mark,-1,21233841052,2482830
mark,-1,21433392625,2843788
mark,-1,21633251520,2459330
mark,-1,21833499929,2831669
mark,-1,22033974515,2583331
mark,-1,22233244649,2754759
mark,-1,22435041961,2103843
mark,-1,22634596429,1987792
mark,-1,22837999865,1815665
mark,-1,23039546985,3503105
mark,-1,23240369008,3670487
mark,-1,23442618157,3583755
