event_type,gc_thread,start_ns,time_ns
mark,-1,552974300,64785
mark,-1,823070192,110542
mark,-1,1095390033,119321
mark,-1,1368208272,45269
mark,-1,1646200814,65981
mark,-1,1938670717,44667
mark,-1,2208612426,61037
mark,-1,2490691523,62680
mark,-1,2760062780,47721
mark,-1,3029814868,45788
mark,-1,3299437874,37369
mark,-1,3569086664,95708
mark,-1,3838661004,89121
mark,-1,4114344211,33303
mark,-1,4393411166,49800
mark,-1,4689442955,105039
mark,-1,4958886992,160933
mark,-1,5234321936,59461
mark,-1,5512654663,75217
mark,-1,5784555695,43091
mark,-1,6078003359,47882
mark,-1,6348190787,71577
mark,-1,6642397704,59151
mark,-1,6936440924,60340
mark,-1,7213188436,49553
mark,-1,7511597847,69769
mark,-1,7789984227,42819
mark,-1,8065722746,101181
mark,-1,8361294363,65125
mark,-1,8639652160,59834
mark,-1,8914885552,91791
mark,-1,9197542959,43511
mark,-1,9470626510,49029
mark,-1,9758416898,72489
mark,-1,10028292981,50560
mark,-1,10323524072,59307
mark,-1,10593127156,47439
mark,-1,10862689773,61217
mark,-1,11132508847,32212
mark,-1,11411961621,102790
mark,-1,11694073234,93206
mark,-1,11963697063,50439
mark,-1,12261744876,67048
mark,-1,12531365840,42728
mark,-1,12813059262,47091
mark,-1,13091782159,61018
mark,-1,13361207712,59122
mark,-1,13630665473,60000
mark,-1,13904722756,58354
mark,-1,14203824568,65473
mark,-1,14488794393,112765
mark,-1,14761358592,73148
mark,-1,15047792892,161189
mark,-1,15347374337,46884
mark,-1,15633065535,42723
mark,-1,15903794331,58946
mark,-1,16173359092,57788
mark,-1,16480871571,42062
mark,-1,16750280908,43169
mark,-1,17022226133,59213
mark,-1,17291784449,42582
mark,-1,17561060690,53775
mark,-1,17831213960,31868
mark,-1,18122982360,101022
mark,-1,18399142152,88029
mark,-1,18692776908,48603
mark,-1,18970197543,93567
mark,-1,19267302339,43343
mark,-1,19538004846,46149
mark,-1,19837601487,72582
mark,-1,20113018340,44789
mark,-1,20399008681,43781
mark,-1,20685530154,46224
mark,-1,20968543558,57805
mark,-1,21238214562,32864
mark,-1,21507589796,99752
mark,-1,21780825124,63426
mark,-1,22050720482,46160
mark,-1,22344106374,63027
mark,-1,22638348132,42399
mark,-1,22911562772,44643
mark,-1,23189249174,61546
mark,-1,23465771887,45554
mark,-1,23740215658,59622
mark,-1,24013896238,51854
mark,-1,24289301741,63403
mark,-1,24559895708,33288
mark,-1,24840298646,95316
mark,-1,25111520738,73824
mark,-1,25382849380,60415
mark,-1,25666498221,75747
mark,-1,25957857970,99119
mark,-1,26227988002,48458
mark,-1,26505376499,44987
mark,-1,26778243683,37499
mark,-1,27068284937,158993
mark,-1,27343613971,168127
mark,-1,27613561856,139985
mark,-1,27890874010,153124
mark,-1,28164400251,39323
mark,-1,28453763866,96388
mark,-1,28729595704,41395
mark,-1,29018393300,58555
mark,-1,29296410366,47041
mark,-1,29574041965,58385
mark,-1,29843971181,82646
mark,-1,30113767251,65872
mark,-1,30383364047,41317
mark,-1,30671480327,59471
mark,-1,30941015324,141873
mark,-1,31218974111,61755
mark,-1,31494796605,67996
mark,-1,31764787534,47519
mark,-1,32036975885,45112
mark,-1,32322644937,37068
mark,-1,32592050955,34192
mark,-1,32881360571,47890
mark,-1,33150906155,61455
mark,-1,33431421200,70121
mark,-1,33706613937,42259
mark,-1,33981521152,46673
mark,-1,34250918248,135609
mark,-1,34535173087,65624
mark,-1,34816106816,66119
mark,-1,35087520075,60847
mark,-1,35357216681,44782
mark,-1,35647015344,32809
mark,-1,35945239696,39571
mark,-1,36215402842,47304
mark,-1,36485243186,58109
mark,-1,36754970397,71318
