event_type,gc_thread,start_ns,time_ns
mark,-1,1897891992,545489
mark,-1,3581664549,469889
mark,-1,5259697255,443810
mark,-1,6940614925,458218
mark,-1,8618394314,465563
mark,-1,10293390037,448671
mark,-1,11969369200,433306
mark,-1,13646978710,445522
mark,-1,15322441518,409849
mark,-1,16998073258,480880
mark,-1,18675374696,417175
mark,-1,20352201906,412893
mark,-1,22031843013,411605
mark,-1,23708773251,424744
mark,-1,25383119631,417218
mark,-1,27059334702,444040
mark,-1,28738932416,449070
mark,-1,30414498671,459924
mark,-1,32092238274,439065
mark,-1,33769336985,432604
mark,-1,35448984688,435562
mark,-1,37112071787,465658
mark,-1,38790470659,457785
mark,-1,40467170284,477163
mark,-1,42144214504,438248
mark,-1,43820529306,463613
mark,-1,45499979263,406571
mark,-1,47175810210,409226
mark,-1,49101322682,465121
mark,-1,50777235866,431428
mark,-1,52455326088,409426
mark,-1,54132785656,449833
mark,-1,55811372794,443354
mark,-1,57474871037,491517
mark,-1,59151215956,445354
mark,-1,60827830305,428611
mark,-1,62511036522,437984
mark,-1,64186693777,406074
mark,-1,65862098106,430384
mark,-1,67538902464,424079
mark,-1,69216882998,434844
mark,-1,70893924562,443839
mark,-1,72572793951,443447
mark,-1,74249209435,458406
mark,-1,75928483474,416268
mark,-1,77605674175,422906
mark,-1,79280647638,462705
mark,-1,80957715890,448563
mark,-1,82638091807,432910
mark,-1,84314920565,446690
mark,-1,85994068895,444536
mark,-1,87671071509,439465
mark,-1,89350493427,439695
mark,-1,91027444698,445152
mark,-1,92706878610,419652
mark,-1,94382680036,438968
mark,-1,96063307903,439484
mark,-1,97740753134,442151
mark,-1,99418970924,423359
mark,-1,101095897782,461162
mark,-1,102774364543,420321
mark,-1,104450880439,436474
mark,-1,106130571892,480519
mark,-1,107807548005,463666
mark,-1,109486781061,444725
mark,-1,111164074784,402955
mark,-1,112838846864,451249
mark,-1,114515459022,479889
mark,-1,116197256218,434182
mark,-1,117872970263,407833
