event_type,gc_thread,start_ns,time_ns
mark,-1,461362423,80108
mark,-1,782684529,84054
mark,-1,1101441079,31666
mark,-1,1420772312,69960
mark,-1,1739711874,90730
mark,-1,2058433828,32029
mark,-1,2377450088,72082
mark,-1,2696289147,88417
mark,-1,3015282784,30641
mark,-1,3334301623,71783
mark,-1,3652943490,89149
mark,-1,3971605986,30935
mark,-1,4290572950,70656
mark,-1,4609658698,89282
mark,-1,4928298568,31143
mark,-1,5247139929,69653
mark,-1,5565953793,81124
mark,-1,5884586340,31436
mark,-1,6203373157,70365
mark,-1,6522154696,81150
