event_type,gc_thread,start_ns,time_ns
mark,-1,275971330,77135
mark,-1,411499073,42717
mark,-1,546503916,63791
mark,-1,685365277,146125
mark,-1,820399458,49669
mark,-1,961659253,49957
mark,-1,1096516068,41478
mark,-1,1231352353,38113
mark,-1,1375266559,70067
mark,-1,1510157090,62038
mark,-1,1646372425,58125
mark,-1,1793468002,60701
mark,-1,1928353569,117560
mark,-1,2063092961,47087
mark,-1,2197982348,42317
mark,-1,2332894878,48875
mark,-1,2467771088,61526
mark,-1,2607264503,58603
mark,-1,2742167321,81382
mark,-1,2883225640,61174
mark,-1,3025937666,136164
mark,-1,3185017865,124182
mark,-1,3324458161,60569
mark,-1,3463755577,77527
mark,-1,3603843695,42965
mark,-1,3743926603,45037
mark,-1,3891410097,65195
mark,-1,4043244455,36741
mark,-1,4191552859,42905
mark,-1,4331293201,39044
mark,-1,4466163309,59838
mark,-1,4619645054,151173
mark,-1,4769388067,44799
mark,-1,4907841986,42483
mark,-1,5051906046,58642
mark,-1,5194295330,59137
mark,-1,5329085778,35620
mark,-1,5464327136,61482
mark,-1,5601488206,84961
mark,-1,5736328787,59340
mark,-1,5871148992,61232
mark,-1,6018340182,191031
mark,-1,6153118821,47256
mark,-1,6298823986,39659
mark,-1,6433645376,47030
mark,-1,6569466368,46117
mark,-1,6707975337,40487
mark,-1,6843098247,53100
mark,-1,6977936105,60022
mark,-1,7116887898,47653
mark,-1,7251724988,53000
mark,-1,7394301782,40337
mark,-1,7529025598,64917
mark,-1,7664235814,119299
mark,-1,7802277081,81581
mark,-1,7937057454,40809
mark,-1,8071934332,32552
mark,-1,8206786086,62231
mark,-1,8344981633,64793
mark,-1,8481239528,40242
mark,-1,8616109592,59274
mark,-1,8752594098,52190
mark,-1,8891375707,137625
mark,-1,9033716302,45322
mark,-1,9172639981,64654
mark,-1,9308225957,48623
mark,-1,9442942630,40112
mark,-1,9591552514,41642
mark,-1,9726454970,69153
mark,-1,9864946088,59690
mark,-1,9999812544,47618
mark,-1,10140519984,63373
mark,-1,10275091592,41641
mark,-1,10410172449,45498
mark,-1,10547085179,44935
mark,-1,10690959104,61965
mark,-1,10844246384,57527
mark,-1,10979306641,71030
mark,-1,11116059114,49346
mark,-1,11256941996,66757
mark,-1,11391840644,125833
mark,-1,11528409274,65074
