event_type,gc_thread,start_ns,time_ns
mark,-1,203356853,133319
mark,-1,276867649,196371
mark,-1,350496879,239918
mark,-1,424143336,34064
mark,-1,497592424,149293
mark,-1,571183531,197496
mark,-1,644492102,273760
mark,-1,718161598,41646
mark,-1,791558909,156726
mark,-1,864869655,234408
mark,-1,938121741,261136
mark,-1,1011407973,45812
mark,-1,1084566117,162764
mark,-1,1157702793,216387
mark,-1,1230766561,279703
mark,-1,1303950215,46967
mark,-1,1377569567,149945
mark,-1,1451343328,225504
mark,-1,1525325851,281147
mark,-1,1599201550,41290
mark,-1,1672877924,159562
mark,-1,1746389394,224810
mark,-1,1819967268,284595
mark,-1,1893695575,47527
mark,-1,1967226504,158184
mark,-1,2040781313,216358
mark,-1,2114335099,283240
mark,-1,2187741720,43092
mark,-1,2261188164,175779
mark,-1,2334629599,230370
mark,-1,2408063267,277311
mark,-1,2481565507,42469
mark,-1,2554848580,159126
mark,-1,2628213738,223112
mark,-1,2701426914,278254
mark,-1,2774849544,43126
mark,-1,2847812217,162633
mark,-1,2920970675,225802
mark,-1,2994142118,300292
mark,-1,3067478383,48861
mark,-1,3140699306,158593
mark,-1,3213977810,218639
mark,-1,3287210497,290204
mark,-1,3360323247,48406
mark,-1,3433529909,158262
mark,-1,3507414231,232763
mark,-1,3581349515,277490
mark,-1,3655336568,44406
mark,-1,3729147243,179568
mark,-1,3803104110,210871
mark,-1,3876945054,288787
mark,-1,3950784396,55476
mark,-1,4024564344,161825
mark,-1,4098297621,228789
mark,-1,4172121630,266397
mark,-1,4245914594,59894
mark,-1,4319705157,157825
mark,-1,4393420935,212126
mark,-1,4466995376,289787
mark,-1,4540600256,43096
mark,-1,4613847701,166918
mark,-1,4687276469,233760
mark,-1,4760706295,285188
mark,-1,4834130254,41955
mark,-1,4907520251,155085
mark,-1,4980913594,201939
mark,-1,5054060248,277705
