event_type,gc_thread,start_ns,time_ns
mark,-1,966017012,783040
mark,-1,1809288171,830770
mark,-1,2649689995,629775
mark,-1,3487175336,174341
mark,-1,4328891766,621140
mark,-1,5165804738,787307
mark,-1,6000319993,503359
mark,-1,6838448624,162629
mark,-1,7680189368,637054
mark,-1,8516763620,797588
mark,-1,9351403993,599183
mark,-1,10187390300,159229
mark,-1,11029645898,555471
mark,-1,11866109077,767479
mark,-1,12700647698,536372
mark,-1,13538640326,145244
mark,-1,14381172154,600381
mark,-1,15218032189,762146
mark,-1,16052516096,523673
mark,-1,16890627012,141177
mark,-1,17732025653,595991
mark,-1,18568434618,774215
mark,-1,19402777078,541486
mark,-1,20240678963,142051
mark,-1,21082677028,609546
mark,-1,21919136740,760254
mark,-1,22753400955,520875
mark,-1,23591604111,130041
mark,-1,24433373280,636309
mark,-1,25267156096,782098
mark,-1,26101103319,544470
mark,-1,26939159908,144510
mark,-1,27781175711,575795
mark,-1,28618288678,735904
mark,-1,29452859403,526177
mark,-1,30290761196,135245
mark,-1,31132919114,560871
mark,-1,31976262094,739768
mark,-1,32813847317,532947
mark,-1,33644572969,169028
mark,-1,34488931278,580699
mark,-1,35325080002,790095
mark,-1,36158988799,531014
mark,-1,36992345395,135128
mark,-1,37835337459,568457
mark,-1,38671725431,804728
mark,-1,39507359121,548825
mark,-1,40341352795,135837
mark,-1,41184369378,596113
mark,-1,42021313613,751746
mark,-1,42857247970,537893
mark,-1,43691003401,173499
mark,-1,44534024475,570941
mark,-1,45375694980,773309
mark,-1,46211513342,538239
mark,-1,47049438043,137377
mark,-1,47893017882,588545
mark,-1,48728275197,788553
mark,-1,49562584059,523842
mark,-1,50399418212,137865
mark,-1,51241788205,588493
mark,-1,52078764913,671364
mark,-1,52915683507,511757
mark,-1,53753669265,169475
mark,-1,54594120602,631690
mark,-1,55429818264,640797
mark,-1,56268125374,710671
mark,-1,57103465832,570666
mark,-1,57941222598,129808
mark,-1,58785614667,591653
mark,-1,59620955294,731026
mark,-1,60457261904,544277
mark,-1,61290798064,157047
mark,-1,62132713935,629593
mark,-1,62965090577,605806
mark,-1,63803692285,699710
mark,-1,64643721093,542672
mark,-1,65478843281,134194
mark,-1,66322153538,559533
mark,-1,67158866025,724343
mark,-1,67992381859,559780
mark,-1,68825620336,147170
mark,-1,69669835672,561745
mark,-1,70510655261,787225
mark,-1,71350976412,527567
mark,-1,72183751997,134530
mark,-1,73027610190,657950
mark,-1,73860869510,620363
mark,-1,74704552640,721993
mark,-1,75545295866,580807
mark,-1,76386259281,105063
mark,-1,77229971491,579957
mark,-1,78068236538,783726
mark,-1,78907813901,530528
mark,-1,79747443094,147064
mark,-1,80587674589,600953
mark,-1,81423043808,752093
mark,-1,82257323731,540915
mark,-1,83096337053,143673
mark,-1,83937942232,560879
mark,-1,84772990058,761726
mark,-1,85607951197,540524
mark,-1,86445417290,154993
mark,-1,87285716646,657608
mark,-1,88120375657,637364
mark,-1,88959520881,727942
mark,-1,89794867576,583162
mark,-1,90632697720,132163
mark,-1,91477037062,581300
mark,-1,92312367235,739569
mark,-1,93149129757,534080
mark,-1,93982259800,143291
mark,-1,94826029270,655089
mark,-1,95658253286,599521
mark,-1,96496490039,674872
mark,-1,97338099413,543209
mark,-1,98170445587,137705
mark,-1,99014014775,585689
mark,-1,99850685367,778935
mark,-1,100684690684,552201
mark,-1,101518950282,149965
mark,-1,102363484212,599523
mark,-1,103203978893,728781
mark,-1,104044313639,536707
mark,-1,104881211681,180256
mark,-1,105723138040,611690
mark,-1,106550774496,743478
mark,-1,107369421431,535295
mark,-1,108186871940,159789
mark,-1,109008813313,592434
mark,-1,109823434017,634556
mark,-1,110661132035,753196
mark,-1,111500516996,691167
mark,-1,112336908891,161634
mark,-1,113172618743,721694
mark,-1,114008661464,671489
mark,-1,114851565531,696028
mark,-1,115684231838,663370
mark,-1,116516900326,702924
mark,-1,117354648989,555028
mark,-1,118190876330,739297
mark,-1,119024434919,553972
