event_type,gc_thread,start_ns,time_ns
mark,-1,616356564,169679
mark,-1,1088754015,124019
mark,-1,1558770104,132698
mark,-1,2030737847,141623
mark,-1,2504818968,122605
mark,-1,2978664063,127026
mark,-1,3451658523,132060
mark,-1,3923227702,121075
mark,-1,4393736175,135543
mark,-1,4864857952,138806
mark,-1,5336899249,126375
mark,-1,5807942828,129904
mark,-1,6282244051,132120
mark,-1,6754873812,122942
mark,-1,7224847045,131142
mark,-1,7695337593,134377
mark,-1,8165934361,118792
mark,-1,8636470602,131497
