event_type,gc_thread,start_ns,time_ns
mark,-1,241948475,34311
mark,-1,350584741,23145
mark,-1,458926578,22419
mark,-1,567296492,20242
mark,-1,675674848,22924
mark,-1,784035184,26292
mark,-1,892345661,20587
mark,-1,1000647781,20253
mark,-1,1108799469,24083
mark,-1,1216991006,22767
mark,-1,1325158873,22425
mark,-1,1433254725,22100
mark,-1,1541347423,20799
mark,-1,1649398863,20572
mark,-1,1757470382,21459
mark,-1,1865497494,22161
mark,-1,1973560538,20165
mark,-1,2081579557,21064
mark,-1,2189587130,22171
mark,-1,2297586382,21476
mark,-1,2406089201,21975
mark,-1,2514835333,19812
mark,-1,2623517216,26159
mark,-1,2732093202,21415
mark,-1,2840670636,28666
