event_type,gc_thread,start_ns,time_ns
mark,-1,1897244,61292
mark,-1,3104145,31627
mark,-1,4004608,35950
mark,-1,4920390,34511
mark,-1,5783685,23477
mark,-1,6739712,27694
mark,-1,7740542,29916
mark,-1,8644090,29517
mark,-1,9607170,29690
mark,-1,10449730,62955
mark,-1,13630650,35896
mark,-1,15757649,43195
mark,-1,17685314,93806
mark,-1,19607579,32353
mark,-1,21592947,38945
mark,-1,23599133,29207
mark,-1,25654942,41989
mark,-1,27637606,19777
mark,-1,29691053,61505
mark,-1,31741528,26974
mark,-1,33660729,37791
mark,-1,35617880,41159
mark,-1,37599676,28189
mark,-1,39549003,38802
mark,-1,41684330,47187
mark,-1,43596932,75035
mark,-1,45676198,30124
mark,-1,47675749,27819
mark,-1,49639176,42683
mark,-1,51587576,27569
mark,-1,53672916,25877
mark,-1,55714905,59537
mark,-1,57805143,31719
mark,-1,59748376,56734
mark,-1,61771326,19968
mark,-1,63825767,21318
mark,-1,65725448,25818
mark,-1,67711744,29652
mark,-1,69664212,70593
mark,-1,71749594,129969
mark,-1,78305015,62776
mark,-1,82657795,41835
mark,-1,87026504,58208
mark,-1,92205549,60653
mark,-1,96444384,57157
mark,-1,100595405,26257
mark,-1,104824766,48900
mark,-1,109153555,41518
mark,-1,113456516,58802
mark,-1,117543687,35052
mark,-1,121682953,35127
mark,-1,125983609,67096
mark,-1,130262912,51987
mark,-1,134369929,65198
mark,-1,138657051,43143
mark,-1,142946950,42139
mark,-1,147388755,32901
mark,-1,151540514,110974
mark,-1,155871887,45661
mark,-1,160077715,48304
mark,-1,164144856,33740
mark,-1,168395274,92075
mark,-1,172658872,41561
mark,-1,176964419,31162
mark,-1,181068346,35801
mark,-1,185282976,60293
mark,-1,189470551,25400
mark,-1,193801764,31526
mark,-1,197906322,46998
mark,-1,202188996,57344
mark,-1,206436836,48961
mark,-1,210585781,27181
mark,-1,214720296,85673
mark,-1,219039822,32666
mark,-1,223338206,32216
mark,-1,227445557,61560
mark,-1,231598554,35811
mark,-1,235899486,45647
mark,-1,240187014,45298
mark,-1,244376024,46127
mark,-1,249039768,39398
mark,-1,253217333,43937
mark,-1,257440527,35869
mark,-1,261587672,29470
mark,-1,265900370,36899
mark,-1,270102104,35096
mark,-1,274151099,34924
mark,-1,278410387,61064
mark,-1,282737373,50467
mark,-1,287890481,125682
mark,-1,292041483,102298
mark,-1,296245723,62027
mark,-1,300902568,28421
mark,-1,305927459,39286
mark,-1,310039174,49275
mark,-1,314305032,91234
mark,-1,318581550,58307
mark,-1,322744316,18911
mark,-1,326854990,47399
mark,-1,331185240,89442
mark,-1,335487876,68385
mark,-1,339561375,67558
mark,-1,344003019,37631
mark,-1,348347284,26411
mark,-1,352664240,56871
mark,-1,356754921,30173
mark,-1,361263327,43425
mark,-1,365531188,126691
mark,-1,369803519,34520
mark,-1,373952841,31727
mark,-1,378276476,77148
mark,-1,382452290,28748
mark,-1,386572137,32917
mark,-1,390931769,29924
mark,-1,395223541,28052
mark,-1,399542900,26250
mark,-1,403741333,32886
mark,-1,408134402,56670
mark,-1,412798844,31907
mark,-1,418021394,26498
mark,-1,423014756,49328
mark,-1,427661318,56734
mark,-1,431902973,57037
mark,-1,436055816,65710
mark,-1,440172662,29699
mark,-1,444515857,35219
mark,-1,448817282,48941
mark,-1,452898420,35893
mark,-1,457043691,34802
mark,-1,461334238,60958
mark,-1,465702909,58816
mark,-1,469798509,47454
mark,-1,474170965,41913
mark,-1,478358986,48205
mark,-1,482579944,33440
mark,-1,486849229,37353
mark,-1,491174643,38624
mark,-1,495384689,36608
mark,-1,499454684,35163
mark,-1,503717466,60296
mark,-1,507971723,47888
mark,-1,512278986,28244
mark,-1,516403092,19390
mark,-1,520874153,63464
mark,-1,525585359,37990
mark,-1,529884992,33134
mark,-1,534089912,41109
mark,-1,538389005,59769
mark,-1,542774060,21036
mark,-1,546928413,30834
mark,-1,551378941,36853
mark,-1,556436969,35027
mark,-1,560763239,40632
mark,-1,564859309,34163
mark,-1,569001038,121342
mark,-1,573293636,60808
mark,-1,577551099,27759
mark,-1,581734694,42396
mark,-1,586124438,20711
mark,-1,590354002,35283
mark,-1,594550007,38935
mark,-1,598651002,35062
mark,-1,603006556,56860
mark,-1,607305027,65985
mark,-1,611359443,51139
mark,-1,615591362,113320
mark,-1,619829302,33097
mark,-1,624112251,34970
mark,-1,628230478,25569
mark,-1,632481899,42340
mark,-1,636965696,35436
mark,-1,641265311,32250
mark,-1,645374814,51276
mark,-1,649663317,38244
mark,-1,654136986,22828
mark,-1,658398960,30427
mark,-1,662563203,40392
mark,-1,666842845,57807
mark,-1,671704422,42368
mark,-1,675784523,57600
mark,-1,679947810,60416
mark,-1,684636205,95865
mark,-1,688913592,91393
mark,-1,693007988,43044
mark,-1,697291274,20932
mark,-1,702063105,59535
mark,-1,706274850,41038
mark,-1,711251453,21888
mark,-1,716071376,29958
mark,-1,720803541,57787
mark,-1,725385478,48364
mark,-1,730006118,59078
mark,-1,734221278,22857
mark,-1,738690127,74347
mark,-1,743130722,96025
mark,-1,747447201,32195
mark,-1,751694178,32448
mark,-1,756004201,30980
mark,-1,760557286,58012
mark,-1,765219427,36673
mark,-1,769720107,37445
mark,-1,774291670,34803
mark,-1,778447748,57131
mark,-1,782797489,27286
mark,-1,787131190,38329
mark,-1,791209711,45879
mark,-1,795646382,61418
mark,-1,800145017,46785
mark,-1,804417665,25116
mark,-1,808533729,42825
mark,-1,812793788,22656
mark,-1,817776075,57570
mark,-1,821991077,30270
mark,-1,826094114,93694
mark,-1,830570994,43685
mark,-1,834818005,33865
mark,-1,838888082,38443
mark,-1,843116323,94068
mark,-1,847574482,57152
mark,-1,851995155,34831
mark,-1,856110318,30084
mark,-1,860789040,84026
mark,-1,864932545,48759
mark,-1,869284932,38682
mark,-1,873496619,56708
mark,-1,877898350,38707
mark,-1,882104963,22749
mark,-1,886245547,31173
mark,-1,890433011,43194
mark,-1,894707486,56676
mark,-1,899034433,45196
mark,-1,903119351,50853
mark,-1,907268549,62547
mark,-1,911539545,98518
mark,-1,915812218,44224
mark,-1,919906666,47042
mark,-1,924180443,23028
mark,-1,928502199,36126
mark,-1,932810211,39028
mark,-1,937265703,36414
mark,-1,942344407,48689
mark,-1,946570701,64813
mark,-1,950629500,57398
mark,-1,954871469,113808
mark,-1,959096905,33483
mark,-1,963389318,36005
mark,-1,967556925,94673
mark,-1,972193624,58009
mark,-1,976374701,35307
mark,-1,980696774,93202
mark,-1,985009072,29698
mark,-1,989372510,38700
mark,-1,993606904,30368
mark,-1,997767633,27986
mark,-1,1002344442,19616
mark,-1,1007027743,99896
mark,-1,1011395546,45341
mark,-1,1015732103,38828
mark,-1,1020128501,57583
mark,-1,1024429211,54070
mark,-1,1028705705,23731
mark,-1,1032838070,42536
mark,-1,1037114569,20535
mark,-1,1041377195,35568
mark,-1,1045690315,41629
mark,-1,1049871571,35732
mark,-1,1054222260,48649
mark,-1,1058560258,62719
mark,-1,1062620741,57591
mark,-1,1066947844,60506
mark,-1,1071180137,21449
mark,-1,1075480294,25636
mark,-1,1079621306,27511
mark,-1,1083883734,84467
mark,-1,1088033942,56689
mark,-1,1092345961,37296
mark,-1,1096464999,57361
mark,-1,1100779920,67219
mark,-1,1104980741,21436
mark,-1,1109119258,78754
mark,-1,1113276708,74269
mark,-1,1117685385,38360
mark,-1,1122744202,32163
mark,-1,1127242614,50127
mark,-1,1131389108,43475
mark,-1,1135702297,92487
mark,-1,1139993278,28772
mark,-1,1144178047,42795
mark,-1,1149380888,20497
mark,-1,1154114519,36329
mark,-1,1158309816,42059
mark,-1,1162430650,32113
mark,-1,1166778724,48040
mark,-1,1170987552,62573
mark,-1,1175047395,48818
mark,-1,1179611422,114033
mark,-1,1183851942,77764
mark,-1,1188365623,70998
mark,-1,1192500289,26424
mark,-1,1196745905,97581
mark,-1,1200929837,34284
mark,-1,1205261120,36990
mark,-1,1209378384,51097
mark,-1,1213664083,57130
mark,-1,1218131874,59730
mark,-1,1222339075,26173
mark,-1,1226469127,44505
mark,-1,1230784781,35843
mark,-1,1235081691,48349
mark,-1,1239219106,34348
mark,-1,1243517705,35759
mark,-1,1247818826,58384
mark,-1,1252091474,57082
mark,-1,1256181203,45460
mark,-1,1260456034,41501
mark,-1,1264642134,42039
mark,-1,1268876321,31918
mark,-1,1273017206,34893
mark,-1,1277353201,39433
mark,-1,1281566577,35548
mark,-1,1285633511,34787
mark,-1,1289888607,59088
mark,-1,1294195677,49211
mark,-1,1298683636,122769
mark,-1,1302899108,98479
mark,-1,1307106155,33101
mark,-1,1311792285,28142
mark,-1,1316990217,22656
mark,-1,1321131626,47006
mark,-1,1325406999,60096
mark,-1,1329903608,58047
mark,-1,1334415270,26924
mark,-1,1338545013,85390
mark,-1,1342842181,32957
mark,-1,1347382652,32611
mark,-1,1351521270,58728
mark,-1,1355672675,35146
mark,-1,1359971491,104976
mark,-1,1364263279,62474
mark,-1,1368338663,31929
mark,-1,1372636164,45722
mark,-1,1377433794,49466
mark,-1,1381831865,38655
mark,-1,1385973169,33200
mark,-1,1390283404,29722
mark,-1,1394493063,39127
mark,-1,1398573424,32291
mark,-1,1402813919,61863
mark,-1,1407066921,40465
mark,-1,1411379073,29206
mark,-1,1415555654,35682
mark,-1,1419757364,60246
mark,-1,1423952772,31911
mark,-1,1428261029,24416
mark,-1,1432383398,50426
mark,-1,1437007404,58020
mark,-1,1441285678,50965
mark,-1,1445431683,25342
mark,-1,1449908988,44399
mark,-1,1454238763,36429
mark,-1,1458563738,56602
mark,-1,1462629922,63341
mark,-1,1466759861,32114
mark,-1,1471058649,57349
mark,-1,1475347856,47915
mark,-1,1479444473,45925
mark,-1,1483717293,41059
mark,-1,1487899640,43251
mark,-1,1492126340,32392
mark,-1,1496381993,36245
mark,-1,1500715473,39631
mark,-1,1504923703,34445
mark,-1,1509584462,35329
mark,-1,1513830199,57926
mark,-1,1518075242,48070
mark,-1,1522369435,28322
mark,-1,1526491337,21347
mark,-1,1530890076,61689
mark,-1,1535177258,38490
mark,-1,1539497721,32961
mark,-1,1543607730,48774
mark,-1,1547894182,47081
mark,-1,1552131180,89925
mark,-1,1556272182,27280
mark,-1,1561043100,32049
mark,-1,1565602908,28670
mark,-1,1569944912,43040
mark,-1,1574027952,91006
mark,-1,1578171336,33928
mark,-1,1582486344,44611
mark,-1,1586788336,57884
mark,-1,1591030403,47871
mark,-1,1595325208,28616
mark,-1,1599542362,40283
mark,-1,1603787836,34305
mark,-1,1607928385,104101
mark,-1,1612283965,43477
mark,-1,1616493089,57318
mark,-1,1620558975,42470
mark,-1,1624805615,60908
mark,-1,1629055147,57768
mark,-1,1633364532,114639
mark,-1,1637501299,39180
mark,-1,1641708762,56588
mark,-1,1645894587,31952
mark,-1,1650212526,25306
mark,-1,1654699191,47611
mark,-1,1658990223,58227
mark,-1,1663236606,49761
mark,-1,1667704007,26249
mark,-1,1671831093,85498
mark,-1,1676130655,33378
mark,-1,1680592987,32852
mark,-1,1685457659,66603
mark,-1,1689599401,27258
mark,-1,1693888676,42348
mark,-1,1698185904,44828
mark,-1,1702622060,58321
mark,-1,1706895133,31738
mark,-1,1711071316,40509
mark,-1,1715294092,36195
mark,-1,1719431945,36374
mark,-1,1723759091,68677
mark,-1,1727959976,59643
mark,-1,1732023252,26544
mark,-1,1736268528,40390
mark,-1,1740518634,35254
mark,-1,1744824931,24316
mark,-1,1748955769,20490
mark,-1,1753211329,61057
mark,-1,1757365656,36781
mark,-1,1761689101,31044
mark,-1,1765806733,48613
mark,-1,1770096518,47638
mark,-1,1774318100,38068
mark,-1,1778466601,29330
mark,-1,1782604192,21336
mark,-1,1787433336,96415
mark,-1,1791784422,45245
mark,-1,1795881025,38015
mark,-1,1800030900,57073
mark,-1,1804328675,58375
mark,-1,1808595788,23485
mark,-1,1812719479,43600
mark,-1,1816979538,21664
mark,-1,1821255087,32355
mark,-1,1825532227,39224
mark,-1,1829640585,35701
mark,-1,1833993052,57391
mark,-1,1838213807,67095
mark,-1,1842258486,49127
mark,-1,1846490888,111879
mark,-1,1850730923,30260
mark,-1,1855013878,34941
mark,-1,1859128357,26057
mark,-1,1863384166,42335
mark,-1,1867538962,35981
mark,-1,1871835985,32038
mark,-1,1876033898,56834
mark,-1,1880721328,35792
mark,-1,1884929782,36599
mark,-1,1889052834,31915
mark,-1,1893200419,60495
mark,-1,1897491351,27500
mark,-1,1901836756,36902
