event_type,gc_thread,start_ns,time_ns
mark,-1,3636697,41527
mark,-1,6484196,37932
mark,-1,9085689,26941
mark,-1,11705086,33922
mark,-1,14339231,32068
mark,-1,16939316,24953
mark,-1,19541023,18627
mark,-1,22184646,45269
mark,-1,24799001,25790
mark,-1,27446373,32091
mark,-1,30038911,44613
mark,-1,32637930,28050
mark,-1,35280687,28624
mark,-1,37877768,43253
mark,-1,40479071,25943
mark,-1,43128398,35102
mark,-1,45729505,42309
mark,-1,48327763,50280
mark,-1,50913980,44841
mark,-1,53506284,32301
mark,-1,56154896,34904
mark,-1,58731379,24192
mark,-1,61350062,46309
mark,-1,63913212,27340
mark,-1,66556389,32333
mark,-1,69150652,25141
mark,-1,71755676,17949
mark,-1,74399628,42197
mark,-1,77005664,25427
mark,-1,79654593,31592
mark,-1,82247973,43606
mark,-1,84847342,40675
mark,-1,87433825,26969
mark,-1,90088774,25890
mark,-1,92757834,10981
mark,-1,95365582,28110
mark,-1,98011333,31657
mark,-1,100609193,24574
mark,-1,103278176,29087
mark,-1,105846806,33017
mark,-1,108456840,44786
mark,-1,111029849,23499
mark,-1,113670871,31839
mark,-1,116265904,23946
mark,-1,118856972,16713
mark,-1,121501358,41390
mark,-1,124104433,25357
mark,-1,126744556,31398
mark,-1,129338603,41674
mark,-1,131935797,37436
mark,-1,134521725,25625
mark,-1,137178857,25236
mark,-1,139849863,10698
mark,-1,142451033,29203
mark,-1,145103459,33264
mark,-1,147701295,24648
mark,-1,150366413,27844
mark,-1,152936939,32494
mark,-1,155557175,28881
mark,-1,158207348,31906
mark,-1,160802481,24429
mark,-1,163392068,17741
mark,-1,166033145,24472
mark,-1,168699694,26665
mark,-1,171303218,23566
mark,-1,173887527,16924
mark,-1,176532866,23537
mark,-1,179204410,26034
mark,-1,181806354,23809
mark,-1,184394934,16946
mark,-1,187043879,23659
mark,-1,189707515,26092
mark,-1,192305388,23251
mark,-1,194891479,16243
mark,-1,197533594,23071
mark,-1,200202427,26127
mark,-1,202801169,23585
mark,-1,205390165,16685
mark,-1,208033669,24133
mark,-1,210697155,25604
mark,-1,213298768,23213
mark,-1,215887285,16510
mark,-1,218528440,23420
mark,-1,221193847,25824
mark,-1,223791705,23561
mark,-1,226378631,17124
mark,-1,229023291,24172
mark,-1,231694899,25744
mark,-1,234291232,23242
mark,-1,236877828,16284
mark,-1,239522145,23332
mark,-1,242186376,26111
mark,-1,244789131,23623
mark,-1,247381668,17020
mark,-1,250027039,24038
mark,-1,252701432,25830
mark,-1,255298975,22918
mark,-1,257883390,16109
mark,-1,260527423,23047
mark,-1,263198652,25587
mark,-1,265793194,22958
mark,-1,268384352,16759
mark,-1,271026616,23916
mark,-1,273689938,25841
mark,-1,276290051,23138
mark,-1,278877640,15948
mark,-1,281521297,23334
mark,-1,284188919,25833
mark,-1,286788026,23161
mark,-1,289377605,16892
mark,-1,292021282,23547
mark,-1,294688399,25725
mark,-1,297289668,23154
mark,-1,299879363,15692
mark,-1,302517370,22863
mark,-1,305181481,25412
mark,-1,307781812,23283
mark,-1,310370242,16818
mark,-1,313017403,23911
mark,-1,315687603,25684
mark,-1,318281443,23211
mark,-1,320871551,15944
mark,-1,323516388,22782
mark,-1,326180747,25486
mark,-1,328783920,23510
mark,-1,331375855,17299
mark,-1,334015458,23896
