event_type,gc_thread,start_ns,time_ns
mark,-1,1471208,1311589
mark,-1,4451094,2672374
mark,-1,10421118,2388774
mark,-1,19207718,22095
mark,-1,22952096,16954
mark,-1,26859074,15757
mark,-1,30358877,13916
mark,-1,34185057,16076
mark,-1,37912864,12407
mark,-1,41680748,20389
mark,-1,45520510,16402
mark,-1,49187423,48569
mark,-1,53166074,39281
mark,-1,56831883,33619
mark,-1,60759992,125889
mark,-1,64570188,36458
mark,-1,68368336,520646
mark,-1,85637445,1461760
mark,-1,119772274,20991
mark,-1,136609514,23474
mark,-1,153467792,69951
mark,-1,170384412,902604
mark,-1,208031431,22774
mark,-1,232241350,132485
mark,-1,255970975,24162
mark,-1,279858844,19255
mark,-1,304000188,348673
mark,-1,327809822,15546
mark,-1,351881432,43311
mark,-1,375997115,1619544
mark,-1,430147279,32942
mark,-1,464737735,3214576
mark,-1,541951831,66270
mark,-1,590246094,28829
mark,-1,638598805,30899
mark,-1,687764466,205846
mark,-1,736638484,228613
mark,-1,785378871,33656
mark,-1,834082832,34944
mark,-1,882996007,20347
mark,-1,931755271,279724
mark,-1,980632295,41729
mark,-1,1029185893,18969
mark,-1,1077875496,20673
mark,-1,1126847124,317968
mark,-1,1175350435,26697
mark,-1,1223771282,43033
mark,-1,1272463247,25993
mark,-1,1321433802,693185
mark,-1,1370259209,23500
mark,-1,1418668423,33277
mark,-1,1467542671,35514
mark,-1,1516283682,276246
mark,-1,1564872553,102295
mark,-1,1613473769,29948
mark,-1,1662296827,16929
mark,-1,1711121430,1942145
mark,-1,1761039637,102966
mark,-1,1809603160,25894
mark,-1,1858076742,25219
mark,-1,1907158751,1090063
mark,-1,1956410064,116882
mark,-1,2004841381,27277
mark,-1,2053295953,22274
mark,-1,2102474030,887001
mark,-1,2151378408,109844
mark,-1,2199729853,28680
mark,-1,2248166682,21131
mark,-1,2297392239,2217513
mark,-1,2346919724,60221
mark,-1,2395385594,32375
mark,-1,2443880622,30678
mark,-1,2493014072,196797
mark,-1,2541721942,259067
mark,-1,2590163435,36269
mark,-1,2638623827,33258
mark,-1,2687191336,18318
mark,-1,2735619161,282195
mark,-1,2784151320,35250
mark,-1,2832513879,21415
mark,-1,2880955605,25733
mark,-1,2929659789,306801
mark,-1,2978029904,25398
mark,-1,3026204558,20694
mark,-1,3074708550,34872
mark,-1,3123515663,669272
mark,-1,3172181375,25551
mark,-1,3220452570,34202
mark,-1,3268994579,34306
mark,-1,3317613475,291374
mark,-1,3366035282,113976
mark,-1,3414470183,33320
mark,-1,3463056768,16648
mark,-1,3511605845,1341038
mark,-1,3560610163,102522
mark,-1,3608939696,30820
mark,-1,3657170406,21846
mark,-1,3705850603,1056624
mark,-1,3754783022,118867
mark,-1,3803021704,32452
mark,-1,3851178345,20466
mark,-1,3899989135,823642
mark,-1,3948638244,112661
mark,-1,3996917781,31643
mark,-1,4045466840,29486
mark,-1,4094742780,1758509
mark,-1,4143921912,60328
mark,-1,4192383822,25181
mark,-1,4240850097,28120
mark,-1,4290013829,205576
mark,-1,4338811822,234147
mark,-1,4387425162,35741
mark,-1,4435900257,35866
mark,-1,4484589768,17160
mark,-1,4533093051,289238
mark,-1,4581712492,36587
mark,-1,4630046939,16862
mark,-1,4678598312,16886
mark,-1,4727448512,270723
mark,-1,4775862969,20653
mark,-1,4824098002,18945
mark,-1,4872652492,29562
mark,-1,4921411024,715756
mark,-1,4970141103,22978
mark,-1,5018393321,30511
mark,-1,5066965662,28868
mark,-1,5115524079,258580
mark,-1,5163888802,102800
mark,-1,5212280080,24927
mark,-1,5260767689,16183
mark,-1,5309293822,1467507
mark,-1,5358388970,118074
mark,-1,5406797168,27101
mark,-1,5455151763,15674
mark,-1,5503780623,1039242
mark,-1,5552696319,117079
mark,-1,5600903311,26454
mark,-1,5649081824,17320
mark,-1,5697851503,1018039
mark,-1,5746613246,105395
mark,-1,5794719354,24015
mark,-1,5842885900,21179
mark,-1,5891903742,2801215
mark,-1,6000572553,23246
mark,-1,6069746653,35881
mark,-1,6138972430,21159
mark,-1,6208309788,31067
mark,-1,6277486847,42276
mark,-1,6346915071,23259
mark,-1,6415999272,62680
mark,-1,6485445952,34043
mark,-1,6554699799,85745
mark,-1,6624135618,77431
mark,-1,6693462375,253701
mark,-1,6762850318,236747
mark,-1,6832362637,1255928
mark,-1,6901824395,22007
sweep,-1,6901858029,524746
mark,-1,6970639728,26926
mark,-1,7039863009,41422
mark,-1,7108822348,32620
mark,-1,7178022942,23666
mark,-1,7247165901,33636
mark,-1,7316123462,28554
mark,-1,7385309467,65847
mark,-1,7454332697,27256
mark,-1,7523468273,81912
mark,-1,7592477777,442839
mark,-1,7661936001,256264
mark,-1,7730953646,1702533
mark,-1,7800968490,2809581
mark,-1,7871938072,21114
mark,-1,7940820276,23037
mark,-1,8009743079,20098
mark,-1,8078825796,29522
mark,-1,8147739375,42003
mark,-1,8216977100,35271
mark,-1,8285834294,68183
mark,-1,8354982340,31336
mark,-1,8423912919,77470
mark,-1,8493028009,83274
mark,-1,8562105446,291435
mark,-1,8631220467,253957
mark,-1,8700412071,2005076
mark,-1,8770233186,20539
sweep,-1,8770266554,385409
mark,-1,8838766567,26474
mark,-1,8907749652,40192
mark,-1,8976501555,24060
mark,-1,9045434962,39020
mark,-1,9114371618,27365
mark,-1,9183331493,18062
mark,-1,9252833857,42656
mark,-1,9322223887,27085
mark,-1,9391813375,74255
mark,-1,9461142670,462014
mark,-1,9531109223,253459
mark,-1,9600640527,1530055
mark,-1,9671019575,1573796
