event_type,gc_thread,start_ns,time_ns
mark,-1,2013967,17247
mark,-1,3217993,12073
mark,-1,4258975,9985
mark,-1,5298873,10494
mark,-1,6351966,8712
mark,-1,7402010,8246
mark,-1,8449542,8900
mark,-1,9485576,8835
mark,-1,10521212,8001
mark,-1,11552795,8856
mark,-1,12605804,9170
mark,-1,13641249,7948
mark,-1,14670858,10267
mark,-1,15707593,7760
mark,-1,16751175,7976
mark,-1,17788092,7514
mark,-1,18820181,8378
mark,-1,19855199,7923
mark,-1,20902184,7632
mark,-1,21937034,7615
mark,-1,22969757,8125
mark,-1,24005648,6829
mark,-1,25051128,7804
mark,-1,26082204,7559
mark,-1,27116485,7717
mark,-1,28149941,7783
mark,-1,29187179,8006
mark,-1,30218813,9329
mark,-1,31252790,7655
mark,-1,32285729,7903
mark,-1,33324051,7569
mark,-1,34361468,7275
mark,-1,35396319,7381
mark,-1,36429900,10200
mark,-1,37464670,7731
mark,-1,38494339,8075
mark,-1,39526715,7449
mark,-1,40558457,7684
mark,-1,41589953,7688
mark,-1,42620681,7344
mark,-1,43657459,7300
mark,-1,44697546,7022
mark,-1,45730062,7345
mark,-1,46760550,7225
mark,-1,47794806,7908
mark,-1,48829122,7737
mark,-1,49861667,7480
mark,-1,50896817,7180
mark,-1,51941937,6855
mark,-1,52982922,7929
mark,-1,54013591,8198
mark,-1,55047864,7599
mark,-1,56078619,7438
mark,-1,57121086,7549
mark,-1,58163291,7670
mark,-1,59193586,7577
mark,-1,60225034,7593
mark,-1,61270099,7338
mark,-1,62315979,7440
mark,-1,63344014,7974
mark,-1,64377841,7700
mark,-1,65411097,7566
mark,-1,66443658,7294
mark,-1,67493861,6907
mark,-1,68530123,7156
mark,-1,69563016,7549
mark,-1,70596032,7925
mark,-1,71628603,7277
mark,-1,72672055,6985
mark,-1,73717799,7732
mark,-1,74763075,6579
mark,-1,75804256,7174
mark,-1,76844692,7048
mark,-1,77881213,7272
mark,-1,78913014,8052
mark,-1,79943122,7764
mark,-1,80981161,6983
mark,-1,82009711,7345
mark,-1,83040893,7454
mark,-1,84077026,6665
mark,-1,85119894,7261
mark,-1,86158502,7143
mark,-1,87197541,7295
mark,-1,88227904,7090
mark,-1,89270092,7345
mark,-1,90304240,6958
mark,-1,91334016,7566
mark,-1,92365114,7740
mark,-1,93399315,7837
mark,-1,94433461,7161
mark,-1,95463017,8053
mark,-1,96498089,7717
mark,-1,97541464,6997
mark,-1,98576385,7795
mark,-1,99609403,7399
mark,-1,100646975,7355
mark,-1,101694988,7439
mark,-1,102731528,7473
mark,-1,103768728,7336
mark,-1,104814022,7520
mark,-1,105848538,7507
mark,-1,106891412,6963
mark,-1,107939425,7490
mark,-1,108986956,7339
mark,-1,110019012,7238
mark,-1,111050135,7708
mark,-1,112082428,7463
mark,-1,113119455,7285
mark,-1,114161072,6934
mark,-1,115198681,7839
mark,-1,116239118,7170
mark,-1,117278622,7671
mark,-1,118311815,7587
mark,-1,119353360,7123
mark,-1,120393139,6710
mark,-1,121434171,7759
mark,-1,122470368,7560
mark,-1,123512077,6806
mark,-1,124553352,7883
mark,-1,125600172,7138
mark,-1,126632862,7438
mark,-1,127662560,7602
mark,-1,128696438,7457
mark,-1,129728322,7278
mark,-1,130764427,6933
mark,-1,131798174,7152
mark,-1,132834977,6606
mark,-1,133881557,7590
mark,-1,134917240,7927
mark,-1,135957201,7241
mark,-1,136990668,7495
mark,-1,138020227,7750
mark,-1,139063575,6995
mark,-1,140096941,7241
mark,-1,141132526,7997
mark,-1,142160410,7051
mark,-1,143193870,7209
mark,-1,144226676,7427
mark,-1,145259558,7428
mark,-1,146289744,8532
mark,-1,147331093,7440
mark,-1,148372742,7270
mark,-1,149414023,6833
mark,-1,150447259,7745
mark,-1,151488107,6916
mark,-1,152537806,7219
mark,-1,153570716,7756
mark,-1,154603394,7280
mark,-1,155638087,6954
mark,-1,156674894,7486
mark,-1,157713263,6974
mark,-1,158750689,6625
mark,-1,159784561,7371
mark,-1,160819555,7144
mark,-1,161849741,7230
mark,-1,162883161,7238
mark,-1,163917227,7703
mark,-1,164965034,6697
mark,-1,166001028,7372
mark,-1,167031379,7476
mark,-1,168064142,7387
mark,-1,169102175,7108
mark,-1,170145733,7800
mark,-1,171175437,7458
mark,-1,172208220,7308
mark,-1,173242535,7654
mark,-1,174276862,7267
mark,-1,175313358,7390
mark,-1,176344810,7299
mark,-1,177383219,6590
mark,-1,178426347,7450
mark,-1,179477714,6947
mark,-1,180532363,7576
mark,-1,181562155,7238
mark,-1,182594464,7934
mark,-1,183625245,7344
mark,-1,184659559,7278
mark,-1,185688635,7534
mark,-1,186720948,7370
mark,-1,187752711,7369
mark,-1,188787092,7152
mark,-1,189821110,7367
mark,-1,190858237,6827
mark,-1,191892873,7459
mark,-1,192938081,7113
mark,-1,193977061,7269
mark,-1,195013256,6851
mark,-1,196042858,7644
mark,-1,197079075,7146
mark,-1,198111457,7378
mark,-1,199152286,6926
mark,-1,200197152,7155
mark,-1,201237134,7298
mark,-1,202281575,8049
mark,-1,203320268,7019
