event_type,gc_thread,start_ns,time_ns
mark,-1,1697471,21066
mark,-1,2622788,14815
mark,-1,3380957,11252
mark,-1,4134493,10305
mark,-1,4879527,10814
mark,-1,5633300,9992
mark,-1,6379410,10098
mark,-1,7136868,10582
mark,-1,7885429,10733
mark,-1,8637196,9466
mark,-1,9380541,10222
mark,-1,10129982,10566
mark,-1,10886851,9756
mark,-1,11635029,9484
mark,-1,12385689,9176
mark,-1,13130605,9984
mark,-1,13881869,8798
mark,-1,14640016,9806
mark,-1,15389626,9140
mark,-1,16136798,10233
mark,-1,16887173,10310
mark,-1,17629835,8533
mark,-1,18376929,9086
mark,-1,19128517,9318
mark,-1,19875605,9563
mark,-1,20622168,9041
mark,-1,21366882,9044
mark,-1,22119972,10477
mark,-1,22869096,9652
mark,-1,23619908,10053
mark,-1,24364494,9265
mark,-1,25116278,9449
mark,-1,25859677,8919
mark,-1,26620869,10381
mark,-1,27371466,9933
mark,-1,28122644,8530
mark,-1,28867043,9679
mark,-1,29615511,10183
mark,-1,30367497,9701
mark,-1,31118993,9060
mark,-1,31865971,9234
mark,-1,32612360,10443
mark,-1,33363654,8929
mark,-1,34105335,9279
mark,-1,34856990,10326
mark,-1,35605092,10128
mark,-1,36357455,9290
mark,-1,37102951,10285
mark,-1,37853142,10007
mark,-1,38605220,9635
mark,-1,39353363,9340
mark,-1,40105011,9065
mark,-1,40853173,10742
mark,-1,41605867,9152
mark,-1,42350078,9069
mark,-1,43103943,9513
mark,-1,43851897,9711
mark,-1,44603632,8857
mark,-1,45351691,8314
mark,-1,46098013,10260
mark,-1,46849756,9345
mark,-1,47597277,9135
mark,-1,48346619,9342
mark,-1,49091804,9463
mark,-1,49843416,8666
mark,-1,50599681,9198
mark,-1,51348992,8973
mark,-1,52096316,9655
mark,-1,52845907,9827
mark,-1,53588718,8468
mark,-1,54335723,9204
mark,-1,55089795,9949
mark,-1,55838775,9839
mark,-1,56585058,9221
mark,-1,57329599,9476
mark,-1,58080590,10237
mark,-1,58834798,9190
mark,-1,59586009,9119
mark,-1,60329058,9148
mark,-1,61078024,8826
mark,-1,61819945,9183
mark,-1,62573381,9884
mark,-1,63319439,9939
mark,-1,64068754,9607
mark,-1,64813792,8969
mark,-1,65561528,9765
mark,-1,66311047,10127
mark,-1,67061936,9838
mark,-1,67809089,8510
mark,-1,68554025,10507
mark,-1,69307217,9531
mark,-1,70052337,9737
mark,-1,70809606,9875
mark,-1,71556562,9695
mark,-1,72308673,9605
mark,-1,73052007,9333
mark,-1,73800235,10467
mark,-1,74554282,10004
mark,-1,75302108,8390
mark,-1,76052467,9310
mark,-1,76796058,9814
mark,-1,77547005,9230
mark,-1,78289327,9121
mark,-1,79041368,9587
mark,-1,79790650,10222
mark,-1,80543427,9036
mark,-1,81286842,9474
mark,-1,82038094,10171
mark,-1,82789303,10556
mark,-1,83538234,8738
mark,-1,84284482,8749
mark,-1,85028185,10480
mark,-1,85778075,9767
mark,-1,86528862,8771
mark,-1,87278513,9113
mark,-1,88025592,10076
mark,-1,88774552,10000
mark,-1,89520099,9170
mark,-1,90273741,9646
mark,-1,91024224,10444
mark,-1,91775636,8590
mark,-1,92521026,9383
mark,-1,93268042,9209
mark,-1,94017033,9815
mark,-1,94764721,10022
mark,-1,95514923,9150
mark,-1,96257427,9049
mark,-1,97007107,9265
mark,-1,97751483,9135
mark,-1,98504462,9062
mark,-1,99249828,9418
mark,-1,100000594,9358
mark,-1,100748825,9363
mark,-1,101494286,9623
mark,-1,102245776,9152
mark,-1,102999560,9709
mark,-1,103748427,9293
mark,-1,104493382,10371
mark,-1,105245778,9422
mark,-1,105988316,9216
mark,-1,106740559,9942
mark,-1,107487474,9522
mark,-1,108237691,9762
mark,-1,108980676,8805
mark,-1,109730868,9603
mark,-1,110484507,10363
mark,-1,111230190,9748
mark,-1,111977507,9360
mark,-1,112721755,9921
mark,-1,113473061,9801
mark,-1,114217462,10063
mark,-1,114970463,9811
mark,-1,115717795,9228
mark,-1,116466879,8964
mark,-1,117210313,9122
mark,-1,117958927,8677
mark,-1,118708021,10593
mark,-1,119455589,10285
mark,-1,120206670,9414
mark,-1,120950826,9942
mark,-1,121701437,10146
mark,-1,122448436,13547
mark,-1,123200960,9832
mark,-1,123949084,9949
mark,-1,124703009,9258
mark,-1,125447832,8837
mark,-1,126195878,9304
mark,-1,126948124,9457
mark,-1,127697733,9165
mark,-1,128442626,9146
mark,-1,129189919,8848
mark,-1,129943143,9036
mark,-1,130693592,8734
mark,-1,131443604,9250
mark,-1,132187829,9092
mark,-1,132939486,9364
mark,-1,133681708,9299
mark,-1,134432255,9458
mark,-1,135183384,8995
mark,-1,135931075,8099
mark,-1,136675073,8990
mark,-1,137418974,10408
mark,-1,138168789,9637
mark,-1,138919916,9230
mark,-1,139672606,8986
mark,-1,140415235,10489
mark,-1,141164606,8863
mark,-1,141905020,8349
mark,-1,142658425,10886
mark,-1,143406117,9621
mark,-1,144158612,9373
mark,-1,144903128,8932
mark,-1,145650704,9554
mark,-1,146400220,10195
mark,-1,147151662,10306
mark,-1,147901994,9716
mark,-1,148645418,9813
mark,-1,149397116,9792
mark,-1,150140619,9867
mark,-1,150895992,9432
mark,-1,151640991,10544
mark,-1,152390274,9312
mark,-1,153133639,9254
mark,-1,153880766,9920
mark,-1,154634880,10124
mark,-1,155383432,9260
mark,-1,156131856,9958
mark,-1,156875802,10216
mark,-1,157625828,9728
mark,-1,158371477,10199
mark,-1,159122510,10308
mark,-1,159871027,10250
mark,-1,160623407,9440
mark,-1,161366592,9123
mark,-1,162113092,9161
mark,-1,162863409,9355
mark,-1,163610255,8875
mark,-1,164357613,9199
mark,-1,165103843,9118
mark,-1,165854236,9369
mark,-1,166605696,9265
mark,-1,167354966,9287
mark,-1,168099011,9277
mark,-1,168850084,8381
mark,-1,169590902,8506
mark,-1,170337341,10274
mark,-1,171090821,9656
mark,-1,171840960,9802
mark,-1,172588513,8766
mark,-1,173332821,9634
mark,-1,174081222,10332
mark,-1,174830087,9459
mark,-1,175579295,9551
mark,-1,176322288,10581
mark,-1,177074305,8624
mark,-1,177815428,8904
mark,-1,178572042,9625
mark,-1,179322154,9239
mark,-1,180071717,9438
mark,-1,180816473,8967
mark,-1,181562479,10404
mark,-1,182313372,10383
mark,-1,183065852,8780
mark,-1,183815635,9709
mark,-1,184560394,9203
mark,-1,185310692,9589
mark,-1,186052699,9162
mark,-1,186805845,9726
mark,-1,187551004,10089
mark,-1,188303249,9742
mark,-1,189049474,9433
mark,-1,189795858,10403
mark,-1,190548859,10776
mark,-1,191297769,8729
mark,-1,192044117,9182
mark,-1,192788234,10012
mark,-1,193539643,9757
mark,-1,194284997,9367
mark,-1,195040011,9558
mark,-1,195789099,9938
mark,-1,196538552,8493
mark,-1,197280945,9305
mark,-1,198028344,9372
mark,-1,198777530,10402
mark,-1,199527382,8775
mark,-1,200275612,9182
mark,-1,201020257,8854
mark,-1,201771571,9536
mark,-1,202524559,9040
mark,-1,203274273,9165
mark,-1,204018468,9160
mark,-1,204768850,8206
mark,-1,205511888,8734
mark,-1,206258528,9901
mark,-1,207012757,9644
mark,-1,207761413,9063
mark,-1,208508293,8705
mark,-1,209256269,9715
mark,-1,210007978,9947
mark,-1,210759472,9093
mark,-1,211507680,9588
mark,-1,212252512,10264
mark,-1,213004611,8746
mark,-1,213746110,9179
mark,-1,214500652,9218
mark,-1,215246160,10866
mark,-1,215996510,9679
mark,-1,216741151,8956
mark,-1,217489929,10150
mark,-1,218239246,10204
mark,-1,218992296,8947
mark,-1,219740481,9830
mark,-1,220486885,9597
mark,-1,221238188,8979
mark,-1,221980000,8890
mark,-1,222731533,9412
mark,-1,223476808,9877
mark,-1,224227808,9564
mark,-1,224972224,8778
mark,-1,225718914,10117
mark,-1,226471935,10602
mark,-1,227220372,8766
mark,-1,227967858,8936
mark,-1,228712305,10509
mark,-1,229465356,9701
mark,-1,230212996,9281
mark,-1,230965257,9388
mark,-1,231712324,9994
mark,-1,232460230,8584
mark,-1,233201552,9381
mark,-1,233953228,9561
mark,-1,234702855,10439
mark,-1,235453086,8713
mark,-1,236198500,9240
mark,-1,236944922,9066
mark,-1,237695510,9726
mark,-1,238444801,9004
mark,-1,239195961,9415
mark,-1,239940748,9017
mark,-1,240691856,8378
mark,-1,241435217,8510
mark,-1,242181996,9984
mark,-1,242934436,9315
mark,-1,243683084,9176
mark,-1,244432972,8993
mark,-1,245179108,9871
mark,-1,245930807,9640
mark,-1,246680878,9291
mark,-1,247428867,9138
mark,-1,248172076,9706
mark,-1,248924015,8811
mark,-1,249666293,9011
mark,-1,250416994,9272
mark,-1,251169273,11135
mark,-1,251918884,9865
mark,-1,252663730,9226
mark,-1,253412749,10373
mark,-1,254163322,10463
mark,-1,254919142,9464
mark,-1,255669022,9728
mark,-1,256416902,9514
mark,-1,257169313,9452
mark,-1,257913756,9075
mark,-1,258666899,9361
mark,-1,259412380,10044
mark,-1,260162449,9655
mark,-1,260908404,9108
mark,-1,261655553,10538
mark,-1,262405925,10784
mark,-1,263158996,9349
mark,-1,263907212,9113
mark,-1,264652709,10682
mark,-1,265404858,10000
mark,-1,266150000,9263
mark,-1,266903055,9716
mark,-1,267650387,10221
mark,-1,268401219,8382
mark,-1,269143658,9185
mark,-1,269895527,9354
mark,-1,270645235,10617
mark,-1,271395696,8959
mark,-1,272143465,9229
mark,-1,272889648,8896
mark,-1,273641331,9780
mark,-1,274389254,8945
mark,-1,275140226,9272
mark,-1,275884077,9370
mark,-1,276635274,8131
mark,-1,277379122,9022
mark,-1,278125267,10228
mark,-1,278878243,9727
mark,-1,279627499,8856
mark,-1,280374616,9179
mark,-1,281122460,9978
mark,-1,281875046,9807
mark,-1,282626037,8968
mark,-1,283374022,9226
mark,-1,284118580,9828
mark,-1,284871260,8643
mark,-1,285615346,9240
mark,-1,286366485,9516
mark,-1,287117981,10450
mark,-1,287868243,9648
mark,-1,288613503,9364
mark,-1,289363570,10311
mark,-1,290114407,10187
mark,-1,290870197,9397
mark,-1,291619877,9462
mark,-1,292367665,9384
mark,-1,293119677,9205
mark,-1,293864043,8981
mark,-1,294618410,9630
mark,-1,295368568,9932
mark,-1,296120510,8449
mark,-1,296862882,9565
mark,-1,297614195,10132
mark,-1,298364667,10153
mark,-1,299117135,9697
mark,-1,299865098,9076
mark,-1,300610182,10152
mark,-1,301364051,9729
mark,-1,302111297,9123
mark,-1,302865259,9665
mark,-1,303612267,10366
mark,-1,304362534,8429
mark,-1,305105179,9612
mark,-1,305856907,9515
mark,-1,306606822,10816
mark,-1,307356944,9330
mark,-1,308103666,9569
mark,-1,308848148,9137
mark,-1,309598602,9563
mark,-1,310345728,8736
mark,-1,311095736,9086
mark,-1,311840442,8823
mark,-1,312591850,8171
mark,-1,313333127,8672
mark,-1,314079161,10243
mark,-1,314833654,9707
mark,-1,315582507,9176
mark,-1,316331757,8982
mark,-1,317080131,10075
mark,-1,317832559,9786
mark,-1,318584227,8965
mark,-1,319331048,9227
mark,-1,320077395,10137
mark,-1,320828653,9320
mark,-1,321571206,8972
mark,-1,322321209,9756
mark,-1,323071515,10991
mark,-1,323821132,9591
mark,-1,324566102,9414
mark,-1,325315312,10345
mark,-1,326065740,10311
mark,-1,326820505,9242
mark,-1,327570964,9850
mark,-1,328317676,9190
mark,-1,329070484,8662
mark,-1,329811271,9053
mark,-1,330563430,9305
mark,-1,331310094,10193
mark,-1,332061882,9414
mark,-1,332807722,9219
mark,-1,333555486,10317
mark,-1,334303452,10428
mark,-1,335055519,9270
mark,-1,335803149,9700
mark,-1,336550560,10600
mark,-1,337302551,9593
mark,-1,338047473,9326
mark,-1,338800435,9658
mark,-1,339547516,10085
mark,-1,340297229,8637
mark,-1,341039621,9175
mark,-1,341788164,9472
mark,-1,342537007,10051
mark,-1,343286310,8542
mark,-1,344033673,9177
mark,-1,344782113,9474
mark,-1,345533930,9368
mark,-1,346277825,9274
mark,-1,347030357,9361
mark,-1,347777258,9403
mark,-1,348527162,9254
mark,-1,349271587,8796
mark,-1,350024266,9715
mark,-1,350775799,9560
mark,-1,351524059,8961
mark,-1,352271840,8980
mark,-1,353016878,9867
mark,-1,353766261,9730
mark,-1,354516836,9215
mark,-1,355265945,8835
mark,-1,356009418,10044
mark,-1,356762745,8291
mark,-1,357505356,8870
mark,-1,358257756,8751
mark,-1,359009263,9351
mark,-1,359758047,9668
mark,-1,360503589,8647
mark,-1,361250576,9921
mark,-1,362001202,10299
mark,-1,362757095,9134
mark,-1,363506461,9965
mark,-1,364253840,9097
mark,-1,365005465,9028
mark,-1,365749219,8575
mark,-1,366501127,9641
mark,-1,367247282,10190
mark,-1,367998990,8487
mark,-1,368742778,9801
mark,-1,369493727,10558
mark,-1,370243460,10430
mark,-1,370995704,9324
mark,-1,371743531,9476
mark,-1,372487329,9917
mark,-1,373237953,9738
mark,-1,373982477,9850
mark,-1,374735092,9617
mark,-1,375482434,9910
mark,-1,376232946,9090
mark,-1,376974613,9829
mark,-1,377723391,9519
mark,-1,378475689,9504
mark,-1,379224141,9204
mark,-1,379970461,8695
mark,-1,380717642,9748
mark,-1,381470505,9433
mark,-1,382216848,9224
mark,-1,382968969,9203
mark,-1,383714199,9717
mark,-1,384466177,9217
mark,-1,385209612,9537
mark,-1,385962421,9039
mark,-1,386713224,9485
mark,-1,387462289,9206
mark,-1,388208304,8736
mark,-1,388954120,10329
mark,-1,389704604,10081
mark,-1,390450996,12277
mark,-1,391202940,9179
mark,-1,391948078,9995
mark,-1,392700376,8761
mark,-1,393441738,8934
mark,-1,394193931,9032
mark,-1,394943978,9509
mark,-1,395693385,9553
mark,-1,396436445,9539
mark,-1,397181719,8584
mark,-1,397928382,10557
mark,-1,398681321,9030
mark,-1,399431428,9645
mark,-1,400175855,9130
mark,-1,400925527,9500
mark,-1,401669381,9202
mark,-1,402416591,9146
mark,-1,403164540,10375
mark,-1,403916191,9377
mark,-1,404661882,9302
mark,-1,405408452,10117
mark,-1,406156083,10665
mark,-1,406908055,9446
mark,-1,407657692,9429
mark,-1,408403209,10366
