event_type,gc_thread,start_ns,time_ns
mark,-1,2131116,59313
mark,-1,3188265,23170
mark,-1,4159814,37293
mark,-1,5113488,30404
mark,-1,6118523,43068
mark,-1,7073374,35441
mark,-1,8074045,27131
mark,-1,9094688,31813
mark,-1,10008565,34508
mark,-1,10992512,26656
mark,-1,11977525,37248
mark,-1,12958133,21255
mark,-1,14009827,28491
mark,-1,14957493,25002
mark,-1,15903836,84872
mark,-1,19050415,82220
mark,-1,21086035,56543
mark,-1,23042942,41708
mark,-1,25166691,47101
mark,-1,27097809,42704
mark,-1,29146648,88644
mark,-1,31187338,25088
mark,-1,33115288,27767
mark,-1,35119194,47457
mark,-1,37076198,28314
mark,-1,39176193,27723
mark,-1,41169786,42773
mark,-1,43157054,56382
mark,-1,45254085,28698
mark,-1,47196869,32479
mark,-1,49160456,40545
mark,-1,51143392,22322
mark,-1,53143980,57098
mark,-1,55241225,26705
mark,-1,57211922,32073
mark,-1,59253895,95515
mark,-1,61278265,84529
mark,-1,63169803,27732
mark,-1,65199173,39598
mark,-1,67165034,94190
mark,-1,69257008,57963
mark,-1,71261032,56243
mark,-1,73612774,59189
mark,-1,75687573,29791
mark,-1,77620647,31175
mark,-1,79573243,38899
mark,-1,81565293,22393
mark,-1,83556811,56643
mark,-1,85657228,26371
mark,-1,87626569,32133
mark,-1,89679703,34055
mark,-1,91696728,29483
mark,-1,93582684,28560
mark,-1,95618466,38710
mark,-1,97600450,48793
mark,-1,99659359,20967
mark,-1,101654325,43612
mark,-1,103683175,40621
mark,-1,105734982,81223
mark,-1,107690209,41675
mark,-1,109642019,86599
mark,-1,111626410,90387
mark,-1,113655507,58388
mark,-1,115732952,34164
mark,-1,117688784,86738
mark,-1,119733212,42908
mark,-1,121750952,89104
mark,-1,123642788,57404
mark,-1,125673080,36136
mark,-1,127634952,59557
mark,-1,129707569,20143
mark,-1,131692703,37692
mark,-1,133727489,92985
mark,-1,135790338,82086
mark,-1,137723940,92597
mark,-1,139688885,36039
mark,-1,141676102,21412
mark,-1,143674981,57818
mark,-1,145774748,26158
mark,-1,147741013,89618
mark,-1,149783229,39230
mark,-1,151808575,94671
mark,-1,153713104,26968
mark,-1,155742882,40471
mark,-1,157716152,96319
mark,-1,159814067,25681
mark,-1,161806718,86871
mark,-1,163798083,34774
mark,-1,165893889,43700
mark,-1,167811316,25106
mark,-1,169792583,20902
mark,-1,171775046,30842
mark,-1,173778845,39876
mark,-1,175868874,26815
mark,-1,177829141,32179
mark,-1,179881236,56685
mark,-1,181888221,60276
mark,-1,183748344,19881
mark,-1,185794657,40704
mark,-1,187766931,56908
mark,-1,189830129,81241
mark,-1,191823729,33511
mark,-1,193869351,36208
mark,-1,195924286,56496
mark,-1,197867307,40786
mark,-1,199812297,90203
mark,-1,201788829,81995
mark,-1,203812271,56902
mark,-1,205908970,34407
mark,-1,207864212,86135
mark,-1,209920911,41704
mark,-1,211930751,33119
mark,-1,213817499,81483
mark,-1,215865797,42484
mark,-1,217861160,93879
mark,-1,219927109,25947
mark,-1,221916752,40078
mark,-1,223938017,45676
mark,-1,226006376,43808
mark,-1,227927746,38895
mark,-1,229886917,25568
mark,-1,231864287,84676
mark,-1,233894727,57474
mark,-1,235988006,58827
mark,-1,237933053,89494
mark,-1,239980063,30103
mark,-1,241998387,28299
mark,-1,243880110,27836
mark,-1,245926679,37835
mark,-1,247904380,48135
mark,-1,249963216,20306
mark,-1,251950963,39630
mark,-1,253989585,38318
mark,-1,256034837,27533
mark,-1,257998878,97645
mark,-1,259949699,57657
mark,-1,261915197,30191
mark,-1,263939236,38176
mark,-1,266028007,34865
mark,-1,267973981,30006
mark,-1,270048659,58121
mark,-1,272032970,48644
mark,-1,273906596,31224
mark,-1,275940657,42160
mark,-1,277936482,42126
mark,-1,279985416,25564
mark,-1,281987623,42819
mark,-1,284038785,32210
mark,-1,286077113,22144
mark,-1,288048662,44817
