event_type,gc_thread,start_ns,time_ns
mark,-1,3035644,48354
mark,-1,5039616,25611
mark,-1,6984357,23101
mark,-1,8925060,25716
mark,-1,10857453,60766
mark,-1,12742743,50019
mark,-1,14630170,25244
mark,-1,16534910,14769
mark,-1,18489268,32166
mark,-1,20397399,41957
mark,-1,22303809,65560
mark,-1,24194426,30919
mark,-1,26112616,22172
mark,-1,28043472,36535
mark,-1,29945100,62801
mark,-1,31822803,44687
mark,-1,33704190,39466
mark,-1,35621058,8376
mark,-1,37553559,40671
mark,-1,39471883,21936
mark,-1,41382079,22308
mark,-1,43310823,21325
mark,-1,45249504,24131
mark,-1,47176260,71452
mark,-1,49041516,21418
mark,-1,50979136,32858
mark,-1,52890460,21277
mark,-1,54796330,29216
mark,-1,56707371,28386
mark,-1,58623191,41542
mark,-1,60520822,23675
mark,-1,62457174,24394
mark,-1,64380238,56914
mark,-1,66259981,44165
mark,-1,68140100,23851
mark,-1,70042264,13770
mark,-1,71994457,41705
mark,-1,73903958,49450
mark,-1,75824153,29136
mark,-1,77742877,13357
mark,-1,79677334,29849
mark,-1,81616461,61459
mark,-1,83495518,45923
mark,-1,85390588,39510
mark,-1,87312286,20358
mark,-1,89252822,32893
mark,-1,91173426,21963
mark,-1,93080626,27607
mark,-1,94993957,29658
mark,-1,96903293,41359
mark,-1,98803275,30908
mark,-1,100715489,47108
mark,-1,102627415,33145
mark,-1,104541787,28499
mark,-1,106467949,23031
mark,-1,108392897,39703
mark,-1,110304850,57322
mark,-1,112240078,22085
mark,-1,114163360,22546
mark,-1,116088913,22323
mark,-1,118028446,25338
mark,-1,119952912,71455
mark,-1,121817235,21372
mark,-1,123758067,32868
mark,-1,125667041,21385
mark,-1,127576670,27938
mark,-1,129489204,29331
mark,-1,131403384,41587
mark,-1,133300229,23211
mark,-1,135236653,24607
mark,-1,137159408,58698
mark,-1,139047211,46689
mark,-1,140924485,24546
mark,-1,142829065,14299
mark,-1,144779559,43024
mark,-1,146693493,56768
mark,-1,148615805,31109
mark,-1,150539279,13868
mark,-1,152469023,31034
mark,-1,154407761,60171
mark,-1,156279133,47790
mark,-1,158159597,41653
mark,-1,160079768,21552
mark,-1,162018483,34312
mark,-1,163936826,45770
mark,-1,165834474,23336
mark,-1,167735681,13406
mark,-1,169684968,23258
mark,-1,171601130,11278
mark,-1,173536170,31848
mark,-1,175457571,22542
mark,-1,177380047,20184
mark,-1,179315149,24504
mark,-1,181238718,58740
mark,-1,183124126,46747
mark,-1,185003581,24599
mark,-1,186905297,13838
mark,-1,188850774,31192
mark,-1,190764485,41922
mark,-1,192689170,47411
mark,-1,194576865,24835
mark,-1,196474951,13691
mark,-1,198419780,25925
mark,-1,200337411,11727
mark,-1,202273831,33399
mark,-1,204202436,22165
mark,-1,206124053,21554
mark,-1,208066763,25815
mark,-1,209987980,58543
mark,-1,211873726,44163
mark,-1,213750513,23272
mark,-1,215652666,13155
mark,-1,217602258,29573
mark,-1,219505639,40229
mark,-1,221424162,44513
mark,-1,223313278,23396
mark,-1,225211322,13124
mark,-1,227158709,22557
mark,-1,229071025,11161
mark,-1,231010167,32449
mark,-1,232935733,21802
mark,-1,234871209,20348
mark,-1,236803603,24153
mark,-1,238728219,58311
mark,-1,240607885,44126
mark,-1,242488237,22933
mark,-1,244384869,13191
mark,-1,246328798,29589
mark,-1,248236559,61505
mark,-1,250173802,52662
mark,-1,252078979,25485
mark,-1,254022500,25841
mark,-1,255950991,56957
mark,-1,257829360,44078
mark,-1,259717457,22999
mark,-1,261619378,13428
mark,-1,263573435,39758
mark,-1,265496277,39711
mark,-1,267410372,32831
mark,-1,269321912,44524
mark,-1,271222871,41315
mark,-1,273135454,7870
mark,-1,275070426,33658
mark,-1,276995275,23028
mark,-1,278925137,21499
mark,-1,280864758,25702
mark,-1,282789455,56563
mark,-1,284668994,43896
mark,-1,286548156,23162
mark,-1,288445166,13584
mark,-1,290390370,41963
mark,-1,292309586,48276
mark,-1,294193657,39804
mark,-1,296102258,56902
mark,-1,298019478,29939
mark,-1,299926759,28835
mark,-1,301835865,41169
mark,-1,303736041,23515
mark,-1,305668237,24601
mark,-1,307594075,58747
mark,-1,309477237,44210
mark,-1,311360891,23131
mark,-1,313262590,13391
mark,-1,315212926,41694
mark,-1,317117037,49975
mark,-1,319031187,29180
mark,-1,320946393,13154
mark,-1,322873997,29405
mark,-1,324810696,53204
mark,-1,326683951,45214
mark,-1,328560650,39692
mark,-1,330478564,19931
mark,-1,332420727,32668
mark,-1,334331468,45903
mark,-1,336224548,25096
mark,-1,338120203,13878
mark,-1,340070896,23734
mark,-1,341982566,11894
mark,-1,343920985,33661
mark,-1,345836621,22717
mark,-1,347767026,21707
mark,-1,349702365,25729
mark,-1,351627126,56084
mark,-1,353503944,44009
mark,-1,355386810,22995
mark,-1,357283681,13260
mark,-1,359228531,30099
mark,-1,361128258,39910
mark,-1,363048859,44578
mark,-1,364930307,23235
mark,-1,366827395,13203
mark,-1,368774785,22847
mark,-1,370688427,11475
mark,-1,372624609,32203
mark,-1,374551019,22070
mark,-1,376478525,21008
mark,-1,378414540,28134
mark,-1,380337133,57053
mark,-1,382215617,44376
mark,-1,384093344,23265
