event_type,gc_thread,start_ns,time_ns
mark,-1,2187836,18689
mark,-1,3376237,12103
mark,-1,4498507,9990
mark,-1,5635123,8285
mark,-1,6763860,8771
mark,-1,7878725,8765
mark,-1,8998823,7977
mark,-1,10127655,7806
mark,-1,11265547,8387
mark,-1,12379326,7798
mark,-1,13512732,7846
mark,-1,14632419,7939
mark,-1,15750344,7751
sweep,-1,15795815,1783
mark,-1,16870489,7093
sweep,-1,16915416,1858
mark,-1,17992560,7387
mark,-1,19120827,7835
mark,-1,20242102,7447
mark,-1,21383001,7209
mark,-1,22503170,7427
sweep,-1,22553388,3309
mark,-1,23632524,8164
mark,-1,24753441,7817
mark,-1,25880098,7400
mark,-1,27023006,7556
mark,-1,28174292,6764
mark,-1,29293528,7157
mark,-1,30413891,7081
mark,-1,31534849,7688
mark,-1,32651200,6876
mark,-1,33772315,6722
mark,-1,34903787,7403
mark,-1,36027750,6938
mark,-1,37154346,6905
mark,-1,38272757,7056
mark,-1,39403563,7121
mark,-1,40520591,6896
mark,-1,41669025,6749
mark,-1,42795786,6678
mark,-1,43913805,7009
mark,-1,45034761,7186
mark,-1,46149865,6925
mark,-1,47307959,7625
mark,-1,48439700,7313
mark,-1,49589443,7185
mark,-1,50709565,7135
mark,-1,51833088,7139
mark,-1,52977283,7223
mark,-1,54102528,6854
mark,-1,55244088,7384
mark,-1,56389304,6903
mark,-1,57534539,7088
mark,-1,58658865,7041
mark,-1,59781466,7049
mark,-1,60911965,7116
mark,-1,62031492,6960
mark,-1,63159534,7281
mark,-1,64279052,6816
mark,-1,65410107,6892
mark,-1,66529802,6683
mark,-1,67654500,7140
mark,-1,68773819,6829
mark,-1,69917471,6849
mark,-1,71042084,6628
mark,-1,72154568,6601
mark,-1,73303361,6998
mark,-1,74419864,6980
mark,-1,75555145,6903
mark,-1,76673439,6869
mark,-1,77797086,6676
mark,-1,78922958,6884
mark,-1,80044051,6745
mark,-1,81159501,6862
mark,-1,82303973,6950
mark,-1,83426163,6938
mark,-1,84545954,6901
mark,-1,85684811,6648
mark,-1,86805804,6798
mark,-1,87951041,7099
mark,-1,89073406,6890
mark,-1,90191657,6629
mark,-1,91318441,7166
mark,-1,92468014,6787
mark,-1,93614027,6730
mark,-1,94763183,6987
mark,-1,95878105,6787
mark,-1,97002314,6961
mark,-1,98120656,6918
mark,-1,99255034,7083
mark,-1,100378052,6766
mark,-1,101497116,6826
mark,-1,102613918,6886
mark,-1,103741513,7161
mark,-1,104859353,6638
mark,-1,105982794,7153
mark,-1,107105895,7382
mark,-1,108225542,7069
mark,-1,109343601,7009
mark,-1,110465537,6943
mark,-1,111597039,7132
mark,-1,112721610,6828
mark,-1,113838103,7128
mark,-1,114963607,7013
mark,-1,116089100,6888
mark,-1,117210315,6744
mark,-1,118332998,6777
mark,-1,119469516,6874
mark,-1,120607179,6721
mark,-1,121754711,7702
mark,-1,122901836,7183
mark,-1,124029126,6975
mark,-1,125147548,6858
mark,-1,126292658,6730
mark,-1,127444761,7123
mark,-1,128577181,6815
mark,-1,129719992,6935
mark,-1,130853375,6648
mark,-1,132001301,6838
mark,-1,133148409,6717
mark,-1,134295402,6641
mark,-1,135437415,7424
mark,-1,136578293,7453
mark,-1,137690449,7522
mark,-1,138832970,7409
mark,-1,139947144,7923
mark,-1,141058848,8174
mark,-1,142173224,8006
mark,-1,143292805,7934
mark,-1,144417375,7814
mark,-1,145531055,7722
mark,-1,146647883,7504
mark,-1,147764376,7702
mark,-1,148878669,7400
mark,-1,149991692,7642
mark,-1,151118821,7947
mark,-1,152248981,7874
mark,-1,153380503,7736
mark,-1,154497198,7787
mark,-1,155624684,7727
mark,-1,156741194,7611
mark,-1,157866929,7517
