event_type,gc_thread,start_ns,time_ns
mark,-1,4155635,109481
mark,-1,7123199,87876
mark,-1,10028788,87204
mark,-1,12936736,97442
mark,-1,20521761,88814
mark,-1,26904356,92737
mark,-1,33229493,86012
mark,-1,39608435,85098
mark,-1,45992824,88512
mark,-1,52371803,87376
mark,-1,58730457,87857
mark,-1,65078067,87064
mark,-1,71438052,85885
mark,-1,77802527,87526
mark,-1,84143847,88194
mark,-1,90501637,96799
mark,-1,96877015,91369
mark,-1,103244682,86880
mark,-1,109607565,89316
mark,-1,115934874,88275
mark,-1,122318193,87639
mark,-1,128701495,87234
mark,-1,135076614,85967
mark,-1,141429493,87121
mark,-1,147777840,85739
mark,-1,154127292,89779
mark,-1,160506675,88872
mark,-1,166855372,87651
mark,-1,173197836,94331
mark,-1,179569606,92369
mark,-1,185940802,88228
mark,-1,192306715,88876
mark,-1,198629786,87591
mark,-1,205009890,90345
mark,-1,211397238,87501
mark,-1,217771859,88903
mark,-1,224129344,89122
mark,-1,230486558,85922
mark,-1,236839397,87802
mark,-1,243214409,88778
mark,-1,249568451,87076
mark,-1,255917164,93615
mark,-1,262289622,90601
mark,-1,268678874,90547
mark,-1,275055473,89557
mark,-1,281390129,87231
mark,-1,287777647,89744
mark,-1,294175613,89738
mark,-1,300555199,90071
mark,-1,306920111,85621
mark,-1,313266167,86466
mark,-1,319657186,88142
mark,-1,326032210,89989
mark,-1,332384546,88390
mark,-1,338739207,89232
mark,-1,345110957,90029
mark,-1,351495746,94116
mark,-1,357873816,88954
mark,-1,364207135,84537
mark,-1,370595693,90025
mark,-1,376987960,89607
mark,-1,383374641,89662
mark,-1,389729304,89143
mark,-1,396082277,86613
mark,-1,402439104,87592
mark,-1,408806968,92077
mark,-1,415161821,88064
mark,-1,421512675,95952
mark,-1,427880783,90327
mark,-1,434253575,91482
mark,-1,440616387,89654
mark,-1,446953743,84740
mark,-1,453340790,90399
mark,-1,459730461,86618
mark,-1,466108430,90280
mark,-1,472461909,86428
mark,-1,478814293,86576
mark,-1,485157444,87903
mark,-1,491528375,90043
mark,-1,497874991,89285
mark,-1,504227157,95374
mark,-1,510609132,92223
mark,-1,516989895,89965
mark,-1,523362459,89933
mark,-1,529697130,84597
mark,-1,536080318,84098
mark,-1,542460689,87413
mark,-1,548838886,86097
mark,-1,555194132,87214
mark,-1,561547164,86908
mark,-1,567895208,90658
mark,-1,574270914,87982
mark,-1,580618265,87924
mark,-1,586967844,90115
mark,-1,593324747,96420
mark,-1,599701480,92826
mark,-1,606078462,92222
mark,-1,612411693,84406
mark,-1,618798947,87959
mark,-1,625187206,88500
mark,-1,631567002,87417
mark,-1,637930887,87440
mark,-1,644281789,87030
mark,-1,650633616,87603
mark,-1,657001125,87189
mark,-1,663355954,87378
mark,-1,669709138,95201
mark,-1,676073490,90988
mark,-1,682444387,88001
mark,-1,688809220,90930
mark,-1,695142358,84738
mark,-1,701534875,83408
mark,-1,707914427,87065
mark,-1,714291969,90393
mark,-1,720651540,87469
mark,-1,727000371,87167
mark,-1,733354344,88441
mark,-1,739718228,91538
mark,-1,746068284,87920
mark,-1,752419134,87691
mark,-1,758781517,90248
mark,-1,765144637,89170
mark,-1,771516948,91045
mark,-1,777855088,81965
mark,-1,784236673,82127
mark,-1,790623014,87269
mark,-1,797000469,88951
mark,-1,803364267,86487
mark,-1,809718811,85986
mark,-1,816065211,86154
mark,-1,822439497,89385
