event_type,gc_thread,start_ns,time_ns
mark,-1,1940885334,630106
mark,-1,3693979954,327749
mark,-1,5455921828,317498
mark,-1,7216429224,358640
mark,-1,8959219931,319114
mark,-1,10701240689,309212
mark,-1,12444107155,307337
mark,-1,14199926115,344400
mark,-1,15960264472,401386
mark,-1,17718789790,352792
mark,-1,19478040233,301640
mark,-1,21221397693,320637
mark,-1,22978741865,313839
mark,-1,24722119040,333376
mark,-1,26481865273,310597
mark,-1,28239159768,350219
mark,-1,29998856870,328134
mark,-1,31742375720,373829
mark,-1,33500570189,321831
mark,-1,35255707611,311481
mark,-1,36997172639,325935
mark,-1,38757066166,332115
mark,-1,40515302496,347974
mark,-1,42273694566,319824
mark,-1,44016248719,333677
mark,-1,45760860217,341819
mark,-1,47503729018,342223
mark,-1,49262553153,346906
mark,-1,50999477852,326735
mark,-1,52758164897,360237
mark,-1,54517890063,341961
mark,-1,56261391855,336791
mark,-1,58003880384,307120
mark,-1,59746093718,344728
mark,-1,61490222433,350057
mark,-1,63234037255,330124
mark,-1,64978200506,337008
mark,-1,66737318705,341658
mark,-1,68497061115,353474
mark,-1,70256159169,333785
mark,-1,72016539057,326260
mark,-1,73774343186,327917
mark,-1,75534768175,339897
mark,-1,77279486379,329426
mark,-1,79039578909,344338
mark,-1,80795395843,324830
mark,-1,82538789799,336133
mark,-1,84281038062,313600
mark,-1,86023907217,307761
mark,-1,87769887425,313318
mark,-1,89511585461,339217
mark,-1,91270181705,308896
mark,-1,93006816871,338853
mark,-1,94752616098,354330
mark,-1,96513429978,322712
mark,-1,98272103833,345086
mark,-1,100031559965,335686
mark,-1,101791371161,347031
mark,-1,103550639175,331728
mark,-1,105295846629,341624
mark,-1,107054116057,320672
mark,-1,108809482188,315978
mark,-1,110550619261,324561
mark,-1,112293716478,318093
mark,-1,114036669350,320367
mark,-1,115794945863,344596
mark,-1,117555230993,361961
mark,-1,119299126521,359394
mark,-1,121043246714,298555
mark,-1,122803225601,343560
