event_type,gc_thread,start_ns,time_ns
mark,-1,469452845,33896
mark,-1,686308853,21740
sweep,-1,686370361,14927
mark,-1,902787527,19301
mark,-1,1119291163,20848
sweep,-1,1119351381,15202
sweep,-1,1119378603,91546
mark,-1,1335573287,19456
sweep,-1,1335633046,16838
mark,-1,1551897693,19070
sweep,-1,1551956063,20688
mark,-1,1768239787,17713
sweep,-1,1768297240,18476
mark,-1,1984546897,24377
mark,-1,2200836364,23071
mark,-1,2417037834,20659
mark,-1,2633144955,20088
mark,-1,2849252005,18895
sweep,-1,2849310203,18601
