event_type,gc_thread,start_ns,time_ns
mark,-1,374808077,138852
mark,-1,507326612,23678
mark,-1,638932985,22449
mark,-1,770487698,32985
mark,-1,902269515,35345
mark,-1,1033858404,34892
mark,-1,1165384273,23072
mark,-1,1296644204,23897
mark,-1,1427959819,22798
mark,-1,1559565595,31190
mark,-1,1690984981,32373
mark,-1,1822548597,29026
mark,-1,1953880357,46178
mark,-1,2085119260,22013
mark,-1,2216504610,35213
mark,-1,2347876979,34162
mark,-1,2479308905,25486
mark,-1,2610345957,24912
mark,-1,2741479509,30491
mark,-1,2872700723,48435
mark,-1,3003954903,36392
mark,-1,3135120330,76017
mark,-1,3266138528,34901
mark,-1,3397118679,38762
mark,-1,3528339637,102610
mark,-1,3659564955,85398
mark,-1,3790814577,82888
mark,-1,3921898753,84225
mark,-1,4053056485,164089
mark,-1,4184218329,580556
mark,-1,4315561035,598472
mark,-1,4447149457,587754
mark,-1,4578667792,150190
mark,-1,4709616990,175645
mark,-1,4840777361,173118
mark,-1,4972055167,1383572
mark,-1,5104020218,1188230
mark,-1,5235692327,1398395
mark,-1,5367598091,166304
mark,-1,5499404102,108993
mark,-1,5631436993,26280
mark,-1,5762994926,21732
mark,-1,5894625214,35464
mark,-1,6026245065,28116
mark,-1,6158035563,35799
mark,-1,6289609168,30090
mark,-1,6421075656,22305
sweep,-1,6421120320,3045
mark,-1,6552546414,24160
mark,-1,6684324021,37203
mark,-1,6816050291,33917
mark,-1,6947810524,27545
mark,-1,7079451662,18580
sweep,-1,7079492799,3532
mark,-1,7210809478,42436
mark,-1,7342205580,31001
mark,-1,7473613932,36331
mark,-1,7605136323,26551
mark,-1,7736517327,31948
mark,-1,7867838846,30094
mark,-1,7999244669,34863
mark,-1,8130782439,39421
mark,-1,8262389319,70560
mark,-1,8393735675,36162
mark,-1,8525094329,34862
mark,-1,8656507854,102971
mark,-1,8788027062,85030
mark,-1,8919543440,108654
mark,-1,9050851499,79495
mark,-1,9182094827,178077
mark,-1,9313387516,539660
mark,-1,9444979083,521902
mark,-1,9576596592,583623
mark,-1,9708289019,159651
mark,-1,9839585220,167531
mark,-1,9970806937,174207
mark,-1,10102403500,1256328
mark,-1,10234466276,1672891
mark,-1,10366896354,1857957
mark,-1,10499430277,186443
mark,-1,10631289306,113930
mark,-1,10762893029,22079
mark,-1,10893928556,17370
sweep,-1,10893968149,3122
mark,-1,11024830390,22545
mark,-1,11155878111,27252
mark,-1,11286896847,31773
mark,-1,11418074765,24179
mark,-1,11549106997,22161
sweep,-1,11549151672,3165
mark,-1,11679938314,24190
sweep,-1,11679985392,3362
mark,-1,11811198790,22973
mark,-1,11942305119,28163
mark,-1,12073488475,28447
mark,-1,12204442887,23996
mark,-1,12335389142,41040
mark,-1,12466299831,33186
mark,-1,12597484774,35638
mark,-1,12728560420,34833
mark,-1,12859581718,28889
mark,-1,12990667407,24204
mark,-1,13121849684,31129
mark,-1,13252976003,34196
mark,-1,13384061511,67429
mark,-1,13514950542,35064
mark,-1,13645962844,36388
mark,-1,13777084830,99057
mark,-1,13908164147,109235
mark,-1,14039433886,80857
mark,-1,14170517381,82126
mark,-1,14301614940,168125
mark,-1,14432889588,537282
mark,-1,14564371153,606564
mark,-1,14695871517,511819
mark,-1,14827221590,153324
mark,-1,14958377107,180109
mark,-1,15089398154,171976
mark,-1,15220664151,1034390
mark,-1,15352397721,1236096
mark,-1,15484010991,1824529
mark,-1,15616197805,163839
mark,-1,15747958247,108798
mark,-1,15879358840,23716
mark,-1,16010345181,17809
sweep,-1,16010386114,3360
mark,-1,16141969996,27891
mark,-1,16273779882,26758
mark,-1,16405794331,36691
mark,-1,16537559658,24313
mark,-1,16669082438,23472
mark,-1,16800684938,24620
mark,-1,16932478172,31064
mark,-1,17064386119,22863
mark,-1,17195954923,23481
mark,-1,17327397217,41072
mark,-1,17458900752,28219
mark,-1,17590504924,28568
mark,-1,17722200939,35611
mark,-1,17853753071,21888
mark,-1,17985267619,33745
mark,-1,18116790849,28101
mark,-1,18248397253,41183
mark,-1,18380153801,35904
mark,-1,18511825265,61402
mark,-1,18643364430,30594
mark,-1,18774818421,29003
mark,-1,18906506107,89423
mark,-1,19038174485,97559
mark,-1,19169771578,101581
mark,-1,19301170445,82278
mark,-1,19432750475,172325
mark,-1,19564211528,551926
mark,-1,19696002957,545169
mark,-1,19827855030,574559
mark,-1,19959642701,167136
mark,-1,20090971544,177236
mark,-1,20222443761,157326
mark,-1,20354014183,835960
mark,-1,20485853734,1488777
mark,-1,20618168128,1913530
mark,-1,20750724140,163149
mark,-1,20882667771,112280
mark,-1,21014183198,24201
mark,-1,21144968497,19956
sweep,-1,21145010681,3580
mark,-1,21275799915,34042
mark,-1,21407034844,29629
mark,-1,21538218923,35917
mark,-1,21669281219,18645
sweep,-1,21669324082,3608
sweep,-1,21669335892,13981
mark,-1,21800357032,42606
mark,-1,21932169479,26586
mark,-1,22064070481,19907
sweep,-1,22064114020,3248
mark,-1,22196099477,21811
mark,-1,22328019817,43980
mark,-1,22459754742,37178
mark,-1,22591384231,22066
mark,-1,22723239336,27749
mark,-1,22855191610,33217
mark,-1,22987149952,27016
mark,-1,23118997257,29351
mark,-1,23250819779,21414
mark,-1,23382776828,48767
mark,-1,23514714321,40815
mark,-1,23646713821,35588
mark,-1,23778286591,34276
mark,-1,23909888715,33227
mark,-1,24041564495,84215
mark,-1,24173468065,85512
mark,-1,24305361666,93875
mark,-1,24437124082,85080
mark,-1,24568869357,161246
mark,-1,24700625814,592299
mark,-1,24832788466,588121
mark,-1,24964942454,584719
mark,-1,25097122675,172513
mark,-1,25228689419,167012
mark,-1,25360248347,154704
mark,-1,25491813049,1410260
mark,-1,25624250989,1796253
mark,-1,25756857894,1809726
mark,-1,25889315559,175933
mark,-1,26021376530,116395
mark,-1,26153124832,18978
sweep,-1,26153166642,3402
sweep,-1,26153178260,13845
mark,-1,26284160561,22172
mark,-1,26415350646,33188
mark,-1,26546775358,29303
mark,-1,26678134699,20726
sweep,-1,26678177378,3179
mark,-1,26809179423,22124
sweep,-1,26809224082,3080
mark,-1,26940165863,22074
sweep,-1,26940211366,2719
mark,-1,27071032911,39753
mark,-1,27202173691,26711
mark,-1,27333522995,39110
mark,-1,27465181166,19199
sweep,-1,27465222103,2793
sweep,-1,27465233376,13709
mark,-1,27596755579,24442
mark,-1,27728301121,41592
mark,-1,27859716394,24774
mark,-1,27991417149,32163
mark,-1,28123108534,21163
mark,-1,28254503459,31371
mark,-1,28385753242,24343
mark,-1,28517384017,36868
mark,-1,28648947174,32239
mark,-1,28780255162,63005
mark,-1,28911382803,34115
mark,-1,29042603492,37963
mark,-1,29173600050,98364
mark,-1,29304751249,107693
mark,-1,29435960518,92218
mark,-1,29567090220,82297
mark,-1,29697968020,177738
mark,-1,29829017770,571527
mark,-1,29960477279,577968
mark,-1,30092735298,540983
mark,-1,30224845049,161776
mark,-1,30356752080,167476
mark,-1,30488676171,158680
mark,-1,30620657900,1016896
mark,-1,30753139828,1278673
mark,-1,30885779577,1865974
mark,-1,31018826129,160269
mark,-1,31151212725,108015
mark,-1,31283548454,24438
mark,-1,31415281644,18264
sweep,-1,31415322275,3185
mark,-1,31546876491,21787
sweep,-1,31546923427,2988
mark,-1,31678837319,28313
mark,-1,31810727136,28641
mark,-1,31942621692,25327
mark,-1,32074397667,25596
mark,-1,32206098048,22255
mark,-1,32337883371,21945
mark,-1,32469757631,23216
mark,-1,32601490951,22373
mark,-1,32733163213,24046
mark,-1,32864756433,36785
mark,-1,32996142539,28666
mark,-1,33127905628,34436
mark,-1,33259498399,27810
mark,-1,33390956431,27962
mark,-1,33522406399,24922
mark,-1,33654003350,30544
mark,-1,33785531669,33819
mark,-1,33917013253,62855
mark,-1,34048409146,28363
mark,-1,34179846158,29764
mark,-1,34311322501,89687
mark,-1,34442753715,91493
mark,-1,34574365309,88472
mark,-1,34705763712,79513
mark,-1,34837059474,166500
mark,-1,34968510187,545445
mark,-1,35100212587,560894
mark,-1,35232012062,560772
mark,-1,35363568614,173546
mark,-1,35494771224,154131
mark,-1,35625919664,158151
mark,-1,35757057753,1424351
mark,-1,35889114349,1821253
mark,-1,36021472719,1849595
mark,-1,36154073991,155507
mark,-1,36285799838,104346
mark,-1,36417096890,17367
sweep,-1,36417138996,3069
mark,-1,36548061567,23706
mark,-1,36679712288,32809
mark,-1,36811564896,23170
mark,-1,36943346242,20559
mark,-1,37074956914,24349
sweep,-1,37075007425,2990
mark,-1,37206187742,35997
mark,-1,37337430745,17104
sweep,-1,37337469900,3924
mark,-1,37468856263,19025
sweep,-1,37468900553,3174
mark,-1,37600266675,30033
mark,-1,37731482229,39973
mark,-1,37862579907,23193
mark,-1,37993639963,17633
sweep,-1,37993684742,3257
mark,-1,38124620498,27709
mark,-1,38255724341,30831
mark,-1,38386721526,17256
