event_type,gc_thread,start_ns,time_ns
mark,-1,384041493,208817
mark,-1,518942219,148109
mark,-1,653536622,79256
mark,-1,787927656,32382
mark,-1,922220641,277312
mark,-1,1056659320,158154
mark,-1,1191010759,92274
mark,-1,1325163468,35677
mark,-1,1459533467,263078
mark,-1,1593775920,156198
mark,-1,1728135689,93214
mark,-1,1862328397,34650
mark,-1,1997249006,262255
mark,-1,2132140559,170851
mark,-1,2266583170,121853
mark,-1,2401256461,36566
mark,-1,2535450340,256582
mark,-1,2669821085,175279
mark,-1,2804347479,95102
mark,-1,2938436859,32549
mark,-1,3072966537,270380
mark,-1,3207571247,161929
mark,-1,3342011175,95371
mark,-1,3476258813,32507
mark,-1,3610450464,264304
mark,-1,3744780932,160053
mark,-1,3878957476,96074
mark,-1,4013084514,31875
mark,-1,4147067207,268485
mark,-1,4281615712,164720
mark,-1,4415950304,95981
mark,-1,4550159276,31822
mark,-1,4684156647,250885
