mark_time_ns,sweep_time_ns
46986,10469
31862,11717
29173,13747
28807,11863
27585,11585
27610,11757
27188,11498
26566,11888
27264,11770
26467,11896
26516,11597
26976,11774
26756,11669
27019,11776
21802,11541
30986,11304
29319,11631
28655,11710
27192,11525
27370,11397
27045,11368
26743,11368
26393,11739
26081,11804
26564,11711
26343,11713
26957,11852
26384,11781
26535,11590
24682,11466
38406,11894
28405,11490
27884,11521
28219,11869
27081,11701
30311,11835
26602,12058
26534,11978
27042,11888
26644,11883
26543,11767
26332,11951
26723,12035
26467,11933
21487,12027
10802,11265
35357,12032
28811,12015
28312,11735
27539,12066
27233,11917
27491,11853
26700,11805
26879,11823
26858,12109
26627,12119
26534,11897
26709,12012
26511,11597
26221,12181
27673,12087
18741,11497
18105,11654
16577,11670
10764,11823
34433,12120
28916,12224
28011,12131
27995,12176
27302,11930
26629,12079
26473,12036
26491,11820
26548,12380
27165,12228
26453,12568
26085,12323
26375,12169
26397,12170
27118,12031
21213,12411
12377,11493
35366,12344
28837,12097
28592,11763
27704,12068
27132,12112
27072,12012
26668,11685
26381,12061
26582,11659
26564,12046
26236,12023
26207,11895
26872,11898
26296,11628
26819,11861
20943,11371
11175,11409
34744,12073
30197,11980
28606,11848
27898,11795
27406,11641
26364,11789
26446,11804
26376,11684
26390,12008
26210,12175
26353,12373
26919,12283
26409,12036
26375,11930
22328,11975
10614,11594
12327,12157
15078,11788
18109,11973
38396,12267
28928,12116
27475,12043
28102,12261
26983,11980
27009,12082
27098,12200
26870,12476
26695,12080
26146,12083
26238,12175
26223,12435
27833,11746
22077,11989
38808,12499
28211,12360
28253,12257
27611,11968
26971,12264
26309,12338
26733,12324
26672,12314
26836,12184
26183,12654
26307,12215
26027,12342
25949,12172
26913,12044
20909,12567
12359,11637
35630,11921
28931,12362
28069,11970
27661,11839
27133,11917
27194,12290
26796,11917
26379,11943
26597,11723
26450,11748
26563,12021
26051,11804
26572,12046
26142,11707
26837,11829
21105,11428
11082,11496
35026,12092
29451,12102
28430,11908
27929,11815
27191,11862
26376,11780
25982,12118
26297,12044
26410,12084
26689,11888
26473,12128
26537,12513
25900,12175
26553,11972
22286,11769
10659,11587
12436,12100
15490,11639
18333,11773
38216,12154
28963,12257
27504,12013
27979,12016
26419,11900
26630,11868
26702,12153
26263,12596
26117,12240
25818,12241
26488,12280
26531,12397
28272,12164
22147,12014
38610,12482
28810,12204
29100,12115
27981,11974
27290,12060
26364,11978
26281,12200
26089,12121
27245,12297
26062,12548
26216,12427
26043,11763
26515,12023
26712,12213
21001,11770
12360,11587
35689,11920
28665,11808
28280,11765
27822,11691
27621,11749
27109,11944
27052,11940
26139,11854
26297,12058
26512,11918
25859,11919
26287,11995
26932,11776
26220,11738
26586,12105
20820,11576
11121,11254
35232,11890
29040,11877
28326,11944
28005,11532
27531,11655
26633,11432
26504,11723
26534,11633
26315,12132
26448,11887
26248,11915
26555,12240
26622,11757
26850,11709
22084,11853
10722,11367
12350,11949
15379,11597
18160,11639
38104,12112
29279,12065
27754,11947
28153,12097
26888,11890
26605,11807
26703,12146
26707,12481
26160,11847
26181,12018
26616,12463
26102,12331
27582,12191
21940,11906
38038,12774
28487,12245
28551,12228
27969,12005
27573,12143
26500,12149
26304,12325
26275,11917
27243,12276
26207,12532
26287,12353
26092,12163
26579,12343
26996,12591
20843,11933
12112,11448
34747,12391
28448,12221
28040,11975
27469,11981
26856,12160
26931,11721
26993,11566
26390,11545
25999,11999
26436,12100
26206,11891
26246,11565
26724,11707
26627,11871
27257,11756
20949,11486
11612,11097
34727,11675
29500,11946
28182,11837
28188,11533
27413,11456
26762,11564
26447,11945
26379,11641
26085,11571
26387,11796
26289,11936
26543,11825
26352,11827
26493,11771
22345,11654
10607,11164
12407,11767
15150,11469
18369,11330
38095,11829
28393,11969
27733,11887
27997,12053
26834,11760
26601,12185
26953,12296
26406,12295
25851,12060
26397,12178
26378,12261
26198,11884
28010,11893
22043,11726
38701,12454
28181,12140
28288,11758
27762,12098
27639,11782
26378,12087
26954,11987
26282,12303
27029,12187
26340,12829
26198,12064
25858,12110
26220,12201
26956,12116
21066,12174
12350,11507
35548,12134
28621,12101
28350,11989
28023,11739
27703,11931
27165,12293
26947,12144
26432,12323
26282,12213
26491,12780
26083,12288
26393,12098
26625,12445
26370,12184
27023,12098
21116,11938
11026,11840
34969,12413
29117,12265
27478,12320
27954,11691
27945,11588
26902,11725
26387,12266
26793,12042
26356,12063
26065,12168
26274,12324
26645,12393
26259,12005
26227,11769
21991,11800
10732,11345
12297,11600
15234,11446
18445,11889
38218,11800
28724,11866
28075,12158
28012,11966
26983,12021
26510,11752
27162,12099
26718,12288
26205,11884
26339,11734
26074,11743
26338,11674
28325,11306
22152,11406
38452,12311
28582,11776
28098,11583
27585,11407
27380,12004
26684,11891
26801,11675
26491,11858
26671,11937
26359,12153
26628,12038
26030,11732
26412,12039
26803,12474
21029,11965
12093,11420
34905,12277
28858,12095
28274,12134
27546,11926
27566,11924
26835,12256
26986,12165
26253,12350
26703,12286
26060,12424
26165,12011
26029,12460
26856,12158
26483,12373
26986,12305
21112,12031
11361,11591
35160,12320
29100,12186
28153,11903
28177,12186
27588,11927
26297,12089
26361,12146
26800,12383
26277,12107
25802,12223
26128,12088
26630,12782
26398,11639
26453,11498
22492,11570
10934,11262
12425,11608
15032,11124
18461,11395
38518,11987
28576,11762
28119,11698
27978,11885
26673,11572
26662,11402
26695,12245
26137,12253
26143,11639
26527,11922
26139,12350
26751,12228
27875,14809
22188,11904
38466,12588
28525,11964
28338,12084
28022,11893
27434,12080
26596,12226
26293,12245
25993,12137
26980,12406
26446,12600
26557,12178
26380,12021
26620,12112
26656,11921
20862,12125
12398,10992
35416,11538
28542,11754
28192,11416
27453,11338
27212,11399
27048,12169
26804,11488
25871,11918
26566,11598
26232,11854
25950,11862
26254,11885
26600,12118
28997,12104
26380,11539
21373,11795
11235,11284
35123,12042
29340,11989
28303,11827
28213,11896
27398,11843
26887,11680
26610,11963
26559,12247
26431,12340
26281,12042
26062,12165
26964,12314
26013,12136
26524,11680
22007,11872
10804,11580
12100,11924
15231,11825
18259,11555
38277,12233
28775,11930
27639,12037
27971,12324
26387,11791
26559,11948
26877,12370
26722,12278
26473,12063
26480,12210
26971,12241
26688,12268
28005,12052
22040,11948
38184,12555
29101,11819
27896,11985
27692,12109
27156,12007
26365,12116
26747,11993
26036,11815
27057,12274
26270,12518
26708,12134
26116,12262
26112,12262
26974,12244
21106,12282
12436,11410
35139,12182
28472,12333
28258,11970
27561,12118
27179,11741
26527,12172
26666,11706
26448,11766
26396,11547
26286,11996
26419,11881
26547,11543
26519,11809
